Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV
1,4,2346,0.1116390025805499,-22.59598038394762,SER,0.444957228535091,892.2833,0.0039,838.5585,0.0041,9.8294,0.0435,18.256,0.0034,1.7689,0.0117,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,9.0826,0.0228,17.6082,0.0018,2.3542,0.0070,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,8.3702,0.0367,17.3253,0.0028,2.9126,0.0137,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,7.5989,0.0678,17.2215,0.0056,3.5171,0.0241,0.9451,0.0017,24.0265,1.1276,203988,0001m225,2346,0.017768646,36.50972,48.89697,65.16991,66.48087,1.374724,1.2320019,1.4043026,1.1513813,2.0227559,4718.2793,1.8603574,70124.49,0.16333367,281908.56,0.3596117,391515.78,18.593979,18.276794,17.964882,17.943258,18.029198,18.554888,15.994004,11.141788,0.31718445,0.31191254,0.33353615,0.021623611,0.11175,-22.5958056,00 00 26.82,-22 35 44.9,0.0,,20.0727,19.8536
1,3,2068,0.1003956575335607,-22.58890589524607,SER,0.444957228535091,625.556,0.0053,662.3559,0.007,13.0738,0.0145,17.5166,0.0011,0.5929,0.0020,0.7279,0.0005,-1.3852,0.0969,625.556,0.0053,662.3559,0.007,12.7210,0.0083,16.9496,7.0E-4,0.7123,0.0010,0.7279,0.0005,-1.3852,0.0969,625.556,0.0053,662.3559,0.007,12.3844,0.0121,16.6317,9.0E-4,0.8263,0.0017,0.7279,0.0005,-1.3852,0.0969,625.556,0.0053,662.3559,0.007,12.0200,0.0215,16.4840,0.0019,0.9497,0.0032,0.7279,0.0005,-1.3852,0.0969,203988,0001m225,2068,0.017668108,96.314026,164.30281,224.06183,262.9318,1.374724,1.2320019,1.4043026,1.1513813,0.74041283,241120.66,3.2906244,205470.22,0.15574026,3809064.5,-0.010747138,1612471.6,17.540775,16.960888,16.62408,16.450392,16.640575,17.031475,15.055349,12.263554,0.5798874,0.33680725,0.51049614,0.17368889,0.1002083,-22.5888056,00 00 24.05,-22 35 19.7,0.0,,19.3392,19.222
1,1,1645,0.079356474601419,-22.57609230832414,SER,0.444957228535091,741.4711,0.0127,676.2068,0.0073,8.3541,0.0228,18.9807,0.0025,0.4985,0.0061,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.3075,0.0169,18.6522,0.0021,0.6517,0.0035,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.2629,0.0276,18.4092,0.0031,0.7978,0.0070,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.2147,0.0452,18.3382,0.0064,0.9559,0.0125,0.4999,0.0010,76.0773,0.1251,203988,0001m225,1645,0.017528892,48.266956,92.56008,126.76573,154.32976,1.4651365,1.2320019,1.3169467,1.1513813,2.8488412,13063.839,2.6694756,61024.297,0.017965661,632260.8,0.022896547,737468.5,18.290874,17.58394,17.242495,17.028875,17.22928,17.531992,15.749675,,0.706934,0.34144592,0.55506516,0.21361923,0.0790833,-22.5758889,00 00 18.98,-22 34 33.2,0.0,,20.2714,19.9779
1,2,1873,0.0912554639415616,-22.58790183800087,SER,0.444957228535091,482.9522,0.0036,565.0435,0.0049,7.9672,0.0519,18.4698,0.004,2.7676,0.0227,0.4477,0.0011,35.973,0.1097,482.9522,0.0036,565.0435,0.0049,7.8358,0.0283,18.1628,0.0022,2.5567,0.0122,0.4477,0.0011,35.973,0.1097,482.9522,0.0036,565.0435,0.0049,7.7105,0.0412,17.8759,0.0033,2.3555,0.0166,0.4477,0.0011,35.973,0.1097,482.9522,0.0036,565.0435,0.0049,7.5749,0.0752,17.8600,0.0072,2.1377,0.0306,0.4477,0.0011,35.973,0.1097,203988,0001m225,1873,0.017578758,25.540777,34.18393,42.58211,45.124325,1.374724,1.2320019,1.4043026,1.1513813,0.63807,25758.943,2.1527371,60902.19,-0.28730324,411283.78,0.15169393,275542.66,18.981915,18.665445,18.426931,18.363974,18.964104,18.848747,,,0.3164692,0.23851395,0.3014717,0.06295776,0.091125,-22.5878889,00 00 21.87,-22 35 16.4,0.0,,20.2043,19.9377
2,1,910,0.3129815262621921,13.11314170389291,SER,2.13987225133761,503.297,0.0038,741.8474,0.0064,34.5105,0.0196,14.9923,5.0E-4,1.3016,0.0010,0.5896,0.0002,-19.7645,0.0295,503.297,0.0038,741.8474,0.0064,34.1450,0.0157,14.4693,4.0E-4,1.3699,0.0007,0.5896,0.0002,-19.7645,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.297,0.0038,741.8474,0.0064,33.4186,0.0368,14.0924,0.0009,1.5055,0.0017,0.5896,0.0002,-19.7645,0.0295,404689,0003p130,910,0.08065711,265.1013,444.5779,0.0,644.8338,1.5809548,1.3426262,0.0,1.5098474,1.0687332,373129.8,9.556523,44885.47,-0.1056844,7462593.0,0.58465093,1.4950313E7,16.441471,15.880131,Infinity,15.47638,16.136421,16.660906,15.554382,16.187887,0.56134033,Infinity,0.40375042,Infinity,0.3132083,13.1134167,00 01 15.17,+13 06 48.3,0.018646,,18.5922,18.186
2,2,4494,0.3331994716833093,13.11123683829803,DUP,2.13987225133761,841.8548,0.0012,719.8106,7.0E-4,44.2328,0.0215,13.4622,3.0E-4,3.5631,0.0013,0.5587,0.0001,75.4821,0.0095,841.8548,0.0012,719.8106,7.0E-4,46.4146,0.0161,12.6362,2.0E-4,3.8038,0.0010,0.5587,0.0001,75.4821,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.8548,0.0012,719.8106,7.0E-4,50.7497,0.0335,11.9764,0.0004,4.2819,0.0018,0.5587,0.0001,75.4821,0.0095,404689,0003p130,4494,0.08060997,0.0,0.0,0.0,0.0,1.5825707,1.2880095,0.0,1.4925475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.333625,13.1111944,00 01 20.07,+13 06 40.3,0.017899,,16.7561,16.2019
2,4,1972,0.3732407814035215,13.09852691955251,SER,2.13987225133761,1111.3452,0.0166,746.5955,0.0141,36.5639,0.0625,16.3771,0.0015,1.1081,0.0026,0.2528,0.0003,49.7993,0.0245,1111.3452,0.0166,746.5955,0.0141,36.2660,0.0488,15.8409,0.0013,1.0998,0.0019,0.2528,0.0003,49.7993,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.3452,0.0166,746.5955,0.0141,35.6739,0.1028,15.4709,0.0026,1.0833,0.0042,0.2528,0.0003,49.7993,0.0245,404689,0003p130,1972,0.08053331,96.03273,136.64732,0.0,167.82423,1.5825707,1.2880095,0.0,1.4925475,0.6900727,115520.11,8.0724945,11882.092,-0.041387293,501559.3,-0.2330424,1279131.4,17.543951,17.160997,Infinity,16.937862,17.898212,18.694412,,,0.38295364,Infinity,0.223135,Infinity,0.373,13.0985833,00 01 29.52,+13 05 54.9,0.0,,19.281,19.2182
2,3,4495,0.3587273382901289,13.11244513656859,DUP,2.13987225133761,302.4151,0.0581,545.3456,0.0494,95.9395,1.0418,16.6742,0.0073,2.3190,0.0146,0.5189,0.0017,-44.5407,0.2521,302.4151,0.0581,545.3456,0.0494,81.3392,0.6985,16.4273,0.0069,1.9545,0.0117,0.5189,0.0017,-44.5407,0.2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.4151,0.0581,545.3456,0.0494,52.3285,0.8042,16.5689,0.0135,1.2303,0.0195,0.5189,0.0017,-44.5407,0.2521,404689,0003p130,4495,0.08077177,0.0,0.0,0.0,0.0,1.5825707,1.2880095,0.0,1.4925475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.35925,13.1125278,00 01 26.22,+13 06 45.1,0.017532,,17.1312,16.6332
3,2,6959,2.837759217243158,-53.98101274211389,SER,1.29447802358204,719.5932,0.0055,336.3854,0.0049,7.9612,0.0126,18.122,0.0015,0.7598,0.0034,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.7652,0.0083,17.6359,0.0011,0.8373,0.0019,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.5781,0.0122,17.3781,0.0016,0.9113,0.0031,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.3757,0.0204,17.2826,0.0027,0.9913,0.0056,0.8608,0.0008,59.8707,0.3274,63164,0027m540,6959,0.013003452,55.225315,87.73145,112.72442,126.94051,1.2637981,1.1899415,1.1435049,1.2433984,0.8337279,222480.08,2.0223577,651481.3,-0.036698896,2463457.2,0.06467345,4009181.0,18.144655,17.64211,17.369955,17.241,17.62722,18.07626,15.657281,,0.5025444,0.27215576,0.4011116,0.12895584,2.8379583,-53.9808889,00 11 21.11,-53 58 51.2,0.0,,20.0492,19.6655
3,3,7086,2.842623280146343,-53.953910753132,SER,1.29447802358204,601.2763,0.0035,1023.7382,0.0044,36.2660,0.0217,15.404,5.0E-4,0.9882,0.0009,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,39.4389,0.0252,14.7606,5.0E-4,1.5277,0.0010,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,42.4663,0.0458,14.4776,8.0E-4,2.0424,0.0017,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,45.7435,0.0716,14.2780,0.0011,2.5997,0.0027,0.7673,0.0002,11.9182,0.0501,63164,0027m540,7086,0.013347207,26.546524,34.513557,41.891937,43.804474,1.379217,1.2221423,1.1796682,1.1675323,0.7723974,59319.2,3.3150465,66341.98,-0.23501629,941225.44,0.4634793,1443244.5,18.939981,18.655025,18.444674,18.396204,19.029074,,16.632574,,0.28495598,0.21035194,0.2588215,0.048469543,2.842,-53.9536944,00 11 22.08,-53 57 13.3,0.0,,19.9107,19.7047
