X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra_1,dec_1,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g_1,mag_r_1,mag_i_1,mag_z_1,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group_1,Gal_1,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation,Group_2,Gal_2,ID,ra_2,dec_2,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g_2,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r_2,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i_2,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z_2,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
430.9527,765.6969,16.8474007,-32.8290287,16.8474048,-32.8290508,8.133,3.5,0,319.7858,0.0278081,1.938,-73.95,13.7993,1.0E-4,18870.0,151766,0167m327,7828,SER,16.84741713183292,-32.8290673708472,0.028982436,414.1549,920.47723,1297.2289,1622.3225,1.373282,1.2616813,1.158947,1.0554078,1.5113742,4127151.8,3.0896199,5022205.0,0.37618887,1.33092096E8,0.22846216,1.1363932E8,15.957093,15.089968,14.717459,14.474657,14.970778,15.49166,15.527465,,0.8671255,0.372509,0.61531067,0.24280167,16.8474167,-32.8291111,26,4,01 07 23.38,-32 49 44.8,0.035811,,19.5974,18.7922,Simbad,0.1574303699103669,26,4,7828,16.84741713183292,-32.8290673708472,0.793479330916477,430.8808,4.0E-4,765.8698,8.0E-4,13.6116,0.0037,15.9679,2.0E-4,1.2265,0.0009,0.3725,1.0E-4,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,12.2773,0.0024,15.0434,1.0E-4,1.3947,0.0006,0.3725,1.0E-4,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,11.0043,0.0021,14.7278,1.0E-4,1.5551,0.0006,0.3725,1.0E-4,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,9.6262,0.0033,14.4175,2.0E-4,1.7287,0.0010,0.3725,1.0E-4,16.5187,0.0053
597.8245,728.4967,16.8329356,-32.8317906,16.8329509,-32.8317545,12.645,3.5,0,89.86029,0.0278938,3.047,-41.65,14.4799,3.0E-4,6602.0,151766,0167m327,9564,DUP,16.83293887916162,-32.8317691155815,0.029134303,0.0,0.0,0.0,0.0,1.373282,1.2616813,1.158947,1.0554078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,16.8327917,-32.8316944,26,3,01 07 19.87,-32 49 54.1,0.035194,,19.3174,18.4741,Simbad,0.5201547326875124,26,3,9564,16.83293887916162,-32.8317691155815,0.793479330916477,597.545,0.0023,728.8289,0.002,19.4817,0.0051,16.4851,3.0E-4,0.5078,0.0006,0.2544,1.0E-4,49.8399,0.0051,597.545,0.0023,728.8289,0.002,19.1042,0.0032,15.7766,2.0E-4,0.6747,0.0004,0.2544,1.0E-4,49.8399,0.0051,597.545,0.0023,728.8289,0.002,18.744,0.0043,15.4747,3.0E-4,0.8339,0.0005,0.2544,1.0E-4,49.8399,0.0051,597.545,0.0023,728.8289,0.002,18.3540,0.0073,15.1926,4.0E-4,1.0063,0.0009,0.2544,1.0E-4,49.8399,0.0051
946.8118,675.7816,16.8027048,-32.8356348,16.8027211,-32.835578,15.13,3.56,0,12.28571,0.02797923,1.088,-60.31,16.1499,0.0015,1209.0,151766,0167m327,6445,REX,16.80270840320432,-32.83567747715625,0.029552748,73.49026,117.93108,143.41069,163.30852,1.373282,1.2616813,1.158947,1.0554078,1.0,0.0,3.9109726,137954.42,0.0,0.0,0.0,0.0,17.834425,17.320929,17.108545,16.967478,17.419529,18.017485,18.834425,,0.5134964,0.21238327,0.35345078,0.1410675,16.8027083,-32.8356111,26,1,01 07 12.65,-32 50 08.2,0.0643,,19.734,19.2631,Simbad,0.238957966410072,26,1,6445,16.80270840320432,-32.83567747715625,0.793479330916477,946.9052,0.0086,674.7874,0.0092,16.5053,0.0287,17.7552,0.0016,0.9076,0.0025,0.9179,7.0E-4,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,16.3148,0.0209,17.2521,0.0013,1.0749,0.0018,0.9179,7.0E-4,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,16.133,0.034,17.0554,0.002,1.2345,0.0030,0.9179,7.0E-4,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,15.9363,0.0559,16.9425,0.0032,1.4073,0.0051,0.9179,7.0E-4,6.0452,0.4959
772.6604,578.2374,16.8180316,-32.8427018,16.8178012,-32.8426844,14.104,4.13,0,3.956573,0.02800765,1.279,0.39,17.2807,0.0041,451.8,151766,0167m327,6928,EXP,16.81804207117206,-32.8427817921172,0.029327404,25.418844,33.354465,36.752907,39.609005,1.355775,1.232342,1.1533581,1.0554078,1.0,0.0,3.6908345,25825.373,-0.16000912,431265.97,0.12021231,354179.22,18.98711,18.692116,18.586771,18.505516,20.840569,19.185719,,11.086848,0.29499435,0.10534477,0.18659973,0.08125496,16.8177917,-32.8426111,26,2,01 07 16.27,-32 50 33.4,0.0638,,20.0433,19.8393,Simbad,0.97522120075189,26,2,6928,16.81804207117206,-32.8427817921172,0.793479330916477,771.6877,0.0227,576.8618,0.0145,16.8836,0.0594,18.7241,0.0031,0.9028,0.0049,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,16.5453,0.047,18.4686,0.003,0.9463,0.0036,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,16.2226,0.0774,18.3982,0.0052,0.9877,0.0065,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,15.8732,0.1251,18.3596,0.0083,1.0326,0.0108,0.6097,0.0012,75.451,0.1868
663.2053,796.0009,30.9645787,-31.14397,30.9647313,-31.1437516,11.19,3.5,0,48.28455,0.02397233,1.744,-67.47,14.823,3.0E-4,6338.0,159150,0310m312,1498,SER,30.96466705372731,-31.14377393611345,0.022625748,280.76392,380.8115,421.0894,471.58167,1.369367,1.1200596,0.96734303,1.205984,0.6996461,2717249.2,3.8686197,1533700.5,0.272415,3.5801016E7,0.2492863,3.4993412E7,16.379147,16.048225,15.939064,15.816108,16.357124,16.894632,15.20279,13.930923,0.33092117,0.10916138,0.23211765,0.12295628,30.9649167,-31.1436944,40,3,02 03 51.58,-31 08 37.3,0.0289,,17.5967,17.2655,Simbad,0.8207596918533271,40,3,1498,30.96466705372731,-31.14377393611345,0.658835898058,663.5278,0.0014,795.6321,0.0025,14.8916,0.0038,16.3151,3.0E-4,0.5343,0.0005,0.5162,1.0E-4,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,14.5148,0.0028,16.0008,3.0E-4,0.6172,0.0003,0.5162,1.0E-4,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,14.1552,0.0038,15.915,3.0E-4,0.6963,0.0005,0.5162,1.0E-4,22.5412,0.0138,663.5278,0.0014,795.6321,0.0025,13.7660,0.0059,15.8152,4.0E-4,0.7820,0.0008,0.5162,1.0E-4,22.5412,0.0138
735.9047,750.858,30.9586264,-31.1468087,30.9585495,-31.1470373,8.962,3.5,0,19.02177,0.02389868,1.954,-83.92,16.3378,9.0E-4,1987.0,159150,0310m312,1257,SER,30.95856931662525,-31.14696311824521,0.022556743,74.313484,95.47202,102.53385,111.74088,1.372416,1.1321269,0.96734303,1.1827521,0.5,518127.3,3.0986004,453803.7,0.49010858,9417435.0,0.17884386,5950638.0,17.82233,17.55031,17.472832,17.379469,18.061316,17.817305,18.410275,,0.27202034,0.07747841,0.17084122,0.09336281,30.9584167,-31.1471111,40,2,02 03 50.02,-31 08 49.6,0.0,,18.7238,18.6343,Simbad,0.7105701053086684,40,2,1257,30.95856931662525,-31.14696311824521,0.658835898058,735.8091,0.0021,751.5716,0.0052,12.0249,0.0073,17.8509,6.0E-4,0.4039,0.0014,0.3061,2.0E-4,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.0586,0.0052,17.5579,6.0E-4,0.4513,0.0008,0.3061,2.0E-4,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.0907,0.0074,17.4767,8.0E-4,0.4966,0.0012,0.3061,2.0E-4,10.3583,0.0178,735.8091,0.0021,751.5716,0.0052,12.1254,0.0121,17.3814,0.0011,0.5456,0.0022,0.3061,2.0E-4,10.3583,0.0178
496.9714,633.1696,30.9789522,-31.1555399,30.9788696,-31.1556004,7.754,3.5,2,27.46896,0.02407018,2.26,-0.23,16.3287,9.0E-4,2253.0,159150,0310m312,1972,SER,30.97886528617959,-31.15557516968853,0.022416946,56.85218,88.91487,109.35854,118.29782,1.372416,1.1321269,0.9668255,1.1637511,0.6841879,306459.88,2.5427797,506905.5,-0.53535676,7244163.0,0.043473765,4490641.5,18.113132,17.627563,17.402868,17.317558,17.238876,17.60081,15.028274,12.674983,0.485569,0.2246952,0.3100052,0.08530998,30.9789167,-31.1556111,40,4,02 03 54.94,-31 09 20.2,0.0665,,19.9221,19.6045,Simbad,0.204498587480468,40,4,1972,30.97886528617959,-31.15557516968853,0.658835898058,496.9629,0.0046,633.5986,0.0018,10.1025,0.0086,18.0682,7.0E-4,0.7328,0.0025,0.3051,2.0E-4,88.101,0.0202,496.9629,0.0046,633.5986,0.0018,10.2225,0.0052,17.5576,6.0E-4,0.7903,0.0015,0.3051,2.0E-4,88.101,0.0202,496.9629,0.0046,633.5986,0.0018,10.337,0.0073,17.3656,8.0E-4,0.8452,0.0019,0.3051,2.0E-4,88.101,0.0202,496.9629,0.0046,633.5986,0.0018,10.4609,0.0127,17.2074,0.001,0.9047,0.0033,0.3051,2.0E-4,88.101,0.0202
858.4365,564.7869,30.9479107,-31.1607818,30.9481288,-31.160579,9.057,3.5,2,28.73653,0.02404575,2.008,-28.37,15.8385,7.0E-4,3167.0,159150,0310m312,878,SER,30.9478588830863,-31.16082085071439,0.022319773,65.94136,120.37162,158.22469,194.25854,1.372416,1.1321269,0.9593555,1.1696465,2.3856077,59336.074,2.0095134,569137.6,-0.38262308,4623757.5,0.1968056,3714652.8,17.952105,17.298689,17.001814,16.779049,16.902626,17.226221,15.276324,13.736371,0.6534157,0.296875,0.51963997,0.22276497,30.9485,-31.1603056,40,1,02 03 47.64,-31 09 37.1,0.0,,19.816,19.3727,Simbad,2.7094965823774038,40,1,878,30.9478588830863,-31.16082085071439,0.658835898058,861.2564,0.0019,561.6997,0.0012,13.7588,0.0430,17.5545,0.0017,3.8465,0.0116,0.4013,3.0E-4,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,12.39,0.0265,16.9423,0.0012,3.6282,0.0072,0.4013,3.0E-4,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,11.0841,0.022,16.7127,0.0012,3.4199,0.0067,0.4013,3.0E-4,71.8525,0.0289,861.2564,0.0019,561.6997,0.0012,9.6704,0.0346,16.5946,0.0021,3.1945,0.0109,0.4013,3.0E-4,71.8525,0.0289
485.8423,862.1399,73.3813472,-36.2407109,73.3813614,-36.2407007,15.865,3.5,0,62.91673,0.02578646,1.461,-69.11,15.3035,8.0E-4,2751.0,135321,0734m362,12694,DUP,73.38137624380975,-36.24073564478677,0.009605601,0.0,0.0,0.0,0.0,1.4060713,1.1777216,1.1307229,1.1526495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,73.381,-36.2401111,68,4,04 53 31.44,-36 14 24.4,0.0,,19.6429,19.4577,Simbad,2.4997128880403774,68,4,12694,73.38137624380975,-36.24073564478677,0.60373824416547,485.7218,0.0016,861.6215,0.0019,72.8677,0.5680,16.6673,0.0041,5.8478,0.0217,0.6637,6.0E-4,8.8063,0.0618,485.7218,0.0016,861.6215,0.0019,70.1449,0.2842,15.7876,0.0021,6.8119,0.0103,0.6637,6.0E-4,8.8063,0.0618,485.7218,0.0016,861.6215,0.0019,67.547,0.3591,15.4688,0.0025,7.7318,0.0152,0.6637,6.0E-4,8.8063,0.0618,485.7218,0.0016,861.6215,0.0019,64.7347,0.6985,15.2819,0.0051,8.7275,0.0298,0.6637,6.0E-4,8.8063,0.0618
889.4496,775.8178,73.3449864,-36.2469892,73.3449458,-36.2470024,10.114,4.04,2,9.858406,0.0258126,1.689,25.19,17.2876,0.003,664.6,135321,0734m362,1826,SER,73.34498265667271,-36.24702057351266,0.009709291,34.541126,52.289837,61.754627,68.529884,1.3849535,1.1570665,1.113414,1.1147665,2.4493582,27814.994,4.4386387,30264.41,-0.08225331,500971.0,-0.22356422,930698.4,18.65416,18.203957,18.023327,17.9103,19.028727,19.208858,,13.474765,0.45020294,0.18062973,0.2936573,0.11302757,73.3445,-36.2468056,68,1,04 53 22.68,-36 14 48.5,0.0,,20.0759,20.155,Simbad,1.6008068760531868,68,1,1826,73.34498265667271,-36.24702057351266,0.60373824416547,889.0855,0.007,775.5761,0.005,16.2422,0.0928,18.618,0.0043,1.9820,0.0132,0.6173,0.0013,-55.0046,0.1629,889.0855,0.007,775.5761,0.005,14.9528,0.0514,18.2497,0.0027,2.1994,0.0076,0.6173,0.0013,-55.0046,0.1629,889.0855,0.007,775.5761,0.005,13.7226,0.0843,18.1501,0.0047,2.4069,0.0143,0.6173,0.0013,-55.0046,0.1629,889.0855,0.007,775.5761,0.005,12.3908,0.1520,18.1448,0.0089,2.6314,0.0254,0.6173,0.0013,-55.0046,0.1629
