Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,type_2,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
20,1,1471,13.04012577583562,-1.119177251059751,SER,0.550881294713299,756.9186,0.002,659.4763,0.0047,34.2949,0.0154,16.5489,5.0E-4,0.7657,0.0009,0.2277,1.0E-4,-23.0521,0.0058,756.9186,0.002,659.4763,0.0047,32.8672,0.0116,15.8441,3.0E-4,0.9628,0.0006,0.2277,1.0E-4,-23.0521,0.0058,756.9186,0.002,659.4763,0.0047,31.5050,0.0134,15.5299,3.0E-4,1.1508,0.0007,0.2277,1.0E-4,-23.0521,0.0058,756.9186,0.002,659.4763,0.0047,30.0303,0.0195,15.2787,5.0E-4,1.3544,0.0013,0.2277,1.0E-4,-23.0521,0.0058,324660,0131m010,1471,SER,0.051570516,230.60197,448.92276,636.275,798.9123,1.2603335,1.2122216,1.1767341,1.1621677,1.057419,1638754.4,8.487607,247327.45,0.43531945,5.4462148E7,-0.45720544,5.4293176E7,16.592842,15.869571,15.490888,15.243752,15.001912,15.345359,13.093337,12.205332,0.72327137,0.3786831,0.62581825,0.24713516,13.0404167,-1.1191389,00 52 09.70,-01 07 08.9,0.041238,,19.5171,18.6617,Simbad,0.0
20,3,1935,13.04660065707238,-1.128448197229796,EXP,0.550881294713299,676.7578,0.0047,519.8303,0.0034,13.8501,0.0278,17.9135,0.0018,1.2425,0.0039,0.6732,5.0E-4,-64.1641,0.0925,676.7578,0.0047,519.8303,0.0034,12.7863,0.0145,17.4785,0.001,1.3475,0.0020,0.6732,5.0E-4,-64.1641,0.0925,676.7578,0.0047,519.8303,0.0034,11.7714,0.0170,17.2249,0.0012,1.4478,0.0029,0.6732,5.0E-4,-64.1641,0.0925,676.7578,0.0047,519.8303,0.0034,10.6727,0.0325,17.1916,0.0025,1.5562,0.0053,0.6732,5.0E-4,-64.1641,0.0925,323220,0131m012,1935,EXP,0.051507268,3.4392571,3.2952976,3.358729,2.7863362,1.2609787,1.2108105,1.1729822,1.1568494,1.0,0.0,2.0052536,2357.357,-0.2930719,10150.253,-0.35053492,11807.057,21.158838,21.205263,21.184563,21.387417,,,,,-0.046424866,0.020700455,-0.1821537,-0.20285416,13.0462083,-1.1287222,00 52 11.09,-01 07 43.4,0.104819,,19.9696,18.953,Simbad,0.0
20,2,1536,13.04231588811046,-1.109083549669928,REX,0.550881294713299,723.3525,0.0038,783.534,0.0051,2.8661,0.0112,19.7399,0.0022,1.0814,0.0223,0.5483,0.0021,12.1869,0.2279,723.3525,0.0038,783.534,0.0051,3.0283,0.0066,19.4675,0.0018,1.1854,0.0108,0.5483,0.0021,12.1869,0.2279,723.3525,0.0038,783.534,0.0051,3.1832,0.0103,19.3441,0.0025,1.2846,0.0159,0.5483,0.0021,12.1869,0.2279,723.3525,0.0038,783.534,0.0051,3.3508,0.0180,19.2356,0.004,1.3920,0.0308,0.5483,0.0021,12.1869,0.2279,324660,0131m010,1536,REX,0.051510766,0.25799054,0.4023387,0.48846605,0.14988658,1.2603335,1.2122216,1.1767341,1.1717132,1.0,0.0,1.2333512,88.353714,0.0,0.0,0.0,0.0,23.970991,23.48852,23.277914,24.560593,,,17.390049,,0.48247147,0.21060562,-1.072073,-1.2826786,13.0429583,-1.1094444,00 52 10.31,-01 06 34.0,0.0,,19.9459,20.2035,Simbad,0.0
20,4,1904,13.05099114252429,-1.111288683922806,SER,0.550881294713299,607.4764,0.0036,767.6451,0.0014,15.2334,0.0130,17.4378,8.0E-4,0.9530,0.0019,0.2954,1.0E-4,78.0638,0.0124,607.4764,0.0036,767.6451,0.0014,14.5706,0.0083,16.8177,5.0E-4,1.0009,0.0011,0.2954,1.0E-4,78.0638,0.0124,607.4764,0.0036,767.6451,0.0014,13.9382,0.0088,16.5724,5.0E-4,1.0466,0.0013,0.2954,1.0E-4,78.0638,0.0124,607.4764,0.0036,767.6451,0.0014,13.2537,0.0143,16.3689,9.0E-4,1.0961,0.0022,0.2954,1.0E-4,78.0638,0.0124,324660,0131m010,1904,SER,0.05183192,103.06562,185.43976,246.9346,294.73126,1.2603335,1.2122216,1.1767341,1.1621677,1.0325946,545989.94,3.784927,491015.25,-0.49770728,1.7308538E7,0.21910955,1.2051584E7,17.467215,16.829493,16.518545,16.326435,16.46787,16.92776,14.921985,13.97155,0.637722,0.31094742,0.5030575,0.19211006,13.051125,-1.11125,00 52 12.27,-01 06 40.5,0.0413,,19.6992,19.3486,Simbad,0.0
26,4,7828,16.84741713183292,-32.8290673708472,SER,0.793479330916477,430.8808,4.0E-4,765.8698,8.0E-4,13.6116,0.0037,15.9679,2.0E-4,1.2265,0.0009,0.3725,1.0E-4,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,12.2773,0.0024,15.0434,1.0E-4,1.3947,0.0006,0.3725,1.0E-4,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,11.0043,0.0021,14.7278,1.0E-4,1.5551,0.0006,0.3725,1.0E-4,16.5187,0.0053,430.8808,4.0E-4,765.8698,8.0E-4,9.6262,0.0033,14.4175,2.0E-4,1.7287,0.0010,0.3725,1.0E-4,16.5187,0.0053,151766,0167m327,7828,SER,0.028982436,414.1549,920.47723,1297.2289,1622.3225,1.373282,1.2616813,1.158947,1.0554078,1.5113742,4127151.8,3.0896199,5022205.0,0.37618887,1.33092096E8,0.22846216,1.1363932E8,15.957093,15.089968,14.717459,14.474657,14.970778,15.49166,15.527465,,0.8671255,0.372509,0.61531067,0.24280167,16.8474167,-32.8291111,01 07 23.38,-32 49 44.8,0.035811,,19.5974,18.7922,Simbad,0.0
26,3,9564,16.83293887916162,-32.8317691155815,DUP,0.793479330916477,597.545,0.0023,728.8289,0.002,19.4817,0.0051,16.4851,3.0E-4,0.5078,0.0006,0.2544,1.0E-4,49.8399,0.0051,597.545,0.0023,728.8289,0.002,19.1042,0.0032,15.7766,2.0E-4,0.6747,0.0004,0.2544,1.0E-4,49.8399,0.0051,597.545,0.0023,728.8289,0.002,18.7440,0.0043,15.4747,3.0E-4,0.8339,0.0005,0.2544,1.0E-4,49.8399,0.0051,597.545,0.0023,728.8289,0.002,18.3540,0.0073,15.1926,4.0E-4,1.0063,0.0009,0.2544,1.0E-4,49.8399,0.0051,151766,0167m327,9564,DUP,0.029134303,0.0,0.0,0.0,0.0,1.373282,1.2616813,1.158947,1.0554078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,16.8327917,-32.8316944,01 07 19.87,-32 49 54.1,0.035194,,19.3174,18.4741,Simbad,0.0
26,1,6445,16.80270840320432,-32.83567747715625,REX,0.793479330916477,946.9052,0.0086,674.7874,0.0092,16.5053,0.0287,17.7552,0.0016,0.9076,0.0025,0.9179,7.0E-4,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,16.3148,0.0209,17.2521,0.0013,1.0749,0.0018,0.9179,7.0E-4,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,16.1330,0.0340,17.0554,0.002,1.2345,0.0030,0.9179,7.0E-4,6.0452,0.4959,946.9052,0.0086,674.7874,0.0092,15.9363,0.0559,16.9425,0.0032,1.4073,0.0051,0.9179,7.0E-4,6.0452,0.4959,151766,0167m327,6445,REX,0.029552748,73.49026,117.93108,143.41069,163.30852,1.373282,1.2616813,1.158947,1.0554078,1.0,0.0,3.9109726,137954.42,0.0,0.0,0.0,0.0,17.834425,17.320929,17.108545,16.967478,17.419529,18.017485,18.834425,,0.5134964,0.21238327,0.35345078,0.1410675,16.8027083,-32.8356111,01 07 12.65,-32 50 08.2,0.0643,,19.734,19.2631,Simbad,0.0
26,2,6928,16.81804207117206,-32.8427817921172,EXP,0.793479330916477,771.6877,0.0227,576.8618,0.0145,16.8836,0.0594,18.7241,0.0031,0.9028,0.0049,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,16.5453,0.0470,18.4686,0.003,0.9463,0.0036,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,16.2226,0.0774,18.3982,0.0052,0.9877,0.0065,0.6097,0.0012,75.451,0.1868,771.6877,0.0227,576.8618,0.0145,15.8732,0.1251,18.3596,0.0083,1.0326,0.0108,0.6097,0.0012,75.451,0.1868,151766,0167m327,6928,EXP,0.029327404,25.418844,33.354465,36.752907,39.609005,1.355775,1.232342,1.1533581,1.0554078,1.0,0.0,3.6908345,25825.373,-0.16000912,431265.97,0.12021231,354179.22,18.98711,18.692116,18.586771,18.505516,20.840569,19.185719,,11.086848,0.29499435,0.10534477,0.18659973,0.08125496,16.8177917,-32.8426111,01 07 16.27,-32 50 33.4,0.0638,,20.0433,19.8393,Simbad,0.0
28,4,10387,20.29108124601455,-32.04061563232854,SER,0.617147559289692,401.5528,0.0027,856.7382,0.004,17.4979,0.0183,17.048,9.0E-4,1.2767,0.0019,0.6056,3.0E-4,13.1909,0.0406,401.5528,0.0027,856.7382,0.004,17.0540,0.0110,16.5993,6.0E-4,1.3601,0.0011,0.6056,3.0E-4,13.1909,0.0406,401.5528,0.0027,856.7382,0.004,16.6306,0.0151,16.4486,8.0E-4,1.4396,0.0016,0.6056,3.0E-4,13.1909,0.0406,401.5528,0.0027,856.7382,0.004,16.1721,0.0262,16.3509,0.0013,1.5256,0.0028,0.6056,3.0E-4,13.1909,0.0406,155430,0201m320,10387,SER,0.026457714,147.64113,227.36023,279.70554,302.693,1.3119237,1.1694787,1.2061014,1.3767923,1.4024835,417332.16,4.495675,281279.28,0.22286202,9837160.0,0.10895344,6310693.0,17.076982,16.608213,16.383247,16.297495,16.879856,17.385614,15.93232,16.234596,0.46876907,0.22496605,0.31071854,0.08575249,20.2909167,-32.0405,01 21 09.82,-32 02 25.8,0.0352,,19.0883,18.6107,Simbad,0.0
28,3,9981,20.27815691689498,-32.0500743178396,SER,0.617147559289692,546.6294,0.0067,726.468,0.0029,10.0835,0.0103,18.3549,9.0E-4,0.5430,0.0024,0.3559,3.0E-4,77.5412,0.0319,546.6294,0.0067,726.468,0.0029,10.3687,0.0077,18.0226,8.0E-4,0.6275,0.0013,0.3559,3.0E-4,77.5412,0.0319,546.6294,0.0067,726.468,0.0029,10.6408,0.0122,17.8654,0.0014,0.7082,0.0023,0.3559,3.0E-4,77.5412,0.0319,546.6294,0.0067,726.468,0.0029,10.9353,0.0198,17.8132,0.0017,0.7955,0.0042,0.3559,3.0E-4,77.5412,0.0319,155430,0201m320,9981,SER,0.02635827,24.378428,26.56906,24.89392,24.253307,1.3363308,1.1683176,1.1561024,1.4143497,2.165948,5870.638,3.2210474,72514.13,-0.13277137,280899.56,0.49179408,456306.38,19.032486,18.93906,19.009768,19.038073,,,,,0.09342575,-0.07070732,-0.099012375,-0.028305054,20.2784167,-32.0501111,01 21 06.82,-32 03 00.4,0.0722,,20.1093,19.6308,Simbad,0.0
