brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Separation,ID,CHI2NU,XC_R,e_XC_R,YC_R,e_YC_R,MAG_R,e_MAG_R,RE_R,e_RE_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,MAG_J0378,e_MAG_J0378,RE_J0378,e_RE_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,MAG_J0395,e_MAG_J0395,RE_J0395,e_RE_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,MAG_J0410,e_MAG_J0410,RE_J0410,e_RE_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,MAG_J0430,e_MAG_J0430,RE_J0430,e_RE_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,MAG_J0515,e_MAG_J0515,RE_J0515,e_RE_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,MAG_J0660,e_MAG_J0660,RE_J0660,e_RE_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,MAG_J0861,e_MAG_J0861,RE_J0861,e_RE_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,MAG_G,e_MAG_G,RE_G,e_RE_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,MAG_I,e_MAG_I,RE_I,e_RE_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,MAG_Z,e_MAG_Z,RE_Z,e_RE_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,MAG_U,e_MAG_U,RE_U,e_RE_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto
112777,0555m412,8183,PSF,55.61951174555693,-41.16989996658953,0.015968593,44.052433,52.704987,49.092915,47.83614,17.342054,16.692055,15.92209,14.376433,0.19470406,-0.07708168,-0.10523796,-0.02815628,55.6192917,-41.17,60,3,03 42 28.63,-41 10 12.0,0.0,,19.9046,18.1355,0.6966144853846179,iDR4_3_SPLUS-s32s32_0031006,1.18227003668148,286.194,0.0371,246.0104,0.0393,18.4394,0.0414,4.2361,0.1787,1.3802,0.0730,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,20.6379,0.5517,4.2972,0.3748,1.1934,0.1810,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,18.6933,0.1729,4.2930,0.3551,1.2062,0.1708,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,19.0266,0.2067,4.2892,0.3377,1.2178,0.1616,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,19.0048,0.1969,4.2843,0.3157,1.2326,0.1500,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,18.5942,0.0987,4.2637,0.2326,1.2958,0.1048,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,18.3563,0.0456,4.2273,0.1848,1.4069,0.0766,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,18.2973,0.1028,4.1783,0.3595,1.5569,0.1720,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,18.7673,0.064,4.2731,0.2678,1.2671,0.1242,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,18.2991,0.0618,4.2009,0.2607,1.4877,0.1195,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,18.2473,0.101,4.1729,0.3850,1.5734,0.1854,0.9255,0.0188,40.5821,13.7123,286.194,0.0371,246.0104,0.0393,19.6646,0.1418,4.3029,0.4023,1.1759,0.1953,0.9255,0.0188,40.5821,13.7123,18.783296585083008,0.0421924479305744,18.79652214050293,0.0757126808166503,18.616100311279297,0.1123486831784248,18.56694984436035,0.0929567366838455,18.789287567138672,0.1094513833522796,18.726999282836918,0.0298377536237239,18.713285446166992,0.0767554119229316,18.48675537109375,0.0231397505849599,18.545944213867188,0.0302472375333309,18.55677604675293,0.0354673527181148,18.58819007873535,0.0766567438840866,18.37052726745605,0.0555746108293533
112777,0555m412,7925,SER,55.61118847941587,-41.14467798349656,0.016196558,1141.3983,1803.2839,2210.75,2378.8057,14.68868,15.192921,13.549897,13.22913,0.49656773,0.22118855,0.30073643,0.07954788,55.6112917,-41.1446111,60,2,03 42 26.71,-41 08 40.6,0.004923,,17.0741,16.6998,0.3691608350963796,iDR4_3_SPLUS-s32s32_0042751,1.18227003668148,286.2759,0.0095,316.9731,0.0085,14.4694,0.0032,15.2300,0.0424,1.3277,0.0035,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,15.4219,0.0128,12.9633,0.0925,1.3799,0.0094,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,15.4518,0.0203,13.1182,0.0877,1.3763,0.0089,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,15.1525,0.0147,13.2585,0.0835,1.3731,0.0085,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,15.1604,0.0146,13.4389,0.0781,1.3689,0.0079,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,14.7972,0.0086,14.2050,0.0574,1.3513,0.0056,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,14.1476,0.0032,15.5543,0.0431,1.3203,0.0033,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,14.0915,0.0069,17.3736,0.0837,1.2784,0.0070,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,14.9705,0.0052,13.8570,0.0662,1.3593,0.0066,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,14.2226,0.0042,16.5346,0.0602,1.2977,0.0047,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,14.0122,0.0063,17.5741,0.0899,1.2738,0.0076,0.6086,0.0008,-47.9003,0.1352,286.2759,0.0095,316.9731,0.0085,15.9562,0.0116,12.7501,0.0992,1.3848,0.0101,0.6086,0.0008,-47.9003,0.1352,15.95059871673584,0.0248152147978544,15.392718315124512,0.0287743210792541,15.400260925292969,0.0520993620157241,15.11411952972412,0.0346836075186729,15.132590293884276,0.034413568675518,14.850708961486816,0.0069950274191796,14.724802017211914,0.0175883322954177,14.387299537658691,0.00453318702057,14.14091682434082,0.0046856473200023,14.15511703491211,0.0057255122810602,14.067317962646484,0.0113168386742472,14.02805233001709,0.009748145006597
159150,0310m312,1972,SER,30.97886528617959,-31.15557516968853,0.022416946,56.85218,88.91487,109.35854,118.29782,17.238876,17.60081,15.028274,12.674983,0.485569,0.2246952,0.3100052,0.08530998,30.9789167,-31.1556111,40,4,02 03 54.94,-31 09 20.2,0.0665,,19.9221,19.6045,0.204498587480468,iDR4_3_SPLUS-s24s21_0013187,1.18325597477031,157.5001,0.0275,224.6034,0.0133,17.7118,0.0125,5.0809,0.0518,0.9901,0.0239,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,18.8824,0.0681,4.6074,0.1073,0.7856,0.0571,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,18.2829,0.0635,4.6398,0.1017,0.7995,0.0542,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,18.6649,0.0780,4.6691,0.0968,0.8122,0.0516,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,18.2646,0.0514,4.7068,0.0905,0.8285,0.0483,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,17.9547,0.0329,4.8668,0.0669,0.8976,0.0353,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,17.739,0.0141,5.1487,0.0536,1.0193,0.0232,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,17.2654,0.0274,5.5288,0.1034,1.1835,0.0449,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,18.1636,0.0178,4.7941,0.0769,0.8662,0.0410,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,17.3709,0.0149,5.3535,0.0752,1.1078,0.0314,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,17.2785,0.0237,5.5707,0.1106,1.2016,0.0484,0.2722,0.0040,88.3992,0.3103,157.5001,0.0275,224.6034,0.0133,19.0316,0.0483,4.5629,0.1152,0.7663,0.0611,0.2722,0.0040,88.3992,0.3103,19.329158782958984,0.1241419464349746,18.89728164672852,0.1417940706014633,18.23098564147949,0.1261547952890396,18.83354949951172,0.1933597773313522,18.08910751342773,0.0906365811824798,18.086116790771484,0.0255804099142551,18.056737899780277,0.0723061561584472,17.641542434692383,0.0196601543575525,17.628829956054688,0.0230240356177091,17.34915542602539,0.0219779331237077,17.267433166503906,0.0505954511463642,17.146800994873047,0.0346018709242343
159150,0310m312,1257,SER,30.95856931662525,-31.14696311824521,0.022556743,74.313484,95.47202,102.53385,111.74088,18.061316,17.817305,18.410275,,0.27202034,0.07747841,0.17084122,0.09336281,30.9584167,-31.1471111,40,2,02 03 50.02,-31 08 49.6,0.0,,18.7238,18.6343,0.7105701053086684,iDR4_3_SPLUS-s24s21_0013558,1.18325597477031,271.565,0.0147,280.3948,0.0343,17.6752,0.0113,5.8572,0.0409,0.4198,0.0166,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,18.0757,0.0368,5.9315,0.0774,0.3224,0.0349,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,18.3208,0.0706,5.9264,0.0735,0.3291,0.0331,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,18.0883,0.0510,5.9218,0.0701,0.3351,0.0315,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,18.115,0.0481,5.9159,0.0658,0.3428,0.0295,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,17.6628,0.0266,5.8908,0.0500,0.3758,0.0219,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,17.7237,0.0133,5.8466,0.0423,0.4338,0.0170,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,17.5395,0.0318,5.7870,0.0768,0.5120,0.0323,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,17.9543,0.0139,5.9022,0.0566,0.3608,0.0251,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,17.5648,0.0149,5.8145,0.0573,0.4759,0.0235,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,17.4776,0.0247,5.7804,0.0819,0.5206,0.0346,0.3016,0.0022,10.3639,0.2715,271.565,0.0147,280.3948,0.0343,18.6636,0.0372,5.9385,0.0828,0.3132,0.0374,0.3016,0.0022,10.3639,0.2715,18.738719940185547,0.0697626024484634,18.089340209960938,0.0655329823493957,18.274059295654297,0.1260813921689987,18.01128578186035,0.0879470854997634,18.16085433959961,0.0932147502899169,17.946533203125,0.0218927320092916,17.69013214111328,0.0499100722372531,17.62286949157715,0.0186178889125585,17.632308959960938,0.0221862308681011,17.5068416595459,0.0243316162377595,17.543418884277344,0.0624460689723491,17.4071102142334,0.0420990139245986
159150,0310m312,1498,SER,30.96466705372731,-31.14377393611345,0.022625748,280.76392,380.8115,421.0894,471.58167,16.357124,16.894632,15.20279,13.930923,0.33092117,0.10916138,0.23211765,0.12295628,30.9649167,-31.1436944,40,3,02 03 51.58,-31 08 37.3,0.0289,,17.5967,17.2655,0.8207596918533271,iDR4_3_SPLUS-s24s21_0013766,1.18325597477031,237.1242,0.0075,301.5391,0.0126,16.0928,0.0042,6.9348,0.0195,0.6276,0.0051,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,16.6305,0.0140,7.2477,0.0341,0.4936,0.0102,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,16.7458,0.0235,7.2264,0.0325,0.5028,0.0097,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,16.5903,0.0185,7.2070,0.0310,0.5111,0.0092,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,16.4988,0.0158,7.1821,0.0293,0.5217,0.0086,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,16.0586,0.0091,7.0763,0.0229,0.5670,0.0064,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,16.1397,0.0049,6.8901,0.0201,0.6468,0.0053,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,15.9259,0.0108,6.6389,0.0343,0.7544,0.0102,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,16.3657,0.0052,7.1244,0.0255,0.5465,0.0073,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,15.9924,0.0055,6.7547,0.0262,0.7048,0.0075,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,15.8774,0.0086,6.6112,0.0365,0.7662,0.0109,0.5324,0.0013,22.1457,0.169,237.1242,0.0075,301.5391,0.0126,17.1898,0.0138,7.2772,0.0363,0.4810,0.0110,0.5324,0.0013,22.1457,0.169,17.185382843017578,0.0254020821303129,16.639102935791016,0.024941487237811,16.747821807861328,0.0427356846630573,16.56058692932129,0.0320616289973259,16.515335083007812,0.0285467691719532,16.359542846679688,0.0074193440377712,16.026123046875,0.0153293060138821,16.08043098449707,0.0064959344454109,16.13892364501953,0.008079482242465,15.989347457885742,0.0084567004814744,15.905155181884766,0.0191097129136323,15.81497859954834,0.0134116988629102
324660,0131m010,1904,SER,13.05099114252429,-1.111288683922806,0.05183192,103.06562,185.43976,246.9346,294.73126,16.46787,16.92776,14.921985,13.97155,0.637722,0.31094742,0.5030575,0.19211006,13.051125,-1.11125,20,4,00 52 12.27,-01 06 40.5,0.0413,,19.6992,19.3486,0.5015192836991541,iDR4_3_STRIPE82-0019_0007419,1.14712122098981,209.4794,0.0219,289.5967,0.009,16.9572,0.009,7.1355,0.0517,1.0702,0.0144,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,18.7849,0.0750,7.6233,0.1203,0.8592,0.0349,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,18.5060,0.0904,7.5900,0.1144,0.8736,0.0331,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,18.1320,0.0544,7.5598,0.1091,0.8867,0.0315,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,17.9053,0.0412,7.5210,0.1024,0.9035,0.0294,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,17.3921,0.0256,7.3561,0.0759,0.9748,0.0214,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,16.9334,0.0098,7.0657,0.0497,1.1004,0.0142,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,16.5441,0.0179,6.6741,0.0908,1.2697,0.0282,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,17.6014,0.0142,7.4310,0.0875,0.9424,0.0249,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,16.6528,0.0102,6.8547,0.0642,1.1916,0.0197,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,16.4704,0.0157,6.6309,0.0979,1.2884,0.0305,0.2619,0.0014,78.0587,0.1662,209.4794,0.0219,289.5967,0.009,18.8571,0.051,7.6692,0.1285,0.8393,0.0374,0.2619,0.0014,78.0587,0.1662,18.6789493560791,0.0825934261083602,18.58877182006836,0.1278051286935806,18.49425506591797,0.188372865319252,18.02989387512207,0.103470042347908,17.853595733642578,0.0823310241103172,17.57776641845703,0.0198719259351491,17.337879180908203,0.0469716303050518,16.944538116455078,0.0137828970327973,16.908143997192383,0.0161715950816869,16.60784912109375,0.0146274333819746,16.573060989379883,0.033090554177761,16.450307846069336,0.0242835134267807
164182,0533m302,10337,SER,53.43844343605756,-30.3025939673689,0.01512724,33.128834,51.759212,65.84274,72.05579,18.264282,18.558987,17.475004,,0.4844532,0.26130104,0.35920334,0.0979023,53.4385833,-30.3025,56,2,03 33 45.26,-30 18 09.0,0.1061,,20.3328,20.2223,0.5508303587215934,iDR4_3_SPLUS-s24s35_0032346,1.14953774967803,222.6701,0.0151,309.6117,0.0153,17.4047,0.0279,2.5314,0.0939,3.4317,0.1971,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,18.8019,0.0765,1.3283,0.1031,0.3946,0.2197,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,19.1760,0.1521,1.4105,0.0968,0.6021,0.2138,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,19.2009,0.1803,1.4849,0.0914,0.7901,0.2088,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,18.4971,0.0896,1.5807,0.0852,1.0318,0.2032,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,18.0152,0.0536,1.9874,0.0719,2.0584,0.1888,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,17.3378,0.0291,2.7036,0.1073,3.8663,0.2060,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,16.6951,0.0349,3.6692,0.2008,6.3040,0.2922,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,18.2527,0.0367,1.8027,0.0749,1.5921,0.1932,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,16.8515,0.0303,3.2239,0.1554,5.1797,0.2465,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,16.5722,0.0335,3.7756,0.2119,6.5726,0.3041,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,19.0616,0.0564,1.2151,0.1125,0.1090,0.2286,0.8651,0.0193,3.7102,5.0122,19.604637145996094,0.2250770330429077,19.637834548950195,0.3623412847518921,19.57513999938965,0.4963909089565277,19.050479888916016,0.3331547081470489,18.5337028503418,0.1996208429336547,18.629301071166992,0.0878124386072158,18.48843765258789,0.1514212787151336,18.30895233154297,0.0534719713032245,18.23944664001465,0.0556647032499313,18.061073303222656,0.0466682836413383,17.93729591369629,0.0944709777832031,17.940698623657227,0.0681576952338218
164182,0533m302,10561,SER,53.44537476493722,-30.30588441877911,0.01508493,56.49489,117.13751,176.40283,207.84972,15.912089,15.647626,14.68996,12.769016,0.7917175,0.44452477,0.6226349,0.17811012,53.4454167,-30.3058056,56,4,03 33 46.90,-30 18 20.9,0.0,,20.1442,19.4364,0.3122500972354524,iDR4_3_SPLUS-s24s35_0032474,1.14953774967803,261.8779,0.035,331.2607,0.046,18.2885,0.0407,3.7070,0.0948,0.9879,0.0666,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,19.6606,0.2501,3.8977,0.2469,0.7936,0.2018,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,19.6847,0.3566,3.8846,0.2348,0.8069,0.1914,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,19.4260,0.3158,3.8728,0.2239,0.8189,0.1820,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,19.1265,0.2222,3.8577,0.2100,0.8344,0.1700,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,18.5878,0.1085,3.7932,0.1536,0.9001,0.1206,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,18.2874,0.0406,3.6797,0.0861,1.0157,0.0583,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,17.9285,0.0615,3.5266,0.1605,1.1717,0.1301,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,18.7764,0.0781,3.8225,0.1786,0.8702,0.1426,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,18.093,0.0382,3.5972,0.1075,1.0998,0.0814,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,18.039,0.0592,3.5097,0.1750,1.1889,0.1429,0.6595,0.0177,32.5285,2.7195,261.8779,0.035,331.2607,0.046,19.6901,0.1639,3.9156,0.2637,0.7753,0.2162,0.6595,0.0177,32.5285,2.7195,18.982452392578125,0.1442630290985107,18.70038414001465,0.1734319329261779,18.93206024169922,0.3097432851791382,18.7990837097168,0.2979081571102142,18.02393341064453,0.14080511033535,18.104846954345703,0.0610160119831562,18.009979248046875,0.1097842380404472,17.413368225097656,0.0266029350459575,17.2679386138916,0.0258961971849203,17.050554275512695,0.0209482312202453,16.869794845581055,0.039003275334835,16.847505569458008,0.0282723922282457
164182,0533m302,10222,SER,53.43533681994836,-30.31760628997305,0.015213116,128.04419,260.34515,395.70584,483.4198,15.042479,14.994829,13.067019,12.020145,0.7704735,0.45455742,0.671937,0.21737957,53.4352083,-30.3173889,56,1,03 33 44.45,-30 19 02.6,0.130297,,20.2098,19.575,0.8786280302814236,iDR4_3_SPLUS-s24s35_0033243,1.14953774967803,232.4933,0.0228,121.881,0.0167,16.4313,0.0172,9.3224,0.1186,1.3816,0.0215,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,18.0642,0.1097,10.0583,0.3277,1.0436,0.0638,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,17.9059,0.1327,10.0080,0.3117,1.0667,0.0605,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,17.9143,0.1458,9.9624,0.2974,1.0876,0.0576,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,17.512,0.0966,9.9039,0.2790,1.1145,0.0539,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,16.8199,0.0432,9.6552,0.2035,1.2288,0.0386,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,16.3225,0.0158,9.2171,0.1025,1.4300,0.0186,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,16.0203,0.0229,8.6265,0.1900,1.7013,0.0390,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,17.046,0.034,9.7681,0.2372,1.1769,0.0454,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,16.107,0.0142,8.8989,0.1212,1.5762,0.0243,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,15.9111,0.0215,8.5614,0.2089,1.7312,0.0429,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.881,0.0167,18.4936,0.1027,10.1275,0.3497,1.0118,0.0682,0.5629,0.0033,-53.9481,0.5446,18.600414276123047,0.1087135002017021,18.38953971862793,0.1401860564947128,18.80697250366211,0.2987601459026336,18.17801284790039,0.1824896335601806,17.82547378540039,0.1272971332073211,17.217275619506836,0.02966527082026,17.05207061767578,0.0500922463834285,16.566064834594727,0.0135715864598751,16.48725700378418,0.0140622397884726,16.123701095581055,0.0100007373839616,15.968750953674316,0.0188771728426218,15.931710243225098,0.0134834330528974
13283,0385m737,5064,PSF,38.65675729684552,-73.73292766512085,0.042286787,33.827526,26.227026,20.990034,17.661192,21.754286,23.493767,18.822784,15.059121,-0.27630234,-0.24184036,-0.4293232,-0.18748283,38.6559167,-73.7330556,268,6,02 34 37.42,-73 43 59.0,0.0,,19.2903,19.3611,0.9647068351714349,iDR4_3_MC0120_0007849,1.29907809016772,100.6125,0.0257,163.8913,0.0177,18.8938,0.02,0.5788,0.0361,3.0618,0.4709,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.0123,0.0296,*0.0627*,*0.1957*,0.4517,1.6036,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.6446,0.0327,*0.0979*,*0.1838*,0.6301,1.5093,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.5143,0.0277,*0.1299*,*0.1731*,0.7916,1.4244,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.6427,0.0255,*0.1710*,*0.1593*,0.9993,1.3161,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.6951,0.0217,*0.3454*,*0.1015*,1.8816,0.8756,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.008,0.0252,0.6526,0.0334,3.4352,0.4767,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.2568,0.0836,1.0669,0.1541,5.5302,1.3579,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,18.759,0.0119,*0.2662*,*0.1275*,1.4808,1.0705,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.0188,0.0365,0.8758,0.0912,4.5640,0.8740,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.1658,0.0693,1.1125,0.1695,5.7609,1.4787,0.1546,0.0613,-37.2897,1.8086,100.6125,0.0257,163.8913,0.0177,19.3978,29.1287,*0.0141*,*0.2121*,0.2063,1.7342,0.1546,0.0613,-37.2897,1.8086,19.44029998779297,0.0459580495953559,19.148910522460938,0.0576464049518108,18.83976173400879,0.0684625059366226,18.69062614440918,0.0529206693172454,18.765213012695312,0.0539885684847831,18.867361068725582,0.0206362660974264,18.73551368713379,0.0414696037769317,19.044204711914062,0.0260696094483137,19.19388198852539,0.034367773681879,19.22565460205078,0.0507927387952804,19.932588577270508,0.232975885272026,19.70289421081543,0.1575897932052612
