group_id,index,brickid,brickname,objid,type,ra,dec,ebv,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,Group,Gal,ID,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,z,log_M_stellar,e_log_M_stellar,log_SFR,e_log_SFR
289841,1,381400,1978p087,5511,DUP,197.8368409481846,8.831841197632084,0.029882608,1.5245728,1.3066586,1.2229083,1.1639334,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,1,1,5511,0.8630500491608,343.5442,0.0056,344.2225,0.0074,26.6616,0.0313,16.2733,0.0011,0.8746,0.0017,0.6373,0.0004,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,26.2368,0.0227,15.7129,0.0009,1.1064,0.0012,0.6373,0.0004,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,25.8315,0.0345,15.4953,0.0012,1.3277,0.0020,0.6373,0.0004,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,25.3928,0.0562,15.3205,0.0019,1.5671,0.0033,0.6373,0.0004,37.5071,0.0617,0.0677,10.536,0.033,0.45,0.066
366078,2,496220,1550p300,2191,SER,155.0662963705298,30.01385025453479,0.02782365,1.547303,1.8153527,1.5425161,1.2854625,1.9335746,15559.972,18.508871,17.5869,17.198746,16.92456,16.995945,17.397383,16.581167,14.88486,0.92197037,0.38815498,0.66234016,0.27418518,2,2,2191,0.425845475914285,572.9584,0.0031,573.5051,0.0037,6.6086,0.0198,18.4426,0.0023,1.7537,0.0103,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,6.2949,0.013,17.5564,0.0013,1.8543,0.0061,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,5.9956,0.0147,17.2128,0.0019,1.9502,0.0074,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,5.6716,0.0235,16.9547,0.0028,2.0541,0.0128,0.7215,0.0012,-21.7756,0.1818,0.1568,11.046,0.039,0.589,0.145
67536,3,322507,1948m015,408,SER,194.753117548688,-1.428956579278553,0.021476744,1.3686957,1.3369427,1.2149686,1.1253453,6.0,10992.214,18.576616,17.550056,17.168756,16.919817,17.097652,17.65561,22.253416,,1.0265598,0.38129997,0.6302395,0.24893951,3,3,408,0.534182361098686,343.8942,0.0012,343.8740,0.0012,35.6296,0.2493,17.5477,0.0031,*10.4972*,*0.0311*,0.7211,0.0007,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,27.7442,0.1684,16.7572,0.0027,*10.7686*,*0.0256*,0.7211,0.0007,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,20.2204,0.1456,16.5810,0.0034,*11.0276*,*0.0357*,0.7211,0.0007,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,12.0759,0.2027,16.4520,0.0073,*11.3080*,*0.0545*,0.7211,0.0007,88.1762,0.0834,0.0977,10.568,0.038,-1.541,0.8
381162,4,438872,2408p190,4860,DUP,240.7754659995666,19.0082081869302,0.046408743,1.6762881,1.5772791,0.0,1.4180862,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,4,4,4860,0.360950664459389,115.4910,0.0012,115.2541,0.0013,9.1451,0.0535,17.2025,0.0027,6.3654,0.0328,0.7919,0.0009,-45.6679,0.1442,115.4910,0.0012,115.2541,0.0013,8.5131,0.0347,16.2583,0.0019,6.1588,0.0215,0.7919,0.0009,-45.6679,0.1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.4910,0.0012,115.2541,0.0013,7.2571,0.0447,15.6825,0.0029,5.7482,0.0304,0.7919,0.0009,-45.6679,0.1442,0.1218,11.134,0.019,-1.621,0.643
326036,5,333075,3168p002,9155,SER,316.97527451024,0.1304683170541872,0.10666934,1.5215554,1.2274156,1.2850449,1.2478971,5.0554476,164603.92,16.461006,15.565996,15.160852,14.889556,16.499886,17.195974,,,0.89501,0.40514374,0.67644024,0.2712965,5,5,9155,0.826580221972902,344.7731,0.0018,343.2604,0.0026,20.8232,0.0443,16.8908,0.0015,2.2495,0.0051,0.5184,0.0003,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,21.5591,0.0248,15.9937,0.0008,2.7376,0.0028,0.5184,0.0003,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,22.2613,0.0382,15.5699,0.0011,3.2034,0.0042,0.5184,0.0003,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,23.0213,0.0687,15.3308,0.0017,3.7076,0.0076,0.5184,0.0003,10.3326,0.0318,0.0477,10.494,0.024,-0.598,0.227
456553,6,409744,2176p137,4007,SER,217.749990620551,13.66138061326895,0.021513471,1.2309778,1.1623294,0.0,1.1226431,5.413792,4084.2546,18.040163,17.066015,Infinity,16.386885,16.473824,16.824894,15.785652,14.823009,0.9741478,Infinity,0.67913055,Infinity,6,6,4007,0.898373720351972,114.5866,0.0061,114.9385,0.0050,11.3457,0.1703,18.1163,0.0088,3.5312,0.0489,0.6190,0.0023,-71.9124,0.2376,114.5866,0.0061,114.9385,0.0050,10.7478,0.1193,17.1923,0.0062,3.7885,0.0345,0.6190,0.0023,-71.9124,0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5866,0.0061,114.9385,0.0050,9.5597,0.1686,16.5970,0.0093,4.2998,0.0588,0.6190,0.0023,-71.9124,0.2376,0.1551,11.122,0.031,0.591,0.121
367933,7,494954,1508p297,3542,SER,150.8693059615977,29.84382671300257,0.023901308,1.6932377,1.5472138,0.0,1.4293529,2.5355518,7643.865,18.413767,17.324364,Infinity,16.59717,16.539291,16.886473,16.593292,15.30506,1.0894032,Infinity,0.72719383,Infinity,7,7,3542,0.391347174386144,344.0151,0.0000,344.0959,0.0002,7.5702,0.0221,18.3467,0.0005,2.1455,0.0116,0.4977,0.0009,-5.5738,0.0782,344.0151,0.0000,344.0959,0.0002,7.3593,0.0152,17.2881,0.0006,2.3778,0.0074,0.4977,0.0009,-5.5738,0.0782,344.0151,0.0000,344.0959,0.0002,7.1582,0.0173,*35.6844*,*0.0026*,2.5995,0.0086,0.4977,0.0009,-5.5738,0.0782,344.0151,0.0000,344.0959,0.0002,6.9404,0.0268,16.6012,0.0008,2.8394,0.0140,0.4977,0.0009,-5.5738,0.0782,0.1661,11.243,0.046,-0.05,0.631
407672,8,479720,1549p267,652,SER,154.8748253901251,26.77795376356905,0.030972522,1.7168941,1.8042581,1.3015989,1.191829,4.7670603,1969.383,18.363071,17.505545,17.16577,16.946842,17.22969,17.720951,,,0.8575268,0.3397751,0.55870247,0.21892738,8,8,652,0.390929823729479,573.3792,0.0021,573.6819,0.0023,4.9525,0.0358,18.2623,0.0041,4.8632,0.0620,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.643,0.0204,17.4093,0.0025,4.8676,0.0353,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.3478,0.0174,17.0848,0.0022,4.8717,0.0297,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.0282,0.0310,16.8941,0.0042,4.8762,0.0532,0.6699,0.0015,8.6076,0.1639,0.1178,10.53,0.035,-0.179,0.297
194893,9,361167,1457p052,1663,SER,145.7125678259787,5.232417615374378,0.04690649,1.5406288,1.5110946,1.2739391,1.2089412,3.6093726,28763.545,17.996603,17.05315,16.618229,16.357805,17.42719,18.19398,15.256141,,0.94345284,0.43492126,0.6953449,0.26042366,9,9,1663,0.365637562592338,573.2209,0.0021,573.2013,0.0026,12.7006,0.0702,17.8700,0.0035,3.0077,0.0178,0.6401,0.0010,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,11.7263,0.044,16.9887,0.0022,3.1686,0.0111,0.6401,0.0010,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,10.7967,0.0386,16.6443,0.0022,3.3221,0.0112,0.6401,0.0010,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,9.7904,0.0606,16.4229,0.0035,3.4883,0.0182,0.6401,0.0010,-34.3964,0.1066,0.1207,10.983,0.032,0.25,0.132
394740,10,444233,2202p200,1934,SER,220.1731492264396,19.90418371244418,0.021752195,1.7979748,1.2169396,0.0,1.8498229,1.5811996,15085.733,18.515514,17.481646,Infinity,16.615705,16.2291,16.618937,16.16572,15.663028,1.0338688,Infinity,0.8659401,Infinity,10,10,1934,0.339175465144069,344.0496,0.0075,343.6653,0.0031,15.8366,0.0433,18.4383,0.0020,1.5075,0.0063,0.2262,0.0003,-80.3135,0.0289,344.0496,0.0075,343.6653,0.0031,15.2895,0.0304,17.4201,0.0015,1.5954,0.0044,0.2262,0.0003,-80.3135,0.0289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0496,0.0075,343.6653,0.0031,14.2025,0.0405,16.6156,0.0018,1.7701,0.0069,0.2262,0.0003,-80.3135,0.0289,0.0972,10.805,0.067,-0.344,0.594
