Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,z,log_M_stellar,e_log_M_stellar,log_SFR,e_log_SFR
1.0,1.0,5511.0,197.8368409481846,8.831841197632084,DUP,0.8630500491608,343.5442,0.0056,344.2225,0.0074,26.6616,0.0313,16.2733,0.0011,0.8746,0.0017,0.6373,4.0E-4,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,26.2368,0.0227,15.7129,9.0E-4,1.1064,0.0012,0.6373,4.0E-4,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,25.8315,0.0345,15.4953,0.0012,1.3277,0.002,0.6373,4.0E-4,37.5071,0.0617,343.5442,0.0056,344.2225,0.0074,25.3928,0.0562,15.3205,0.0019,1.5671,0.0033,0.6373,4.0E-4,37.5071,0.0617,0.0677,10.536,0.033,0.45,0.066
2.0,2.0,2191.0,155.0662963705298,30.01385025453479,SER,0.425845475914285,572.9584,0.0031,573.5051,0.0037,6.6086,0.0198,18.4426,0.0023,1.7537,0.0103,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,6.2949,0.013,17.5564,0.0013,1.8543,0.0061,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,5.9956,0.0147,17.2128,0.0019,1.9502,0.0074,0.7215,0.0012,-21.7756,0.1818,572.9584,0.0031,573.5051,0.0037,5.6716,0.0235,16.9547,0.0028,2.0541,0.0128,0.7215,0.0012,-21.7756,0.1818,0.1568,11.046,0.039,0.589,0.145
3.0,3.0,408.0,194.753117548688,-1.428956579278553,SER,0.534182361098686,343.8942,0.0012,343.8740,0.0012,35.6296,0.2493,17.5477,0.0031,10.4972,0.0311,0.7211,7.0E-4,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,27.7442,0.1684,16.7572,0.0027,10.7686,0.0256,0.7211,7.0E-4,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,20.2204,0.1456,16.581,0.0034,11.0276,0.0357,0.7211,7.0E-4,88.1762,0.0834,343.8942,0.0012,343.8740,0.0012,12.0759,0.2027,16.452,0.0073,11.308,0.0545,0.7211,7.0E-4,88.1762,0.0834,0.0977,10.568,0.038,-1.541,0.8
4.0,4.0,4860.0,240.7754659995666,19.0082081869302,DUP,0.360950664459389,115.4910,0.0012,115.2541,0.0013,9.1451,0.0535,17.2025,0.0027,6.3654,0.0328,0.7919,9.0E-4,-45.6679,0.1442,115.4910,0.0012,115.2541,0.0013,8.5131,0.0347,16.2583,0.0019,6.1588,0.0215,0.7919,9.0E-4,-45.6679,0.1442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.4910,0.0012,115.2541,0.0013,7.2571,0.0447,15.6825,0.0029,5.7482,0.0304,0.7919,9.0E-4,-45.6679,0.1442,0.1218,11.134,0.019,-1.621,0.643
5.0,5.0,9155.0,316.97527451024,0.1304683170541872,SER,0.826580221972902,344.7731,0.0018,343.2604,0.0026,20.8232,0.0443,16.8908,0.0015,2.2495,0.0051,0.5184,3.0E-4,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,21.5591,0.0248,15.9937,8.0E-4,2.7376,0.0028,0.5184,3.0E-4,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,22.2613,0.0382,15.5699,0.0011,3.2034,0.0042,0.5184,3.0E-4,10.3326,0.0318,344.7731,0.0018,343.2604,0.0026,23.0213,0.0687,15.3308,0.0017,3.7076,0.0076,0.5184,3.0E-4,10.3326,0.0318,0.0477,10.494,0.024,-0.598,0.227
6.0,6.0,4007.0,217.749990620551,13.66138061326895,SER,0.898373720351972,114.5866,0.0061,114.9385,0.005,11.3457,0.1703,18.1163,0.0088,3.5312,0.0489,0.619,0.0023,-71.9124,0.2376,114.5866,0.0061,114.9385,0.005,10.7478,0.1193,17.1923,0.0062,3.7885,0.0345,0.619,0.0023,-71.9124,0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5866,0.0061,114.9385,0.005,9.5597,0.1686,16.597,0.0093,4.2998,0.0588,0.619,0.0023,-71.9124,0.2376,0.1551,11.122,0.031,0.591,0.121
7.0,7.0,3542.0,150.8693059615977,29.84382671300257,SER,0.391347174386144,344.0151,0.0,344.0959,2.0E-4,7.5702,0.0221,18.3467,5.0E-4,2.1455,0.0116,0.4977,9.0E-4,-5.5738,0.0782,344.0151,0.0,344.0959,2.0E-4,7.3593,0.0152,17.2881,6.0E-4,2.3778,0.0074,0.4977,9.0E-4,-5.5738,0.0782,344.0151,0.0,344.0959,2.0E-4,7.1582,0.0173,35.6844,0.0026,2.5995,0.0086,0.4977,9.0E-4,-5.5738,0.0782,344.0151,0.0,344.0959,2.0E-4,6.9404,0.0268,16.6012,8.0E-4,2.8394,0.014,0.4977,9.0E-4,-5.5738,0.0782,0.1661,11.243,0.046,-0.05,0.631
8.0,8.0,652.0,154.8748253901251,26.77795376356905,SER,0.390929823729479,573.3792,0.0021,573.6819,0.0023,4.9525,0.0358,18.2623,0.0041,4.8632,0.062,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.643,0.0204,17.4093,0.0025,4.8676,0.0353,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.3478,0.0174,17.0848,0.0022,4.8717,0.0297,0.6699,0.0015,8.6076,0.1639,573.3792,0.0021,573.6819,0.0023,4.0282,0.031,16.8941,0.0042,4.8762,0.0532,0.6699,0.0015,8.6076,0.1639,0.1178,10.53,0.035,-0.179,0.297
9.0,9.0,1663.0,145.7125678259787,5.232417615374378,SER,0.365637562592338,573.2209,0.0021,573.2013,0.0026,12.7006,0.0702,17.87,0.0035,3.0077,0.0178,0.6401,0.001,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,11.7263,0.044,16.9887,0.0022,3.1686,0.0111,0.6401,0.001,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,10.7967,0.0386,16.6443,0.0022,3.3221,0.0112,0.6401,0.001,-34.3964,0.1066,573.2209,0.0021,573.2013,0.0026,9.7904,0.0606,16.4229,0.0035,3.4883,0.0182,0.6401,0.001,-34.3964,0.1066,0.1207,10.983,0.032,0.25,0.132
10.0,10.0,1934.0,220.1731492264396,19.90418371244418,SER,0.339175465144069,344.0496,0.0075,343.6653,0.0031,15.8366,0.0433,18.4383,0.002,1.5075,0.0063,0.2262,3.0E-4,-80.3135,0.0289,344.0496,0.0075,343.6653,0.0031,15.2895,0.0304,17.4201,0.0015,1.5954,0.0044,0.2262,3.0E-4,-80.3135,0.0289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0496,0.0075,343.6653,0.0031,14.2025,0.0405,16.6156,0.0018,1.7701,0.0069,0.2262,3.0E-4,-80.3135,0.0289,0.0972,10.805,0.067,-0.344,0.594
