Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,zmemb,gmemb,FUV,NUV,m_i_corrected,m_g_corrected,m_r_corrected,m_z_corrected,FUV_corrected,NUV_corrected
2,3,4495,0.3587273382901289,13.11244513656859,DUP,2.13987225133761,503.297,0.0038,741.8474,0.0064,34.5105,0.0196,14.9923,0.0005,1.3016,0.001,0.5896,0.0002,-19.7645,0.0295,503.297,0.0038,741.8474,0.0064,34.145,0.0157,14.4693,0.0004,1.3699,0.0007,0.5896,0.0002,-19.7645,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.297,0.0038,741.8474,0.0064,33.4186,0.0368,14.0924,0.0009,1.5055,0.0017,0.5896,0.0002,-19.7645,0.0295,404689,0003p130,4495,0.08077177,0.0,0.0,0.0,0.0,1.5825707,1.2880095,0.0,1.4925475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.017532,,17.1312,16.6332,nan,nan,nan,nan,17.120256843939504,nan
2,2,4494,0.3331994716833093,13.11123683829803,DUP,2.13987225133761,841.8548,0.0012,719.8106,0.0007,44.2328,0.0215,13.4622,0.0003,3.5631,0.0013,0.5587,0.0001,75.4821,0.0095,841.8548,0.0012,719.8106,0.0007,46.4146,0.0161,12.6362,0.0002,3.8038,0.001,0.5587,0.0001,75.4821,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.8548,0.0012,719.8106,0.0007,50.7497,0.0335,11.9764,0.0004,4.2819,0.0018,0.5587,0.0001,75.4821,0.0095,404689,0003p130,4494,0.08060997,0.0,0.0,0.0,0.0,1.5825707,1.2880095,0.0,1.4925475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.017899,,16.7561,16.2019,nan,nan,nan,nan,16.745557792464346,nan
2,1,910,0.3129815262621921,13.11314170389291,SER,2.13987225133761,1111.3452,0.0166,746.5955,0.0141,36.5639,0.0625,16.3771,0.0015,1.1081,0.0026,0.2528,0.0003,49.7993,0.0245,1111.3452,0.0166,746.5955,0.0141,36.266,0.0488,15.8409,0.0013,1.0998,0.0019,0.2528,0.0003,49.7993,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.3452,0.0166,746.5955,0.0141,35.6739,0.1028,15.4709,0.0026,1.0833,0.0042,0.2528,0.0003,49.7993,0.0245,404689,0003p130,910,0.08065711,265.1013,444.5779,0.0,644.8338,1.5809548,1.3426262,0.0,1.5098474,1.0687332,373129.8,9.556523,44885.47,-0.1056844,7462593.0,0.58465093,14950313.0,16.441471,15.880131,,15.47638,16.136421,16.660906,15.554382,16.187887,0.56134033,,0.40375042,,0.018646,,18.5922,18.186,nan,16.463621127678817,15.900340575035468,15.482192969931877,18.57971941947987,18.192509490861546
2,4,1972,0.3732407814035215,13.09852691955251,SER,2.13987225133761,302.4151,0.0581,545.3456,0.0494,95.9395,1.0418,16.6742,0.0073,2.319,0.0146,0.5189,0.0017,-44.5407,0.2521,302.4151,0.0581,545.3456,0.0494,81.3392,0.6985,16.4273,0.0069,1.9545,0.0117,0.5189,0.0017,-44.5407,0.2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.4151,0.0581,545.3456,0.0494,52.3285,0.8042,16.5689,0.0135,1.2303,0.0195,0.5189,0.0017,-44.5407,0.2521,404689,0003p130,1972,0.08053331,96.03273,136.64732,0.0,167.82423,1.5825707,1.2880095,0.0,1.4925475,0.6900727,115520.11,8.0724945,11882.092,-0.041387293,501559.3,-0.2330424,1279131.4,17.543951,17.160997,,16.937862,17.898212,18.694412,,,0.38295364,,0.223135,,0.017532,,19.281,19.2182,nan,17.54808792194822,17.180110806831454,16.93988965556853,19.26645143229173,19.224809607675365
3,2,6959,2.837759217243158,-53.98101274211389,SER,1.29447729146699,719.5932,0.0055,336.3854,0.0049,7.9612,0.0126,18.122,0.0015,0.7598,0.0034,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.7652,0.0083,17.6359,0.0011,0.8373,0.0019,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.5781,0.0122,17.3781,0.0016,0.9113,0.0031,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.3757,0.0204,17.2826,0.0027,0.9913,0.0056,0.8608,0.0008,59.8707,0.3274,63164,0027m540,6959,0.013003452,55.225315,87.73145,112.72442,126.94051,1.2637981,1.1899415,1.1435049,1.2433984,0.8337279,222480.08,2.0223577,651481.3,-0.036698896,2463457.2,0.06467345,4009181.0,18.144655,17.64211,17.369955,17.241,17.62722,18.07626,15.657281,,0.5025444,0.27215576,0.4011116,0.12895584,0.041719,,20.0492,19.6655,17.366381997791347,18.186635227894246,17.676911028763428,17.243529218562873,20.026343919484113,19.66864298615158
3,4,7291,2.852407391719842,-53.9310223008958,SER,1.29447729146699,601.2763,0.0035,1023.7382,0.0044,36.2658,0.0217,15.404,0.0005,0.9882,0.0009,0.7673,0.0002,11.9179,0.0501,601.2763,0.0035,1023.7382,0.0044,39.4387,0.0252,14.7606,0.0005,1.5277,0.001,0.7673,0.0002,11.9179,0.0501,601.2763,0.0035,1023.7382,0.0044,42.466,0.0458,14.4776,0.0008,2.0424,0.0017,0.7673,0.0002,11.9179,0.0501,601.2763,0.0035,1023.7382,0.0044,45.7431,0.0716,14.278,0.0011,2.5996,0.0027,0.7673,0.0002,11.9179,0.0501,63164,0027m540,7291,0.013674323,723.31555,1240.6438,1596.1914,1837.1049,1.3978636,1.2477674,1.1959314,1.1699084,1.5316923,2717180.5,10.513629,242138.9,0.11245582,56035076.0,0.029920407,27842356.0,15.351681,14.765882,14.492288,14.339665,14.798617,15.245937,13.267138,13.086854,0.58579826,0.27359486,0.42621708,0.15262222,0.041719,,17.7296,17.3873,14.498631432108837,15.41112954418684,14.802987255998694,14.34516771928826,17.705630023554257,17.391922416128082
3,3,7086,2.842623280146343,-53.953910753132,SER,1.29447729146699,680.4556,0.0167,708.859,0.0104,12.9987,0.0366,18.9372,0.0026,0.6455,0.0055,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.859,0.0104,12.6179,0.0328,18.6544,0.0029,0.8063,0.0043,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.859,0.0104,12.2546,0.0548,18.4659,0.0044,0.9598,0.0083,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.859,0.0104,11.8613,0.0866,18.4384,0.007,1.1259,0.0138,0.3197,0.0007,58.2417,0.0745,63164,0027m540,7086,0.013347207,26.546524,34.513557,41.891937,43.804474,1.379217,1.2221423,1.1796682,1.1675323,0.7723974,59319.2,3.3150465,66341.98,-0.23501629,941225.44,0.4634793,1443244.5,18.939981,18.655025,18.444674,18.396204,19.029074,,16.632574,,0.28495598,0.21035194,0.2588215,0.048469543,0.041719,,19.9107,19.7047,18.40328365859961,18.934976645046646,18.68648766331576,18.390660678331162,19.883317032471357,19.72322570489164
3,1,6881,2.834674521202194,-53.95652455274381,SER,1.29447729146699,744.763,0.0056,672.8753,0.0095,6.0261,0.0303,19.3526,0.0036,1.2663,0.0133,0.4208,0.0016,14.8871,0.1435,744.763,0.0056,672.8753,0.0095,6.2935,0.0223,18.9136,0.003,1.2493,0.0083,0.4208,0.0016,14.8871,0.1435,744.763,0.0056,672.8753,0.0095,6.5486,0.0355,18.74,0.0046,1.2331,0.0115,0.4208,0.0016,14.8871,0.1435,744.763,0.0056,672.8753,0.0095,6.8247,0.0579,18.607,0.0075,1.2155,0.0197,0.4208,0.0016,14.8871,0.1435,63164,0027m540,6881,0.013247969,17.845335,25.962233,29.86704,32.660404,1.379217,1.2221423,1.1796682,1.1675323,1.091572,18952.66,1.5695738,181520.48,0.33486447,626876.56,0.20517439,489438.72,19.37119,18.964146,18.81202,18.714947,19.151058,19.493313,16.51257,14.41983,0.40704346,0.15212631,0.24919891,0.0970726,0.041719,,20.2101,20.5555,18.779765818773352,19.39179972780267,18.996706818627548,18.711423937204774,20.17352167603265,20.562903337786445
10,4,1405,5.687584604767833,-20.58857817827894,SER,0.525730090228031,461.7714,0.006,531.2494,0.0038,24.9652,0.02,16.0163,0.0007,0.8661,0.0012,0.5881,0.0002,-63.4367,0.0361,461.7714,0.006,531.2494,0.0038,24.0932,0.0136,15.5265,0.0006,1.0387,0.0008,0.5881,0.0002,-63.4367,0.0361,461.7714,0.006,531.2494,0.0038,23.2613,0.0221,15.348,0.0008,1.2034,0.0014,0.5881,0.0002,-63.4367,0.0361,461.7714,0.006,531.2494,0.0038,22.3607,0.0371,15.2094,0.0017,1.3817,0.0024,0.5881,0.0002,-63.4367,0.0361,214733,0057m205,1405,0.021346333,344.62363,567.0632,700.28204,837.3827,1.5235689,1.143581,1.7313269,1.086597,1.121632,452501.78,5.7933245,99547.52,-0.1258168,5207018.5,-0.17990994,6759911.5,16.156637,15.615921,15.386818,15.19269,15.553885,16.037384,14.120055,13.752192,0.5407162,0.22910309,0.42323112,0.19412804,0.051799,,18.0196,17.6902,15.37406366038418,16.216952482610207,15.655040358105474,15.193902337554754,17.992579675580906,17.688731799332604
10,1,867,5.653417994681938,-20.57092018426899,REX,0.525730090228031,900.6646,0.0056,773.6568,0.0049,5.1649,0.0106,18.4134,0.0018,0.7874,0.0055,0.8313,0.0013,85.1691,0.406,900.6646,0.0056,773.6568,0.0049,4.705,0.0068,17.9618,0.0014,0.9068,0.0037,0.8313,0.0013,85.1691,0.406,900.6646,0.0056,773.6568,0.0049,4.2662,0.0103,17.6615,0.0022,1.0206,0.0075,0.8313,0.0013,85.1691,0.406,900.6646,0.0056,773.6568,0.0049,3.7912,0.0175,17.7216,0.0045,1.1439,0.0128,0.8313,0.0013,85.1691,0.406,214733,0057m205,867,0.021688515,42.02807,65.81303,86.29225,93.36544,1.5235689,1.143581,1.5002943,1.086597,1.0,0.0,1.1660125,290378.44,0.0,0.0,0.0,0.0,18.44115,17.95422,17.66007,17.574535,17.72633,17.692347,15.36086,14.09578,0.48693085,0.2941494,0.37968445,0.08553505,0.051799,,20.2911,19.5066,17.6490307287411,18.486952238165447,17.990960857565444,17.572424076596544,20.282356233110477,19.510959264623818
