brickid,brickname,objid,type,ra,dec,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
365471,1459p060,4345,SER,146.0379549235656,5.936877486096665,90.73341,135.2012,164.73248,175.39871,18.424898,4.662817,2.0658755,1.0152211
322544,2041m015,434,PSF,204.0119657856649,-1.608254927496526,2.327331,1.7050736,-0.46073705,0.021516694,1559.902,388.62415,603.8126,98.147835
322544,2041m015,446,SER,204.0122072493003,-1.608645241179613,57.650288,86.54956,98.67497,111.3999,202.49104,42.821495,51.038982,8.309744
469217,1257p247,3209,SER,125.743370000338,24.86419563788688,85.3396,93.5364,84.89223,89.02641,49.654644,19.269356,22.68724,6.78716
351343,2046p035,6365,SER,204.7773202650185,3.419397336986494,78.17528,115.21365,131.18457,143.47408,47.436455,15.522223,3.5087337,2.6535256
351343,2046p035,6383,EXP,204.7779728090073,3.419809930861231,1.866583,1.4828603,0.7427416,0.7459863,852.15936,293.7662,95.071945,59.806244
324663,0138m010,6935,SER,13.92216357243797,-0.941874049763094,50.42893,69.65169,74.26499,82.37629,221.4163,168.52051,96.03554,27.250555
324649,0103m010,8558,SER,10.45557174306668,-1.028159014765442,66.09888,74.08115,66.49937,73.562256,200.55444,123.42531,41.674038,16.537655
324649,0103m010,8579,SER,10.45625578240867,-1.028573860471143,10.000996,11.741858,12.006575,12.90009,391.33716,224.81712,62.856163,23.086388
310954,1858m035,1131,SER,185.797953204106,-3.491253231123581,223.45845,268.34912,310.93173,295.31253,39.388958,11.975084,4.768225,4.013358
338333,1913p012,14743,SER,191.4902456692144,1.298112872959141,6.5241294,8.169841,8.394079,8.793518,381.92145,2372.435,152.13701,48.2755
338333,1913p012,14769,SER,191.4906394055864,1.29801620055474,75.9332,95.59947,100.30708,108.06567,149.62471,765.55975,57.18763,17.412146
372734,1723p072,1363,SER,172.2596501824836,7.287780942752784,81.20749,124.6228,148.00049,163.8672,17.061758,4.1053386,2.6814091,0.9436482
325417,2023m010,5097,SER,202.3381707129092,-0.9450369646322556,1.7000849,2.5786772,3.869568,3.9094207,1723.7979,2025.3843,179.15198,50.66201
