brickid,brickname,objid,type,ra,dec,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
404689,0003p130,4495,DUP,0.3587273382901289,13.11244513656859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404689,0003p130,1713,SER,0.3585032212792199,13.11283341739427,993.76935,1623.4769,0.0,2389.0366,11.716188,3.2005107,0.0,1.0867516
404689,0003p130,1240,PSF,0.3324375438565447,13.11065008037601,14.613906,18.984304,0.0,17.18893,216.97763,87.71525,0.0,45.20067
404689,0003p130,4494,DUP,0.3331994716833093,13.11123683829803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404689,0003p130,1253,SER,0.3331897399378422,13.11125320572032,3904.5515,8141.9766,0.0,14304.097,3.655179,0.8880075,0.0,0.3971452
404689,0003p130,910,SER,0.3129815262621921,13.11314170389291,265.1013,444.5779,0.0,644.8338,23.955627,6.6841297,0.0,1.9636402
404689,0003p130,921,EXP,0.3135561230365992,13.11373102148048,9.774959,11.927859,0.0,13.794141,203.33289,68.659004,0.0,21.580498
404689,0003p130,1972,SER,0.3732407814035215,13.09852691955251,96.03273,136.64732,0.0,167.82423,32.34092,7.818243,0.0,1.5996838
63164,0027m540,6988,SER,2.838875924225044,-53.98125325481284,1.2736905,1.4546593,1.601258,1.3958192,2420.5586,1336.6014,457.40112,133.40062
63164,0027m540,6959,SER,2.837759217243158,-53.98101274211389,55.225315,87.73145,112.72442,126.94051,251.54996,125.22568,42.17941,15.029248
63164,0027m540,6971,SER,2.838140128449826,-53.98023264521868,1.2230669,1.1404206,1.0380596,0.52099043,1488.0374,747.9639,199.86626,69.389084
63164,0027m540,7291,SER,2.852407391719842,-53.9310223008958,723.31555,1240.6438,1596.1914,1837.1049,18.794708,6.817263,2.605525,1.1148237
63164,0027m540,10007,DUP,2.852468271089345,-53.93099022625143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63164,0027m540,7084,EXP,2.842553786186085,-53.95441709807376,0.49759337,0.3897392,0.6079504,0.2782283,4468.525,2226.774,788.1833,253.56235
63164,0027m540,7056,PSF,2.841797610820269,-53.95411115396836,0.696596,0.18886311,0.4054982,-0.12754448,3883.4343,2239.557,852.8925,289.23376
63164,0027m540,7086,SER,2.842623280146343,-53.953910753132,26.546524,34.513557,41.891937,43.804474,447.45627,186.75104,66.350494,21.331326
63164,0027m540,6908,EXP,2.835880443580574,-53.95698001518333,0.4108703,0.6883549,0.9724306,0.8403908,981.8486,350.13013,117.10693,31.956211
63164,0027m540,6881,SER,2.834674521202194,-53.95652455274381,17.845335,25.962233,29.86704,32.660404,826.2057,379.00702,150.66046,50.666725
63164,0027m540,6873,EXP,2.834156592394955,-53.95562138620707,0.6929646,1.5418552,2.0271335,2.217869,865.89276,338.60455,101.81623,32.463245
214733,0057m205,1405,SER,5.687584604767833,-20.58857817827894,344.62363,567.0632,700.28204,837.3827,11.307651,5.005935,2.5888708,0.26978448
214733,0057m205,867,REX,5.653417994681938,-20.57092018426899,42.02807,65.81303,86.29225,93.36544,107.97114,52.650574,12.870559,2.8955112
214733,0057m205,1197,SER,5.674201525891037,-20.58429908579907,71.661896,95.904945,104.45052,117.2326,20.7536,8.99458,4.3350477,0.4014616
214733,0057m205,1209,PSF,5.674731040681417,-20.58473301574418,0.6494306,0.6136856,0.14630474,0.39622378,663.8388,456.25165,105.6791,22.120182
188220,0078m255,2731,SER,7.797350588356306,-25.49154148068133,6.458377,6.3703938,6.182369,4.739954,1474.9501,1100.367,344.90082,108.86221
188220,0078m255,2700,SER,7.796628161147098,-25.4900891370687,9.536847,11.390481,12.394221,10.610048,833.1145,578.84753,172.91782,55.03442
188220,0078m255,2733,SER,7.797374162347395,-25.49057113235629,337.87167,549.1237,743.3128,885.47473,51.008263,30.434267,8.832597,3.6970222
188220,0078m255,2782,SER,7.798380352988154,-25.49092290302193,12.703327,15.459752,16.121939,14.769992,735.4073,501.19952,143.49324,44.271072
188220,0078m255,4577,REX,7.835637111264248,-25.4978180009287,38.801743,51.36673,61.534008,65.13568,347.41077,213.69969,54.914074,16.914616
188220,0078m255,2437,SER,7.791397378063242,-25.49810943981049,36.632233,49.240223,61.02642,64.902145,592.76575,382.94965,111.11358,36.72622
188220,0078m255,2415,SER,7.791093746023934,-25.49740697689343,1.5958508,1.465298,1.7585883,1.4240161,3328.9565,2399.0151,794.07465,238.59534
188220,0078m255,2471,DEV,7.792020724176108,-25.49856153045315,1.0385659,2.0416448,2.5076082,2.715243,600.9268,386.04147,107.85867,31.21136
34782,0091m635,8400,SER,9.273487600409846,-63.44434295805168,213.90717,389.99908,521.9088,625.8394,80.97631,31.403753,22.876402,5.7847505
34782,0091m635,12558,DUP,9.27354954962033,-63.44431133176228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34782,0091m635,7646,SER,9.238683763702836,-63.44049451525331,318.66565,665.6214,923.3105,1173.9292,71.11621,27.606434,27.06086,6.74973
34782,0091m635,8895,REX,9.295400900782896,-63.43775771911234,10.925412,18.344988,23.143736,32.010082,1346.6754,661.9037,626.2277,140.18549
34782,0091m635,8891,EXP,9.295312260187726,-63.43735930241674,0.18600525,1.3135165,2.2342255,2.8712292,648.64996,289.84784,196.90181,36.670753
34782,0091m635,9574,REX,9.324959678182235,-63.44024534613383,61.40613,100.85638,120.65396,140.93953,340.14688,162.87025,141.88705,37.052143
278747,0094m090,1410,REX,9.413276734868823,-9.046817280354563,127.33453,225.82289,295.6194,346.85437,48.49949,20.62269,5.8148594,7.339726
278747,0094m090,1593,SER,9.421045190534482,-9.05643554421165,80.94681,158.32715,218.97269,270.03723,78.88943,22.048307,8.618034,8.46309
278747,0094m090,1927,SER,9.435477271748589,-9.059062043858258,82.829735,121.34801,145.55855,157.88206,44.062027,15.293315,4.6819415,4.412065
278747,0094m090,1863,SER,9.43272662799252,-9.065429631438676,90.04063,135.27621,163.1927,175.19695,55.795776,16.320496,5.113784,5.9957976
190832,0094m250,5247,DEV,9.490176731544569,-25.07375695424441,1167.6772,2640.398,3883.1575,4992.0015,12.023613,5.5285254,2.6487882,1.0071408
190832,0094m250,10401,DUP,9.490185062343388,-25.07371402382608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190832,0094m250,5472,SER,9.496070012342118,-25.05869273280979,2.7947838,5.205511,7.1208467,8.499601,897.8818,521.0934,219.21675,74.08044
190832,0094m250,5507,SER,9.496903749885028,-25.05817536248398,189.32092,365.0342,494.10355,614.1615,102.02584,48.24642,19.905651,8.209961
190832,0094m250,5536,EXP,9.497721874446285,-25.05803188848361,3.1970818,5.72673,6.7755756,7.222792,697.6475,411.01913,179.20004,68.82453
190832,0094m250,4409,PSF,9.469000723535688,-25.06294075538266,1.3850198,1.4650371,1.3814464,1.3271729,2772.588,2101.41,1021.3454,347.27045
190832,0094m250,4432,SER,9.46964856140158,-25.06268643212763,37.801525,45.35328,46.96823,48.263294,436.43152,260.30435,110.47479,37.874294
35433,0118m632,8257,SER,11.98475234468605,-63.15271598449009,106.7214,186.30077,248.75237,297.66162,96.056404,48.06618,31.172668,13.89164
35433,0118m632,9485,SER,12.04557225387533,-63.15872257113716,160.01799,265.78195,335.482,381.46045,44.70085,25.697052,12.850209,5.196532
35433,0118m632,8596,PSF,12.00133345160648,-63.16761920418086,19.57281,40.339302,53.0156,61.330822,1079.57,606.29443,439.9434,231.69577
35433,0118m632,8590,SER,12.00123945421535,-63.16669403271604,70.909775,135.67679,176.8438,206.53673,53.781216,29.63284,14.206821,5.914066
35433,0118m632,11703,DUP,12.00143935157218,-63.16589303909767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35433,0118m632,8600,REX,12.00145198823081,-63.16587799696483,43.775364,66.59611,79.75218,82.17687,448.71664,295.87933,244.22565,136.6453
35433,0118m632,8629,SER,12.00294737230044,-63.13376969298704,68.65002,104.397,127.36989,135.93301,100.2297,47.718155,26.11901,9.969277
226996,0122m182,9923,SER,12.31193151936059,-18.31619074095498,4.7877917,6.8970494,8.1291685,7.453805,1553.7103,1039.087,437.84445,235.93073
226996,0122m182,9935,SER,12.31221568686366,-18.31617999953638,48.63625,82.45305,130.90608,152.01707,447.82816,239.56519,93.393745,50.784428
226996,0122m182,9928,SER,12.31207907811673,-18.31559212194966,10.304277,15.947807,17.831493,19.179508,1494.0931,899.0299,383.27826,192.31621
226996,0122m182,8354,SER,12.27960286169112,-18.28714661132486,20.956509,26.51062,25.138779,25.982248,276.04004,164.8954,79.777985,54.53318
226996,0122m182,8339,SER,12.27927560073106,-18.2866320671963,305.12125,544.54047,687.8011,828.8716,98.30592,52.583553,23.895723,16.963533
226996,0122m182,8981,SER,12.29210768898929,-18.30782467078325,2.0868511,1.9552132,1.4689308,1.4096925,1681.6088,1198.8938,452.3511,217.08838
226996,0122m182,9024,EXP,12.29300359619467,-18.3085724808052,0.3477989,0.5136793,0.46627834,0.3879448,2837.9092,1771.4724,495.33145,237.73715
226996,0122m182,9013,SER,12.29286562494236,-18.30786280759166,48.363796,65.99296,73.43336,78.91585,276.42557,160.54169,56.730373,27.92324
226996,0122m182,9152,SER,12.2954947848856,-18.27013099982027,171.36719,336.73676,462.00595,578.0339,102.42561,45.099964,20.703257,12.799253
226996,0122m182,9190,SER,12.29622951523847,-18.2698074468355,5.3641577,4.3574486,1.7106855,-3.655358,310.9192,149.08615,54.504158,26.833113
324660,0131m010,1471,SER,13.04012577583562,-1.119177251059751,230.60197,448.92276,636.275,798.9123,40.7066,27.424826,14.405145,4.3172092
323220,0131m012,1903,REX,13.04578213805222,-1.128423215741425,1.093269,0.9300971,0.9245036,0.624136,1699.0781,1318.7251,610.3929,170.0401
323220,0131m012,1935,EXP,13.04660065707238,-1.128448197229796,3.4392571,3.2952976,3.358729,2.7863362,493.17828,357.23486,154.53806,41.84144
324660,0131m010,1536,REX,13.04231588811046,-1.109083549669928,0.25799054,0.4023387,0.48846605,0.14988658,642.25525,429.7122,174.6395,50.559914
324660,0131m010,1904,SER,13.05099114252429,-1.111288683922806,103.06562,185.43976,246.9346,294.73126,109.21712,77.94089,44.25675,13.642564
137462,0142m357,11189,SER,14.39405519174368,-35.7386845437449,28.355417,40.5225,45.58809,49.98707,391.94196,182.44652,639.05493,15.569797
137462,0142m357,11457,REX,14.39984889090922,-35.76253109342078,102.37358,206.8818,286.90125,354.5492,123.88036,53.68996,113.16566,5.117508
137462,0142m357,13152,DUP,14.39986228328184,-35.76252380171717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137462,0142m357,12365,EXP,14.42173447172224,-35.76463392531684,1.0146493,1.235411,1.2556572,1.2959309,2120.0398,1007.7339,1786.4175,80.44709
137462,0142m357,12382,EXP,14.42210331313963,-35.76380560490426,13.642303,20.189308,24.291302,26.112545,884.6957,446.5471,955.18286,42.910664
137462,0142m357,11762,SER,14.40623730680628,-35.76529492217725,85.937706,197.03722,283.49466,359.74152,149.79884,60.935143,142.96797,7.765719
232501,0155m172,6014,SER,15.55490269161658,-17.22199811019127,271.51932,514.2786,693.3772,837.1108,73.05261,45.389374,19.336525,7.638843
232501,0155m172,11213,DUP,15.55490610232443,-17.22199806180512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232501,0155m172,7690,SER,15.59466493930604,-17.18637238672964,3.783744,5.2592196,5.819267,6.1164365,667.22076,501.6192,248.95267,87.40455
232501,0155m172,7665,SER,15.59404648858646,-17.18606974187302,92.102585,146.97958,177.92421,203.61685,115.56477,81.79084,35.828712,14.933081
232501,0155m172,6261,SER,15.56111239970403,-17.20529215395111,330.4405,642.46484,882.8828,1083.2571,43.43832,25.476028,10.378749,4.504042
232501,0155m172,11214,DUP,15.56111337095784,-17.2052903336089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73730,0160m510,6869,SER,16.06999899516408,-51.03289212005716,2307.11,4991.674,7092.7217,8921.157,8.101734,2.7420251,1.1961211,0.6247908
73730,0160m510,10979,DUP,16.07003260679233,-51.03285878995118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73730,0160m510,10981,DUP,16.11515694368739,-51.00492400063066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73730,0160m510,8072,SER,16.11517399665176,-51.00492325440962,134.02063,285.78064,402.00668,502.0883,101.74532,38.36018,12.602547,4.999477
73730,0160m510,7455,SER,16.09284785540342,-51.02113168273863,457.70483,886.4089,1203.1814,1461.1819,39.126858,15.082686,5.753569,2.6708179
73730,0160m510,10980,DUP,16.09287142866929,-51.02112254740798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73730,0160m510,7482,PSF,16.09372519505535,-51.02086920505304,0.24358417,0.98621315,0.7065236,0.7757643,1674.3833,896.1112,451.68982,187.73436
73730,0160m510,7106,EXP,16.07893498282015,-51.02073208416003,0.705097,0.97325635,1.1424654,1.0706582,2172.484,1067.5317,341.99896,109.30862
73730,0160m510,7095,SER,16.07865415737977,-51.01993933260395,54.03847,80.90322,102.11497,110.87983,175.1044,72.336266,20.170345,6.597581
151766,0167m327,7826,PSF,16.84736651548637,-32.82962410870187,0.82972735,2.0829034,2.791469,3.2355149,0.0,0.0,0.0,0.0
151766,0167m327,7827,PSF,16.84736764468235,-32.82920655919401,-16.345884,0.2979697,4.6941586,47.968235,443.35907,146.72931,104.43742,63.237656
151766,0167m327,7828,SER,16.84741713183292,-32.8290673708472,414.1549,920.47723,1297.2289,1622.3225,70.75279,24.599737,13.818472,7.068904
151766,0167m327,9565,DUP,16.84736426903939,-32.82905507077107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
