brickid,brickname,objid,type,ra,dec,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
404689,0003p130,4495,DUP,0.3587273382901289,13.11244513656859,0.0,0.0,0.0,0.0
404689,0003p130,1713,SER,0.3585032212792199,13.11283341739427,11.716188,3.2005107,0.0,1.0867516
404689,0003p130,1240,PSF,0.3324375438565447,13.11065008037601,216.97763,87.71525,0.0,45.20067
404689,0003p130,4494,DUP,0.3331994716833093,13.11123683829803,0.0,0.0,0.0,0.0
404689,0003p130,1253,SER,0.3331897399378422,13.11125320572032,3.655179,0.8880075,0.0,0.3971452
404689,0003p130,910,SER,0.3129815262621921,13.11314170389291,23.955627,6.6841297,0.0,1.9636402
404689,0003p130,921,EXP,0.3135561230365992,13.11373102148048,203.33289,68.659004,0.0,21.580498
404689,0003p130,1972,SER,0.3732407814035215,13.09852691955251,32.34092,7.818243,0.0,1.5996838
63164,0027m540,6988,SER,2.838875924225044,-53.98125325481284,2420.5586,1336.6014,457.40112,133.40062
63164,0027m540,6959,SER,2.837759217243158,-53.98101274211389,251.54996,125.22568,42.17941,15.029248
63164,0027m540,6971,SER,2.838140128449826,-53.98023264521868,1488.0374,747.9639,199.86626,69.389084
63164,0027m540,7291,SER,2.852407391719842,-53.9310223008958,18.794708,6.817263,2.605525,1.1148237
63164,0027m540,10007,DUP,2.852468271089345,-53.93099022625143,0.0,0.0,0.0,0.0
63164,0027m540,7084,EXP,2.842553786186085,-53.95441709807376,4468.525,2226.774,788.1833,253.56235
63164,0027m540,7056,PSF,2.841797610820269,-53.95411115396836,3883.4343,2239.557,852.8925,289.23376
63164,0027m540,7086,SER,2.842623280146343,-53.953910753132,447.45627,186.75104,66.350494,21.331326
63164,0027m540,6908,EXP,2.835880443580574,-53.95698001518333,981.8486,350.13013,117.10693,31.956211
63164,0027m540,6881,SER,2.834674521202194,-53.95652455274381,826.2057,379.00702,150.66046,50.666725
63164,0027m540,6873,EXP,2.834156592394955,-53.95562138620707,865.89276,338.60455,101.81623,32.463245
214733,0057m205,1405,SER,5.687584604767833,-20.58857817827894,11.307651,5.005935,2.5888708,0.26978448
214733,0057m205,867,REX,5.653417994681938,-20.57092018426899,107.97114,52.650574,12.870559,2.8955112
214733,0057m205,1197,SER,5.674201525891037,-20.58429908579907,20.7536,8.99458,4.3350477,0.4014616
214733,0057m205,1209,PSF,5.674731040681417,-20.58473301574418,663.8388,456.25165,105.6791,22.120182
188220,0078m255,2731,SER,7.797350588356306,-25.49154148068133,1474.9501,1100.367,344.90082,108.86221
188220,0078m255,2700,SER,7.796628161147098,-25.4900891370687,833.1145,578.84753,172.91782,55.03442
188220,0078m255,2733,SER,7.797374162347395,-25.49057113235629,51.008263,30.434267,8.832597,3.6970222
188220,0078m255,2782,SER,7.798380352988154,-25.49092290302193,735.4073,501.19952,143.49324,44.271072
188220,0078m255,4577,REX,7.835637111264248,-25.4978180009287,347.41077,213.69969,54.914074,16.914616
188220,0078m255,2437,SER,7.791397378063242,-25.49810943981049,592.76575,382.94965,111.11358,36.72622
188220,0078m255,2415,SER,7.791093746023934,-25.49740697689343,3328.9565,2399.0151,794.07465,238.59534
188220,0078m255,2471,DEV,7.792020724176108,-25.49856153045315,600.9268,386.04147,107.85867,31.21136
34782,0091m635,8400,SER,9.273487600409846,-63.44434295805168,80.97631,31.403753,22.876402,5.7847505
34782,0091m635,12558,DUP,9.27354954962033,-63.44431133176228,0.0,0.0,0.0,0.0
34782,0091m635,7646,SER,9.238683763702836,-63.44049451525331,71.11621,27.606434,27.06086,6.74973
34782,0091m635,8895,REX,9.295400900782896,-63.43775771911234,1346.6754,661.9037,626.2277,140.18549
34782,0091m635,8891,EXP,9.295312260187726,-63.43735930241674,648.64996,289.84784,196.90181,36.670753
34782,0091m635,9574,REX,9.324959678182235,-63.44024534613383,340.14688,162.87025,141.88705,37.052143
278747,0094m090,1410,REX,9.413276734868823,-9.046817280354563,48.49949,20.62269,5.8148594,7.339726
278747,0094m090,1593,SER,9.421045190534482,-9.05643554421165,78.88943,22.048307,8.618034,8.46309
278747,0094m090,1927,SER,9.435477271748589,-9.059062043858258,44.062027,15.293315,4.6819415,4.412065
278747,0094m090,1863,SER,9.43272662799252,-9.065429631438676,55.795776,16.320496,5.113784,5.9957976
190832,0094m250,5247,DEV,9.490176731544569,-25.07375695424441,12.023613,5.5285254,2.6487882,1.0071408
190832,0094m250,10401,DUP,9.490185062343388,-25.07371402382608,0.0,0.0,0.0,0.0
190832,0094m250,5472,SER,9.496070012342118,-25.05869273280979,897.8818,521.0934,219.21675,74.08044
190832,0094m250,5507,SER,9.496903749885028,-25.05817536248398,102.02584,48.24642,19.905651,8.209961
190832,0094m250,5536,EXP,9.497721874446285,-25.05803188848361,697.6475,411.01913,179.20004,68.82453
190832,0094m250,4409,PSF,9.469000723535688,-25.06294075538266,2772.588,2101.41,1021.3454,347.27045
190832,0094m250,4432,SER,9.46964856140158,-25.06268643212763,436.43152,260.30435,110.47479,37.874294
35433,0118m632,8257,SER,11.98475234468605,-63.15271598449009,96.056404,48.06618,31.172668,13.89164
35433,0118m632,9485,SER,12.04557225387533,-63.15872257113716,44.70085,25.697052,12.850209,5.196532
35433,0118m632,8596,PSF,12.00133345160648,-63.16761920418086,1079.57,606.29443,439.9434,231.69577
35433,0118m632,8590,SER,12.00123945421535,-63.16669403271604,53.781216,29.63284,14.206821,5.914066
35433,0118m632,11703,DUP,12.00143935157218,-63.16589303909767,0.0,0.0,0.0,0.0
35433,0118m632,8600,REX,12.00145198823081,-63.16587799696483,448.71664,295.87933,244.22565,136.6453
