galaxy_id,NYU_id,z_source_id,ra,dec,z,r,r_limit,completeness,M_r,stellar_mass,g-r
22636,87544,-1,228.448397617,0.343080018,0.071977,17.1366005,17.7010002,0.8744,-19.5677567,9.8861122,0.5624294
23565,90309,-1,174.525924637,0.745674746,0.09745,17.6046009,17.6998997,0.8392,-19.7729721,9.8880911,0.4406281
24696,93504,-1,147.047613685,1.121250779,0.027135,17.6633015,17.7859993,1.0,-16.891119,8.8390512,0.5794945
26134,97019,-1,30.008173065,12.538331441,0.01172,17.3586006,17.6497002,0.8612,-15.3055553,8.0403719,0.3428221
30700,108265,-1,48.453592067,-8.147307523,0.013711,17.0876999,17.6898003,0.8389,-15.9324331,8.0937815,0.1222601
32761,115331,-1,171.631769227,-3.271118601,0.080156,17.6452007,17.6254997,0.8561,-19.3050385,9.670742,0.4862671
32992,115809,-1,185.169029188,-3.533352108,0.010962,17.2175999,17.6499004,0.8355,-15.3763237,8.0694351,0.4477043
34458,119241,-1,188.651233922,-2.122728552,0.02074,17.7182007,17.6499004,0.8163,-16.2325897,8.0343733,0.0093117
39103,133102,-1,134.94338913,0.582952618,0.011176,17.7933006,17.7929993,0.9643,-14.7684469,8.0464487,0.5189934
39413,134413,-1,144.789089214,0.984484542,0.024398,17.6162014,17.7859001,0.8214,-16.6943245,8.6483192,0.4504471
64491,199694,-1,213.965836533,1.586378023,0.025346,17.528101,17.7714005,0.8421,-16.8278275,8.6883717,0.4111443
70521,212537,-1,157.904543005,1.978708622,0.0306,17.2868004,17.7840996,0.9606,-17.5431461,8.8761854,0.3709526
78919,231283,-1,325.141903337,-8.272994297,0.020603,17.7895012,17.8551998,0.7593,-16.2177505,8.0919371,0.1758556
80734,235098,-1,310.73462378,-5.19221821,0.028984,17.7583008,17.8943005,0.876,-16.9216404,8.7155952,0.3656731
91559,260381,-1,351.375772032,14.105704728,0.013358,17.5499001,17.7696991,0.8241,-15.4666719,8.0286751,0.3325119
94573,267172,-1,359.683440957,16.090614083,0.019568,17.7744999,17.7838001,0.8033,-16.0774899,8.2990255,0.3561192
114961,315504,-1,164.030460626,5.282788364,0.044924,16.6431999,17.7803001,0.969,-18.988596,9.8911772,0.8755703
116291,319461,-1,133.769026001,2.684809886,0.058278,17.2005997,17.7544994,0.8252,-19.0102577,9.8392029,0.6586761
119879,327242,-1,174.660503453,5.593815195,0.021208,17.5615997,17.7793999,0.8317,-16.4198723,8.5110569,0.4362087
119474,326566,-1,152.929639997,5.053788252,0.013785,17.3779011,17.7758999,1.0,-15.6888876,8.0460835,0.2350874
149449,396655,-1,256.703589969,30.820267089,0.054084,16.5642014,17.7705002,0.9535,-19.5237103,9.8007784,0.528616
155299,410789,-1,209.223027983,-2.647769601,0.012091,17.1662998,17.7640991,0.8333,-15.6630974,8.0536261,0.3440781
159071,419596,-1,258.65216894,29.414825462,0.082282,17.3887997,17.7787991,0.9565,-19.6149387,9.891901,0.5626583
168507,447593,-1,336.088066586,-8.295191755,0.060388,16.9990005,17.7870007,0.85,-19.3118382,9.8389692,0.600563
169878,452912,-1,312.860108006,0.055899245,0.013652,17.6301003,17.7905998,0.9179,-15.3944101,8.0641632,0.3823328
172620,465217,-1,2.460182613,-0.917792736,0.013443,17.4687004,17.6849995,0.9706,-15.5220261,8.0568485,0.3085461
172849,465746,-1,10.455617833,-1.028191132,0.019142,17.8915005,17.6982994,0.973,-15.9532776,8.024539,0.0471392
175871,482765,-1,6.280945814,0.312699682,0.01089,17.1261997,17.6693001,1.0,-15.4293947,8.0147591,0.279274
222562,624827,-1,163.379862832,7.461895158,0.011284,16.8411007,17.7674999,0.9435,-15.8041439,8.0253115,0.1581392
227742,636696,-1,134.420579932,4.656856751,0.072321,17.0419998,17.7777004,0.876,-19.6868038,9.7648182,0.3994751
230235,643133,-1,146.416865352,7.012703662,0.01266,17.4305,17.7810001,0.8604,-15.4756508,8.0219622,0.0424175
233020,650065,-1,138.1077903,7.032237732,0.077844,17.5515003,17.7803993,0.8342,-19.3272896,9.8051481,0.595295
233986,652350,-1,137.396781693,7.289537577,0.017923,17.5734005,17.7896004,0.8342,-16.0908375,8.0946999,0.0982275
233758,651418,-1,181.097859661,10.016852374,0.022807,17.3227997,17.7837009,0.9034,-16.8505077,8.6864386,0.4447803
264670,732568,-1,175.565172967,10.222896154,0.015558,17.5516014,17.8071995,0.8261,-15.7993231,8.100956,0.2600336
277319,763340,-1,143.407429863,8.46387564,0.010971,17.1138,17.8005009,0.9465,-15.4684725,8.0883875,0.4262104
280956,774157,-1,154.060255628,12.620609235,0.023416,17.4262009,17.7905998,0.935,-16.8267269,8.567585,0.294735
281012,774263,-1,157.006900345,12.946504321,0.032557,17.7487011,17.7905998,0.8986,-17.206995,8.739543,0.3210735
282582,782054,-1,159.539031229,14.500515151,0.065968,17.6410999,17.7875996,0.8907,-18.8577328,9.8019781,0.7573051
283888,786884,-1,123.61135634,24.734489405,0.013569,17.2292004,17.7872009,0.9302,-15.731596,8.0512609,0.2196999
284717,788749,-1,130.082540962,27.740275318,0.02527,14.9721994,17.7942009,0.9524,-19.3950272,9.6692696,0.3890171
350346,1010020,-1,252.130976489,24.090382253,0.062392,17.1279011,17.7908993,0.9506,-19.2647419,9.7359419,0.5757027
332447,907482,-1,174.969392781,8.325418268,0.017551,17.6616001,17.7956009,0.8724,-15.9582815,8.0579643,0.1691732
351741,1014576,-1,193.409830639,14.930970599,0.086572,17.4381008,17.7884007,0.7778,-19.6828671,9.8051481,0.4317589
6019,34892,-1,357.392478206,0.455125096,0.037677,17.6037006,17.6732998,1.0,-17.6883068,8.958168,0.3950253
257994,714439,-1,341.066683784,0.005352005,0.057118,16.6444016,17.6807995,0.9576,-19.5567856,9.8023262,0.5323906
6832,37209,-1,36.741773162,0.576998384,0.025367,16.7349014,17.6634007,0.9759,-17.6933498,8.7580967,0.1405525
183169,522022,-1,45.519032858,0.723241985,0.074551,17.4999008,17.6762009,0.9882,-19.2922192,9.6606913,0.4743099
178836,501098,-1,16.060822419,-0.844528984,0.015401,17.4643002,17.6947994,0.9945,-15.857852,8.0776005,0.2099686
180082,506636,-1,25.060155389,-0.51499101,0.017196,14.7228994,17.6695004,0.9318,-18.8065662,9.6071815,0.6062202
181274,512180,-1,36.803245473,-0.050067583,0.026049,17.1833,17.6643009,0.9759,-17.2786865,8.7407589,0.3050385
98345,275335,-1,33.177016909,-8.462403957,0.013097,16.9912014,17.8017006,0.8449,-16.0106812,8.047576,0.1849995
281191,776042,-1,127.005574949,8.213934299,0.065942,17.1767998,17.7660007,0.8498,-19.3267384,9.8707829,0.6617966
264803,732812,-1,181.191177344,10.385094693,0.091716,17.518301,17.8071995,0.9034,-19.7272568,9.8467522,0.4574203
68358,207836,-1,191.490588795,1.298039939,0.017299,17.5631008,17.7812996,0.8745,-16.0275421,8.1020088,0.1934662
263563,730343,-1,164.535401966,8.775149575,0.034122,15.9705,17.7971001,0.8604,-19.068306,9.6814413,0.5533295
67758,206664,-1,204.777262829,3.419248139,0.011407,17.3722,17.8071003,0.8115,-15.247633,8.0826998,0.4819908
114030,313373,-1,139.784294627,3.630862661,0.035954,17.6116009,17.7852001,0.868,-17.5857639,8.895915,0.3840008
13867,65442,-1,167.791993182,0.625172365,0.025043,15.5672998,17.7133999,0.9452,-18.7613564,9.7865105,0.8126183
176121,486391,-1,323.730248302,0.684661324,0.061832,17.0195007,17.7663994,0.9668,-19.3504181,9.7595701,0.4836693
