Group_1,Gal_1,ID,ra_1,dec_1,type_1,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g_1,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r_1,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i_1,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z_1,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z,brickid,brickname,objid,type_2,ra_2,dec_2,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g_2,mag_r_2,mag_i_2,mag_z_2,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group_2,Gal_2,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation_2,Separation,Distance (Mpc),M_FUV,M_NUV,M_z,log(M_stellar),F_FUV,F_NUV,L_FUV,L_NUV,logSFR_NUV,log_sSFR
2,1,910,0.3129815262621921,13.11314170389291,SER,2.13987225133761,1111.3452,0.0166,746.5955,0.0141,36.5639,0.0625,16.3771,0.0015,1.1081,0.0026,0.2528,0.0003,49.7993,0.0245,1111.3452,0.0166,746.5955,0.0141,36.266,0.0488,15.8409,0.0013,1.0998,0.0019,0.2528,0.0003,49.7993,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.3452,0.0166,746.5955,0.0141,35.6739,0.1028,15.4709,0.0026,1.0833,0.0042,0.2528,0.0003,49.7993,0.0245,404689,0003p130,910,SER,0.3129815262621921,13.11314170389291,0.08065711,265.1013,444.5779,0.0,644.8338,1.5809548,1.3426262,0.0,1.5098474,1.0687332,373129.8,9.556523,44885.47,-0.1056844,7462593.0,0.58465093,14950313.0,16.441471,15.880131,,15.47638,16.136421,16.660906,15.554382,16.187887,0.56134033,,0.40375042,,0.3132083,13.1134167,2,1,00 01 15.17,+13 06 48.3,0.018646,,18.5922,18.186,Simbad,1.2697445983097178,0.0,82.99406528189911,-16.00303519034584,-16.40923519034584,-19.11885519034584,9.473105776138336,2.628967336476678e-12,2.5478504404776322e-12,2.1671100883757975e+42,2.100243816886531e+42,-0.2789290591480835,-9.75203483528642
2,4,1972,0.3732407814035215,13.09852691955251,SER,2.13987225133761,302.4151,0.0581,545.3456,0.0494,95.9395,1.0418,16.6742,0.0073,2.319,0.0146,0.5189,0.0017,-44.5407,0.2521,302.4151,0.0581,545.3456,0.0494,81.3392,0.6985,16.4273,0.0069,1.9545,0.0117,0.5189,0.0017,-44.5407,0.2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.4151,0.0581,545.3456,0.0494,52.3285,0.8042,16.5689,0.0135,1.2303,0.0195,0.5189,0.0017,-44.5407,0.2521,404689,0003p130,1972,SER,0.3732407814035215,13.09852691955251,0.08053331,96.03273,136.64732,0.0,167.82423,1.5825707,1.2880095,0.0,1.4925475,0.6900727,115520.11,8.0724945,11882.092,-0.041387293,501559.3,-0.2330424,1279131.4,17.543951,17.160997,,16.937862,17.898212,18.694412,,,0.38295364,,0.223135,,0.373,13.0985833,2,4,00 01 29.52,+13 05 54.9,0.017532,,19.281,19.2182,Simbad,0.8683154212137514,0.0,78.03560830860533,-15.180464100831323,-15.243264100831322,-17.523602100831322,8.58370314033253,1.394007756510551e-12,9.846773114837972e-13,1.0159036906644786e+42,7.175980981296603e+41,-0.7453174949538912,-9.32902063528642
3,2,6959,2.837759217243158,-53.98101274211389,SER,1.29447802358204,719.5932,0.0055,336.3854,0.0049,7.9612,0.0126,18.122,0.0015,0.7598,0.0034,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.7652,0.0083,17.6359,0.0011,0.8373,0.0019,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.5781,0.0122,17.3781,0.0016,0.9113,0.0031,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.3757,0.0204,17.2826,0.0027,0.9913,0.0056,0.8608,0.0008,59.8707,0.3274,63164,0027m540,6959,SER,2.837759217243158,-53.98101274211389,0.013003452,55.225315,87.73145,112.72442,126.94051,1.2637981,1.1899415,1.1435049,1.2433984,0.8337279,222480.08,2.0223577,651481.3,-0.036698896,2463457.2,0.06467345,4009181.0,18.144655,17.64211,17.369955,17.241,17.62722,18.07626,15.657281,,0.5025444,0.27215576,0.4011116,0.12895584,2.8379583,-53.9808889,3,2,00 11 21.11,-53 58 51.2,0.041719,,20.0492,19.6655,Simbad,0.6135079570413903,0.0,185.6928783382789,-16.294776240354906,-16.678476240354904,-19.102976240354906,9.423748996141963,6.870450109106125e-13,6.521896932020645e-13,2.8351588307714e+42,2.691324933091602e+42,-0.17123263914445275,-9.594981635286416
3,4,7291,2.852407391719842,-53.9310223008958,SER,1.29447802358204,601.2763,0.0035,1023.7382,0.0044,36.266,0.0217,15.404,0.0005,0.9882,0.0009,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,39.4389,0.0252,14.7606,0.0005,1.5277,0.001,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,42.4663,0.0458,14.4776,0.0008,2.0424,0.0017,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,45.7435,0.0716,14.2780,0.0011,2.5997,0.0027,0.7673,0.0002,11.9182,0.0501,63164,0027m540,7291,SER,2.852407391719842,-53.9310223008958,0.013674323,723.31555,1240.6438,1596.1914,1837.1049,1.3978636,1.2477674,1.1959314,1.1699084,1.5316923,2717180.5,10.513629,242138.9,0.11245582,56035076.0,0.029920407,27842356.0,15.351681,14.765882,14.492288,14.339665,14.798617,15.245937,13.267138,13.086854,0.58579826,0.27359486,0.42621708,0.15262222,2.8522917,-53.9311944,3,4,00 11 24.55,-53 55 52.3,0.041719,,17.7296,17.3873,Simbad,0.6663177943600813,0.0,185.6928783382789,-18.614376240354904,-18.956676240354906,-22.004311240354905,10.660135696141962,5.818689600520648e-12,5.316844161784291e-12,2.401139509414201e+43,2.1940480518356167e+43,0.7400473608555451,-9.920088335286417
3,3,7086,2.842623280146343,-53.953910753132,SER,1.29447802358204,680.4556,0.0167,708.859,0.0104,12.9987,0.0366,18.9372,0.0026,0.6455,0.0055,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.859,0.0104,12.6179,0.0328,18.6544,0.0029,0.8063,0.0043,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.859,0.0104,12.2546,0.0548,18.4659,0.0044,0.9598,0.0083,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.859,0.0104,11.8613,0.0866,18.4384,0.0070,1.1259,0.0138,0.3197,0.0007,58.2417,0.0745,63164,0027m540,7086,SER,2.842623280146343,-53.953910753132,0.013347207,26.546524,34.513557,41.891937,43.804474,1.379217,1.2221423,1.1796682,1.1675323,0.7723974,59319.2,3.3150465,66341.98,-0.23501629,941225.44,0.4634793,1443244.5,18.939981,18.655025,18.444674,18.396204,19.029074,,16.632574,,0.28495598,0.21035194,0.2588215,0.048469543,2.842,-53.9536944,3,3,00 11 22.08,-53 57 13.3,0.041719,,19.9107,19.7047,Simbad,1.532951485258772,0.0,185.6928783382789,-16.433276240354907,-16.639276240354906,-17.947772240354904,8.709752796141961,7.805220746765489e-13,6.290626950178234e-13,3.220901130914609e+42,2.595889099790986e+42,-0.18691263914445244,-8.896665435286414
3,1,6881,2.834674521202194,-53.95652455274381,SER,1.29447802358204,744.763,0.0056,672.8753,0.0095,6.0261,0.0303,19.3526,0.0036,1.2663,0.0133,0.4208,0.0016,14.8871,0.1435,744.763,0.0056,672.8753,0.0095,6.2935,0.0223,18.9136,0.003,1.2493,0.0083,0.4208,0.0016,14.8871,0.1435,744.763,0.0056,672.8753,0.0095,6.5486,0.0355,18.74,0.0046,1.2331,0.0115,0.4208,0.0016,14.8871,0.1435,744.763,0.0056,672.8753,0.0095,6.8247,0.0579,18.6070,0.0075,1.2155,0.0197,0.4208,0.0016,14.8871,0.1435,63164,0027m540,6881,SER,2.834674521202194,-53.95652455274381,0.013247969,17.845335,25.962233,29.86704,32.660404,1.379217,1.2221423,1.1796682,1.1675323,1.091572,18952.66,1.5695738,181520.48,0.33486447,626876.56,0.20517439,489438.72,19.37119,18.964146,18.81202,18.714947,19.151058,19.493313,16.51257,14.41983,0.40704346,0.15212631,0.24919891,0.0970726,2.8349167,-53.956,3,1,00 11 20.38,-53 57 21.6,0.041719,,20.2101,20.5555,Simbad,1.956829153941451,0.0,185.6928783382789,-16.133876240354905,-15.788476240354907,-17.629029240354907,8.660981796141963,5.924138322052493e-13,2.873253412690153e-13,2.444653961785861e+42,1.18567628854995e+42,-0.5272326391444544,-9.188214435286417
10,4,1405,5.687584604767833,-20.58857817827894,SER,0.525723884676834,461.7714,0.006,531.2494,0.0038,24.9659,0.02,16.0163,0.0007,0.8662,0.0012,0.5881,0.0002,-63.4368,0.0361,461.7714,0.006,531.2494,0.0038,24.0913,0.0136,15.5266,0.0006,1.0386,0.0008,0.5881,0.0002,-63.4368,0.0361,461.7714,0.006,531.2494,0.0038,23.2569,0.0221,15.3482,0.0008,1.2031,0.0014,0.5881,0.0002,-63.4368,0.0361,461.7714,0.006,531.2494,0.0038,22.3536,0.0371,15.2098,0.0017,1.3812,0.0024,0.5881,0.0002,-63.4368,0.0361,214733,0057m205,1405,SER,5.687584604767833,-20.58857817827894,0.021346333,344.62363,567.0632,700.28204,837.3827,1.5235689,1.143581,1.7313269,1.086597,1.121632,452501.78,5.7933245,99547.52,-0.1258168,5207018.5,-0.17990994,6759911.5,16.156637,15.615921,15.386818,15.19269,15.553885,16.037384,14.120055,13.752192,0.5407162,0.22910309,0.42323112,0.19412804,5.6871667,-20.5885,10,4,00 22 44.92,-20 35 18.6,0.051799,,18.0196,17.6902,Simbad,1.436213083801397,0.0,230.55934718100886,-18.794313668926446,-19.123713668926445,-21.621223668926447,10.473252367570579,4.454769014828389e-12,4.022480349795835e-12,2.833951185550035e+43,2.5589459112718483e+43,0.8068623322841653,-9.666390035286414
10,1,867,5.653417994681938,-20.57092018426899,REX,0.525723884676834,900.6646,0.0056,773.6568,0.0049,5.1648,0.0106,18.4135,0.0018,0.7873,0.0055,0.8313,0.0013,85.1689,0.406,900.6646,0.0056,773.6568,0.0049,4.7051,0.0068,17.9617,0.0014,0.9068,0.0037,0.8313,0.0013,85.1689,0.406,900.6646,0.0056,773.6568,0.0049,4.2665,0.0103,17.6614,0.0022,1.0208,0.0075,0.8313,0.0013,85.1689,0.406,900.6646,0.0056,773.6568,0.0049,3.7916,0.0175,17.7215,0.0045,1.1443,0.0128,0.8313,0.0013,85.1689,0.406,214733,0057m205,867,REX,5.653417994681938,-20.57092018426899,0.021688515,42.02807,65.81303,86.29225,93.36544,1.5235689,1.143581,1.5002943,1.086597,1.0,0.0,1.1660125,290378.44,0.0,0.0,0.0,0.0,18.44115,17.95422,17.66007,17.574535,17.72633,17.692347,15.36086,14.09578,0.48693085,0.2941494,0.37968445,0.08553505,5.6534583,-20.5708889,10,1,00 22 36.83,-20 34 15.2,0.051799,,20.2911,19.5066,Simbad,0.1764611129886761,0.0,230.55934718100886,-16.522813668926446,-17.307313668926447,-19.239378668926445,9.452381967570577,5.498258955365651e-13,7.549773649616295e-13,3.4977789944109687e+42,4.802873036457254e+42,0.0803023322841625,-9.372079635286415
10,3,1197,5.674201525891037,-20.58429908579907,SER,0.525723884676834,633.1362,0.0119,589.5133,0.0102,18.3102,0.1213,17.7928,0.0048,1.7285,0.012,0.8187,0.0023,46.6907,0.5245,633.1362,0.0119,589.5133,0.0102,18.1247,0.0925,17.4931,0.0041,1.8452,0.0092,0.8187,0.0023,46.6907,0.5245,633.1362,0.0119,589.5133,0.0102,17.9478,0.1664,17.4308,0.0069,1.9566,0.0173,0.8187,0.0023,46.6907,0.5245,633.1362,0.0119,589.5133,0.0102,17.7562,0.2757,17.3298,0.0133,2.0773,0.0288,0.8187,0.0023,46.6907,0.5245,214733,0057m205,1197,SER,5.674201525891037,-20.58429908579907,0.021552328,71.661896,95.904945,104.45052,117.2326,1.5235689,1.143581,1.7313269,1.086597,2.1848898,10615.937,5.5741577,5714.2183,-0.04616118,137139.12,0.21140029,330917.97,17.86178,17.545397,17.452723,17.32738,18.37035,18.73363,15.840534,,0.31638336,0.092674255,0.21801758,0.12534332,5.6745417,-20.5841944,10,3,00 22 41.89,-20 35 03.1,0.051799,,19.2006,18.836,Simbad,1.206797180135836,0.0,230.55934718100886,-17.613313668926445,-17.977913668926448,-19.486533668926445,9.318693467570576,1.5011538010498668e-12,1.4001479575186068e-12,9.54975797851125e+42,8.907197996006922e+42,0.3485423322841612,-8.970151135286415
11,2,2733,7.797374162347395,-25.49057113235629,SER,0.793984205952446,835.2198,0.0008,754.6284,0.0009,12.2526,0.008,16.6559,0.0005,1.2669,0.0016,0.7327,0.0003,47.2542,0.0414,835.2198,0.0008,754.6284,0.0009,13.3155,0.0122,16.0318,0.0006,2.854,0.0026,0.7327,0.0003,47.2542,0.0414,835.2198,0.0008,754.6284,0.0009,14.3296,0.0234,15.6575,0.0009,4.3682,0.005,0.7327,0.0003,47.2542,0.0414,835.2198,0.0008,754.6284,0.0009,15.4274,0.0365,15.4725,0.0011,6.0074,0.0078,0.7327,0.0003,47.2542,0.0414,188220,0078m255,2733,SER,7.797374162347395,-25.49057113235629,0.016199168,337.87167,549.1237,743.3128,885.47473,1.432205,1.2802346,1.0941682,1.1002642,6.0,203847.11,8.692216,194967.14,0.00977523,11675612.0,0.19110948,19362890.0,16.17812,15.650825,15.322071,15.132059,16.111818,16.050148,13.17695,,0.5272951,0.32875347,0.51876545,0.19001198,7.797375,-25.4906111,11,2,00 31 11.37,-25 29 26.2,0.0931,,18.4966,18.1406,Simbad,0.1439092626204881,0.0,414.3916913946587,-19.590455195828426,-19.946455195828428,-22.95499619582843,11.064241178331372,2.870947099938165e-12,2.6566474864318176e-12,5.899958761121358e+43,5.459560927863153e+43,1.1359589430449546,-9.928282235286417
