Group,Gal,zmemb,ra,dec,logSFR_NUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z,ebv
3,2,0.041719,2.837759217243158,-53.98101274211389,-0.17123263914445275,7.9612,0.7598,7.7652,0.8373,7.5781,0.9113,7.3757,0.9913,0.0126,0.0034,0.0083,0.0019,0.0122,0.0031,0.0204,0.0056,18.144655,17.64211,17.369955,17.241,0.013003452
3,3,0.041719,2.842623280146343,-53.953910753132,-0.18691263914445244,36.266,0.9882,39.4389,1.5277,42.4663,2.0424,45.7435,2.5997,0.0217,0.0009,0.0252,0.001,0.0458,0.0017,0.0716,0.0027,18.939981,18.655025,18.444674,18.396204,0.013347207
3,1,0.041719,2.834674521202194,-53.95652455274381,-0.5272326391444544,12.9987,0.6455,12.6179,0.8063,12.2546,0.9598,11.8613,1.1259,0.0366,0.0055,0.0328,0.0043,0.0548,0.0083,0.0866,0.0138,19.37119,18.964146,18.81202,18.714947,0.013247969
3,4,0.041719,2.852407391719842,-53.9310223008958,0.7400473608555451,6.0261,1.2663,6.2935,1.2493,6.5486,1.2331,6.8247,1.2155,0.0303,0.0133,0.0223,0.0083,0.0355,0.0115,0.0579,0.0197,15.351681,14.765882,14.492288,14.339665,0.013674323
10,4,0.051799,5.687584604767833,-20.58857817827894,0.8068623322841653,24.9659,0.8662,24.0913,1.0386,23.2569,1.2031,22.3536,1.3812,0.02,0.0012,0.0136,0.0008,0.0221,0.0014,0.0371,0.0024,16.156637,15.615921,15.386818,15.19269,0.021346333
10,1,0.051799,5.653417994681938,-20.57092018426899,0.0803023322841625,nan,7.713,nan,5.1661,nan,2.736,nan,0.1055,nan,1.0338,nan,0.9901,nan,1.9078,nan,3.0885,18.44115,17.95422,17.66007,17.574535,0.021688515
10,3,0.051799,5.674201525891037,-20.58429908579907,0.3485423322841612,5.1648,0.7873,4.7051,0.9068,4.2665,1.0208,3.7916,1.1443,0.0106,0.0055,0.0068,0.0037,0.0103,0.0075,0.0175,0.0128,17.86178,17.545397,17.452723,17.32738,0.021552328
11,1,0.0931,7.791397378063242,-25.49810943981049,0.39091894304495156,12.2526,1.2669,13.3155,2.854,14.3296,4.3682,15.4274,6.0074,0.008,0.0016,0.0122,0.0026,0.0234,0.005,0.0365,0.0078,18.590342,18.2692,18.036205,17.969353,0.016303431
11,2,0.0931,7.797374162347395,-25.49057113235629,1.1359589430449546,5.7992,1.3785,6.1961,1.357,6.5748,1.3365,6.9848,1.3143,0.0166,0.0071,0.0119,0.0043,0.0203,0.0062,0.0338,0.0108,16.17812,15.650825,15.322071,15.132059,0.016199168
11,4,0.0931,7.835637111264248,-25.4978180009287,0.606198943044955,8.7669,0.5922,8.7202,0.637,8.6756,0.6797,8.6274,0.7259,0.0095,0.0029,0.0062,0.0015,0.0098,0.0025,0.0167,0.0046,18.527872,18.223295,18.027212,17.965452,0.015955556
