Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv
2,3,0.017532,0.3587273382901289,13.11244513656859,nan,0.27395102652599235,34.5105,1.3016,34.145,1.3699,0.0,0.0,33.4186,1.5055,0.0196,0.001,0.0157,0.0007,0.0,0.0,0.0368,0.0017,nan,nan,nan,nan,0.08077177
2,2,0.017899,0.3331994716833093,13.11123683829803,nan,0.44182525923339355,44.2328,3.5631,46.4146,3.8038,0.0,0.0,50.7497,4.2819,0.0215,0.0013,0.0161,0.001,0.0,0.0,0.0335,0.0018,nan,nan,nan,nan,0.08060997
2,1,0.018646,0.3129815262621921,13.11314170389291,-0.5383034321866074,-0.6651499514239116,36.5639,1.1081,36.266,1.0998,0.0,0.0,35.6739,1.0833,0.0625,0.0026,0.0488,0.0019,0.0,0.0,0.1028,0.0042,16.463621127678817,15.900340575035468,nan,15.482192969931877,0.08065711
2,4,0.017532,0.3732407814035215,13.09852691955251,-0.6319613380240376,-0.5845268088148998,95.9395,2.319,81.3392,1.9545,0.0,0.0,52.3285,1.2303,1.0418,0.0146,0.6985,0.0117,0.0,0.0,0.8042,0.0195,17.54808792194822,17.180110806831454,nan,16.93988965556853,0.08053331
3,2,0.041719,2.837759217243158,-53.98101274211389,-0.05648983360508808,-0.13547894788241877,7.9612,0.7598,7.7652,0.8373,7.5781,0.9113,7.3757,0.9913,0.0126,0.0034,0.0083,0.0019,0.0122,0.0031,0.0204,0.0056,18.186635227894246,17.676911028763428,17.366381997791347,17.243529218562873,0.013003452
3,4,0.041719,2.852407391719842,-53.9310223008958,0.7542563153759847,0.7327530262143149,36.266,0.9882,39.4389,1.5277,42.4663,2.0424,45.7435,2.5997,0.0217,0.0009,0.0252,0.001,0.0458,0.0017,0.0716,0.0027,15.41112954418684,14.802987255998694,14.498631432108837,14.34516771928826,0.013674323
3,3,0.041719,2.842623280146343,-53.953910753132,-0.07832292110110828,-0.07826819307731725,12.9987,0.6455,12.6179,0.8063,12.2546,0.9598,11.8613,1.1259,0.0366,0.0055,0.0328,0.0043,0.0548,0.0083,0.0866,0.0138,18.934976645046646,18.68648766331576,18.40328365859961,18.390660678331162,0.013347207
3,1,0.041719,2.834674521202194,-53.95652455274381,0.011079016173265899,0.08172732547323669,6.0261,1.2663,6.2935,1.2493,6.5486,1.2331,6.8247,1.2155,0.0303,0.0133,0.0223,0.0083,0.0355,0.0115,0.0579,0.0197,19.39179972780267,18.996706818627548,18.779765818773352,18.711423937204774,0.013247969
10,4,0.051799,5.687584604767833,-20.58857817827894,0.7515989787655872,0.7163490152410059,24.9659,0.8662,24.0913,1.0386,23.2569,1.2031,22.3536,1.3812,0.02,0.0012,0.0136,0.0008,0.0221,0.0014,0.0371,0.0024,16.216952482610207,15.655040358105474,15.37406366038418,15.193902337554754,0.021346333
10,1,0.051799,5.653417994681938,-20.57092018426899,0.383245442548084,0.37449055192915104,5.1648,0.7873,4.7051,0.9068,4.2665,1.0208,3.7916,1.1443,0.0106,0.0055,0.0068,0.0037,0.0103,0.0075,0.0175,0.0128,18.486952238165447,17.990960857565444,17.6490307287411,17.572424076596544,0.021688515
10,3,0.051799,5.674201525891037,-20.58429908579907,0.4605352353172911,0.39310421821603825,18.3102,1.7285,18.1247,1.8452,17.9478,1.9566,17.7562,2.0773,0.1213,0.012,0.0925,0.0092,0.1664,0.0173,0.2757,0.0288,17.863988957829804,17.57718878186144,17.379184199647707,17.316432363984724,0.021552328
11,2,0.0931,7.797374162347395,-25.49057113235629,1.2617131253110898,1.184213702520303,12.2526,1.2669,13.3155,2.854,14.3296,4.3682,15.4274,6.0074,0.008,0.0016,0.0122,0.0026,0.0234,0.005,0.0365,0.0078,16.244465332924257,15.678733547580801,15.277822068276402,15.117699615820818,0.016199168
11,4,0.0931,7.835637111264248,-25.4978180009287,0.7265419777832207,0.7097635257313932,10.6044,1.2823,10.5037,1.5101,10.4077,1.7275,10.3038,1.9628,0.0285,0.0051,0.0224,0.0039,0.0402,0.0074,0.0661,0.0122,18.52190115412773,18.230837939440985,17.887477419833377,17.925569219406974,0.015955556
11,1,0.0931,7.791397378063242,-25.49810943981049,0.5165852953072516,0.44188618618752074,8.7669,0.5922,8.7202,0.637,8.6756,0.6797,8.6274,0.7259,0.0095,0.0029,0.0062,0.0015,0.0098,0.0025,0.0167,0.0046,18.58751050752874,18.277392705342727,17.911091500923497,17.931335965840812,0.016303431
13,2,0.041095,9.27354954962033,-63.44431133176228,nan,0.41926731462567446,20.8522,0.8748,20.7105,1.3764,20.5753,1.855,20.4289,2.3731,0.0118,0.001,0.0092,0.0008,0.0151,0.0014,0.0245,0.0023,nan,nan,nan,nan,0.02145948
13,1,0.041095,9.238683763702836,-63.44049451525331,1.4295784117550152,1.482558415429958,13.7446,1.2138,13.5688,1.4004,13.401,1.5784,13.2195,1.771,0.0054,0.001,0.0034,0.0006,0.0039,0.0007,0.0066,0.0012,16.327586305388497,15.482353051795572,15.118212995770604,14.840901595455493,0.021494443
13,3,0.041095,9.295400900782896,-63.43775771911234,0.7423931583396133,0.7951693294974458,nan,nan,0.6821,nan,0.9165,nan,1.1703,nan,nan,nan,0.012,nan,0.0148,nan,0.0259,nan,19.95793560748737,19.377372199513804,19.090546902484153,18.746502228635773,0.021344265
13,4,0.041095,9.324959678182235,-63.44024534613383,-0.10097323957767479,-0.091294942967318,4.5703,1.4058,4.7439,1.4402,4.9094,1.473,5.0886,1.5085,0.0055,0.0039,0.0033,0.0025,0.0045,0.0027,0.0077,0.0044,18.07858222006012,17.526262850711714,17.287927793237,17.130076314951445,0.021237023
14,1,0.077266,9.413276734868823,-9.046817280354563,0.7321272236746541,0.7799073847382729,13.1023,0.964,12.7876,1.031,12.4872,1.0949,12.1622,1.1641,0.0141,0.0018,0.0096,0.0012,0.0111,0.0015,0.0176,0.0024,17.342374434038053,16.661640370039557,16.310863108298193,16.145948156814118,0.035117216
14,2,0.07588,9.421045190534482,-9.05643554421165,0.5999781423828399,0.586693429690655,19.443,1.1275,18.2468,1.4602,17.1054,1.7776,15.8699,2.1212,0.0301,0.0034,0.0195,0.0023,0.0251,0.0036,0.0415,0.0061,17.872091876522127,17.058203270699384,16.667749356304768,16.429924223662987,0.034914233
