Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv,e_mag_g,e_mag_r,e_mag_i,e_mag_z,FUV_corrected,NUV_corrected
2,3,0.017532,0.3587273382901289,13.11244513656859,,0.27395102652599235,34.5105,1.3016,34.145,1.3699,0.0,0.0,33.4186,1.5055,0.0196,0.001,0.0157,7.0E-4,0.0,0.0,0.0368,0.0017,,,,,0.08077177,Infinity,Infinity,Infinity,Infinity,17.120256843939504,
2,2,0.017899,0.3331994716833093,13.11123683829803,,0.44182525923339355,44.2328,3.5631,46.4146,3.8038,0.0,0.0,50.7497,4.2819,0.0215,0.0013,0.0161,0.001,0.0,0.0,0.0335,0.0018,,,,,0.08060997,Infinity,Infinity,Infinity,Infinity,16.745557792464346,
2,1,0.018646,0.3129815262621921,13.11314170389291,-0.5383034321866074,-0.6651499514239116,36.5639,1.1081,36.266,1.0998,0.0,0.0,35.6739,1.0833,0.0625,0.0026,0.0488,0.0019,0.0,0.0,0.1028,0.0042,16.463621127678817,15.900340575035468,,15.482192969931877,0.08065711,8.367749902229613E-4,9.446132121083472E-4,Infinity,0.0012015602957190662,18.57971941947987,18.192509490861546
2,4,0.017532,0.3732407814035215,13.09852691955251,-0.6319613380240376,-0.5845268088148998,95.9395,2.319,81.3392,1.9545,0.0,0.0,52.3285,1.2303,1.0418,0.0146,0.6985,0.0117,0.0,0.0,0.8042,0.0195,17.54808792194822,17.180110806831454,,16.93988965556853,0.08053331,0.0019880571275287117,0.0028416371321564964,Infinity,0.005115081800477817,19.26645143229173,19.224809607675365
3,2,0.041719,2.837759217243158,-53.98101274211389,-0.05648983360508808,-0.13547894788241877,7.9612,0.7598,7.7652,0.8373,7.5781,0.9113,7.3757,0.9913,0.0126,0.0034,0.0083,0.0019,0.0122,0.0031,0.0204,0.0056,18.186635227894246,17.676911028763428,17.366381997791347,17.243529218562873,0.013003452,0.0012395783772097902,0.0011059164379926142,0.001483050911942374,0.0022062537236441433,20.026343919484113,19.66864298615158
3,4,0.041719,2.852407391719842,-53.9310223008958,0.7542563153759847,0.7327530262143149,36.2658,0.9882,39.4387,1.5277,42.466,2.0424,45.7431,2.5996,0.0217,9.0E-4,0.0252,0.001,0.0458,0.0017,0.0716,0.0027,15.41112954418684,14.802987255998694,14.498631432108837,14.34516771928826,0.013674323,3.4624118609471696E-4,3.351754383626704E-4,4.213972829837132E-4,5.597411916439112E-4,17.705630023554257,17.391922416128082
3,3,0.041719,2.842623280146343,-53.953910753132,-0.07832292110110828,-0.07826819307731725,12.9987,0.6455,12.6179,0.8063,12.2546,0.9598,11.8613,1.1259,0.0366,0.0055,0.0328,0.0043,0.0548,0.0083,0.0866,0.0138,18.934976645046646,18.68648766331576,18.40328365859961,18.390660678331162,0.013347207,0.0019334874537114348,0.002301988157315169,0.0031817920904325813,0.00536657154733701,19.883317032471357,19.72322570489164
3,1,0.041719,2.834674521202194,-53.95652455274381,0.011079016173265899,0.08172732547323669,6.0261,1.2663,6.2935,1.2493,6.5486,1.2331,6.8247,1.2155,0.0303,0.0133,0.0223,0.0083,0.0355,0.0115,0.0579,0.0197,19.39179972780267,18.996706818627548,18.779765818773352,18.711423937204774,0.013247969,0.002116681535970028,0.0021481205495867167,0.0029616415329519956,0.004670263137833092,20.17352167603265,20.562903337786445
10,4,0.051799,5.687584604767833,-20.58857817827894,0.7515989787655872,0.7163490152410059,24.9652,0.8661,24.0932,1.0387,23.2613,1.2034,22.3607,1.3817,0.02,0.0012,0.0136,8.0E-4,0.0221,0.0014,0.0371,0.0024,16.216952482610207,15.655040358105474,15.37406366038418,15.193902337554754,0.021346333,9.368996341482383E-4,8.557565906404567E-4,9.635985619490255E-4,0.0024962717078575343,17.992579675580906,17.688731799332604
10,1,0.051799,5.653417994681938,-20.57092018426899,0.383245442548084,0.37449055192915104,5.1649,0.7874,4.705,0.9068,4.2662,1.0206,3.7912,1.1439,0.0106,0.0055,0.0068,0.0037,0.0103,0.0075,0.0175,0.0128,18.486952238165447,17.990960857565444,17.6490307287411,17.572424076596544,0.021688515,0.002486171190716621,0.0022735833433311205,0.003507145809719652,0.006834009011966511,20.282356233110477,19.510959264623818
10,3,0.051799,5.674201525891037,-20.58429908579907,0.4605352353172911,0.39310421821603825,18.3411,1.7317,18.0991,1.8428,17.8682,1.9487,17.6182,2.0634,0.1216,0.012,0.0917,0.0091,0.1647,0.0172,0.2733,0.0287,17.863988957829804,17.57718878186144,17.379184199647707,17.316432363984724,0.021552328,0.0033257477398953668,0.003774790687207338,0.004992485052655312,0.014616854283813385,19.17482343280951,18.84601774241717
