Group_1,Gal_1,ID_1,ra_1,dec_1,type_1,CHI2NU_1,RE_g_1,e_RE_g_1,MAG_g_1,e_MAG_g_1,n_g_1,e_n_g_1,RE_r_1,e_RE_r_1,n_r_1,e_n_r_1,RE_i_1,e_RE_i_1,n_i_1,e_n_i_1,RE_z_1,e_RE_z_1,n_z_1,e_n_z_1,objid_1,ebv_1,mag_g_1a,mag_r_1a,mag_i_1a,mag_z_1a,objid_2,type_2a,_RAJ2000_2,_DEJ2000_2,Group_2,Gal_2,ID_2,CHI2NU_2,RE_r_2,e_RE_r_2,n_r_2,e_n_r_2,RE_g_2,e_RE_g_2,n_g_2,e_n_g_2,RE_i_2,e_RE_i_2,n_i_2,e_n_i_2,RE_z_2,e_RE_z_2,n_z_2,e_n_z_2
20,4,1904,13.05099114252429,-1.111288683922806,SER,0.550881294713299,15.2334,0.0130,17.4378,8.0E-4,0.9530,0.0019,14.5706,0.0083,1.0009,0.0011,13.9382,0.0088,1.0466,0.0013,13.2537,0.0143,1.0961,0.0022,1904,0.05183192,17.467215,16.829493,16.518545,16.326435,1904,SER,13.051125,-1.11125,20,4,iDR4_3_STRIPE82-0019_0007419,1.14712122098981,7.1355,0.0517,1.0702,0.0144,7.4310,0.0875,0.9424,0.0249,6.8547,0.0642,1.1916,0.0197,6.6309,0.0979,1.2884,0.0305
26,4,7828,16.84741713183292,-32.8290673708472,SER,0.793479330916477,13.6116,0.0037,15.9679,2.0E-4,1.2265,0.0009,12.2773,0.0024,1.3947,0.0006,11.0043,0.0021,1.5551,0.0006,9.6262,0.0033,1.7287,0.0010,7828,0.028982436,15.957093,15.089968,14.717459,14.474657,7828,SER,16.8474167,-32.8291111,26,4,iDR4_3_SPLUS-s25s12_0003871,1.14453880637418,7.4311,0.2516,0.7636,0.0498,7.4122,0.2932,0.6481,0.0615,7.4491,0.4030,0.8734,0.0870,7.4634,0.5706,0.9608,0.1266
26,3,9564,16.83293887916162,-32.8317691155815,DUP,0.793479330916477,19.4817,0.0051,16.4851,3.0E-4,0.5078,0.0006,19.1042,0.0032,0.6747,0.0004,18.7440,0.0043,0.8339,0.0005,18.3540,0.0073,1.0063,0.0009,9564,0.029134303,Infinity,Infinity,Infinity,Infinity,9564,DUP,16.8327917,-32.8316944,26,3,iDR4_3_SPLUS-s25s12_0003507,1.14453880637418,7.3787,0.1200,0.9437,0.0204,7.4485,0.1565,0.7563,0.0286,7.3123,0.1798,1.1219,0.0344,7.2593,0.2564,1.2638,0.0510
26,1,6445,16.80270840320432,-32.83567747715625,REX,0.793479330916477,16.5053,0.0287,17.7552,0.0016,0.9076,0.0025,16.3148,0.0209,1.0749,0.0018,16.1330,0.0340,1.2345,0.0030,15.9363,0.0559,1.4073,0.0051,6445,0.029552748,17.834425,17.320929,17.108545,16.967478,6445,REX,16.8027083,-32.8356111,26,1,iDR4_3_SPLUS-s25s12_0003152,1.14453880637418,6.3734,0.0129,1.6872,0.0045,7.0106,0.0242,1.4391,0.0090,5.7678,0.0152,1.9231,0.0069,5.2853,0.0246,2.1110,0.0114
26,2,6928,16.81804207117206,-32.8427817921172,EXP,0.793479330916477,16.8836,0.0594,18.7241,0.0031,0.9028,0.0049,16.5453,0.0470,0.9463,0.0036,16.2226,0.0774,0.9877,0.0065,15.8732,0.1251,1.0326,0.0108,6928,0.029327404,18.98711,18.692116,18.586771,18.505516,6928,EXP,16.8177917,-32.8426111,26,2,iDR4_3_SPLUS-s25s12_0002771,1.14453880637418,9.4397,0.0238,0.7105,0.0045,9.4318,0.0324,0.4780,0.0061,9.4472,0.0344,0.9314,0.0065,9.4532,0.0492,1.1073,0.0093
28,4,10387,20.29108124601455,-32.04061563232854,SER,0.617147559289692,17.4979,0.0183,17.048,9.0E-4,1.2767,0.0019,17.0540,0.0110,1.3601,0.0011,16.6306,0.0151,1.4396,0.0016,16.1721,0.0262,1.5256,0.0028,10387,0.026457714,17.076982,16.608213,16.383247,16.297495,10387,SER,20.2909167,-32.0405,28,4,iDR4_3_SPLUS-s25s14_0029551,1.16271519890744,4.8238,0.0585,0.5862,0.0370,4.7146,0.0791,0.5092,0.0550,4.9276,0.0868,0.6593,0.0546,5.0103,0.1247,0.7176,0.0806
28,3,9981,20.27815691689498,-32.0500743178396,SER,0.617147559289692,10.0835,0.0103,18.3549,9.0E-4,0.5430,0.0024,10.3687,0.0077,0.6275,0.0013,10.6408,0.0122,0.7082,0.0023,10.9353,0.0198,0.7955,0.0042,9981,0.02635827,19.032486,18.93906,19.009768,19.038073,9981,SER,20.2784167,-32.0501111,28,3,iDR4_3_SPLUS-s25s14_0023490,1.16271519890744,10.4163,0.0749,1.2132,0.0126,10.6892,0.1056,0.8818,0.0176,10.1570,0.1080,1.5281,0.0198,9.9505,0.1561,1.7790,0.0291
28,2,9141,20.2526136443005,-32.05851136884929,SER,0.617147559289692,21.0406,0.0133,16.9935,6.0E-4,0.8906,0.0011,20.6192,0.0080,1.1242,0.0006,20.2171,0.0114,1.3470,0.0010,19.7818,0.0198,1.5883,0.0017,9141,0.026182787,17.07119,16.410414,16.08536,15.880268,9141,SER,20.2524167,-32.0586111,28,2,iDR4_3_SPLUS-s25s14_0023466,1.16271519890744,4.1206,0.0686,1.0607,0.0556,4.0772,0.0760,0.7516,0.0651,4.1619,0.1178,1.3543,0.1035,4.1948,0.1683,1.5884,0.1512
28,1,8846,20.24462727220963,-32.06282642816967,SER,0.617147559289692,7.8737,0.0101,18.6756,0.0011,0.6432,0.0036,8.0469,0.0083,0.7986,0.0021,8.2121,0.0145,0.9469,0.0042,8.3910,0.0234,1.1074,0.0074,8846,0.026235,18.65307,18.44986,18.382,18.335512,8846,SER,20.2445,-32.0626111,28,1,iDR4_3_SPLUS-s25s14_0023259,1.16271519890744,7.8671,0.0761,1.2857,0.0167,8.0916,0.1101,1.1567,0.0255,7.6539,0.1089,1.4083,0.0264,7.4839,0.1586,1.5059,0.0396
32,4,8288,23.45944951864787,-69.33398403722262,SER,0.624711404673561,20.0133,0.0719,16.8629,0.0029,1.5500,0.0075,19.6959,0.0365,1.7384,0.0038,19.3931,0.0621,1.9181,0.0068,19.0653,0.1158,2.1127,0.0126,8288,0.022333538,16.90027,16.39398,16.192078,16.028032,8288,SER,23.4589167,-69.3338889,32,4,iDR4_3_MC0050_0038361,1.21635684263513,6.1206,0.0664,0.6116,0.0149,6.4278,0.1224,0.7511,0.0351,5.8287,0.0773,0.4790,0.0224,5.5961,0.1238,0.3734,0.0398
