GAL,ra,dec,radvel,z,mag,r20,r50,r80,flux_c,flux_e,rpetro_c,rpetro_e,rhalf_c,rhalf_e,Gini,M20,F(G_M20),S(G_M20),SN_per_pixel,C,A,S,M,I,D,Ao,As,Ser_A,Ser_R,Ser_n,Ser_xc,Ser_yc,Ser_ellip,Ser_theta,flag_morph,flag_sersic,ima_sc_pix2arc,ima_sc_arc2kpc,psf_arcsec,size_image_phy_kpc,zp_ima,eta,petro_extent_cas,snr,area_min,debleding,area_min_deblend,skybox_x,skybox_y,sky_method,nsigma,npixels,dilate_size,mask_stars,fwhm,threshold,roundlo,roundhi,sharplo,aper_stars,aper_fact,aper_center,aper_ellip,aper_pa,dr,View,area_segmap_pix,area_psf_pix,ratio_segmap_psf,flag_area,flag_area_th,SN_gal,bck,ratio_SN_gal,flag_SN,flag_SN_th,perc_SN_flag,perc_20_SN_gal,perc_50_SN_gal,perc_80_SN_gal,flag_image,flag_bck,flag_object,flag_statmorph,Group
649r,330.1993615954723,-42.8156728788711,5000.0,0.0166666666666666,,5.902552200088969,10.86863257817513,17.723694569138704,29.68091513994389,29.40661005211075,21.85101307842781,24.400438413112724,11.230263147751726,12.632952741847024,0.4841771403465761,-1.2857566105746978,-0.6722938241561822,-0.0263847999267726,0.1253259629011154,2.3875721037537465,0.1876173499589113,-0.0028146163452021,0.7692307692307693,0.8174811829618729,0.3846852378543158,0.1263551363323512,0.1852022027658527,0.0267171361596023,12.193108202110384,0.6634102207756561,321.18859607895774,313.4286080431306,0.4045013490377892,1.7812028427421815,0.0,0.0,0.27,0.3462954865095246,1.2575363,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1119.0,17.0,65.7,0.0,3.0,0.01462,0.0022499999031424,6.5,0.0,3.0,50.0,4.0,6.5,14.8,0.0,0.0,0.0,0.0,194
650r,330.16832295066064,-42.81858602182859,5000.0,0.0166666666666666,,4.0368362000690965,8.993597756840833,18.171388116556056,148.00397051161875,158.92902192620946,21.158198705535003,37.76431004132487,10.176809128541388,18.53379469074406,0.6703543649580903,-1.7527699610881824,0.5729236895766574,0.0930157967172519,0.2635188698768616,3.266734883663629,0.0938267081791272,0.0688970359436686,0.1268115942028985,0.1079606080540482,0.1641372339790953,0.4724937576388271,0.4627994200744083,0.2201592769862765,15.334347216443868,0.7893320728936787,319.2801073605367,319.40364642722807,0.6541723271387183,0.561025118335187,0.0,0.0,0.27,0.3462954865095246,1.359375,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2362.0,19.9,118.6,0.0,3.0,0.02088,0.0021599999163299,9.7,0.0,3.0,50.0,4.3,9.7,33.1,0.0,0.0,0.0,0.0,194
651r,330.1806471721393,-42.821443778346016,5000.0,0.0166666666666666,,3.53836248345728,7.76281687622844,13.598224991784155,456.0578356510944,456.0580258084592,17.416090288751292,19.385611710716827,7.922015808829689,8.804747128935492,0.4912187290947217,-1.880099276912529,-0.2255584920807445,-0.102027257687067,0.5933412313461304,2.923399504713683,0.1086810501204656,0.0328013783440808,0.0,0.0,0.0263395072954457,0.1251993212245955,0.1978026337027451,0.728214608685794,8.143592215511145,0.8933409880647356,319.59314101796303,319.7081357527661,0.2159444271880169,1.219315226194983,0.0,0.0,0.27,0.3462954865095246,1.3723443,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,2486.0,20.3,122.5,0.0,3.0,0.04774,0.0021899999119341,21.8,0.0,3.0,50.0,5.6,21.8,112.5,0.0,0.0,0.0,0.0,194
652r,330.21142131600124,-42.82836480810965,5000.0,0.0166666666666666,,8.297392380113497,15.555658430635,24.787836739422502,280.52864603384245,285.0040337119341,32.126862162297414,37.80707920328968,15.630931169541116,19.242172586017958,0.4103270371311373,-1.6502999186381204,-0.785223322584653,-0.1501679219308728,0.2780326902866363,2.376484994547111,0.1578019097110987,0.0270611145295725,0.0178438661710037,0.0383062119267746,0.0261133936193892,0.2406685306933721,0.1413010762342575,0.137385367684951,18.379645947346948,0.44664250584129,320.3122085454778,319.6468809734546,0.3492267314767034,2.232775070630014,0.0,0.0,0.27,0.3462954865095246,1.377093,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,4051.0,20.4,198.3,0.0,3.0,0.04068,0.0022299999836832,18.2,0.0,3.0,50.0,5.7,18.2,50.1,0.0,0.0,0.0,0.0,194
888r,12.86369912406534,-23.20874737135991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19
889r,12.87242054718038,-23.213493513441747,5000.0,0.0166666666666666,,6.724925638238626,15.06202450083778,28.83538057379172,110.39498695872716,109.59463707767613,35.53334115960296,57.98979484395962,16.04812627072714,26.99168060581723,0.5759799525276997,-1.715965258381253,0.0802646890703222,0.0047009820874284,0.1700747013092041,3.1611910061913906,0.1144594711773156,0.0370809338192388,0.0064888248017303,0.013661870944015,0.0960920638494901,0.1560393904011129,0.272149947607362,0.0851900497002411,24.476009005603945,0.624325500485658,320.23466953876425,320.163820107957,0.8020472840289405,2.1206031693689003,0.0,0.0,0.27,0.3462954865095246,1.2218797,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,2638.0,16.1,164.0,0.0,3.0,0.02146,0.0021800000686198,9.9,0.0,3.0,50.0,4.6,9.9,27.9,0.0,0.0,0.0,0.0,19
890r,12.859205339406332,-23.213482161515227,5000.0,0.0166666666666666,,3.60270635729055,7.924495282342949,14.96952528306425,161.26981995896216,160.2146434174965,19.35417551219751,25.468607852797355,8.223567085383456,12.209874913012724,0.5063132308908299,-1.7920893530286583,-0.2118315854415318,-0.0748503214890619,0.4014069437980652,3.092895811109561,0.093318984223287,0.0683441589386735,0.0,0.0,0.0626840196735113,0.1140538967173277,0.2150715269547978,0.385801711046444,11.71489870664704,0.7637021683817696,319.51316309197944,320.19698419709533,0.7298330232765592,2.773630729859148,0.0,0.0,0.27,0.3462954865095246,1.2218797,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Edge-on,1567.0,16.1,97.4,0.0,3.0,0.03152,0.002199999988079,14.4,0.0,3.0,50.0,4.8,14.4,65.9,0.0,0.0,0.0,0.0,19
891r,12.852057440864668,-23.226582853621668,5000.0,0.0166666666666666,,5.324716914070994,11.079763665162714,17.8447290832337,69.1458238683226,68.33282128879395,22.30678062185506,25.04781991144033,11.156255966837891,13.28819816988191,0.4385278884442377,-1.7003559890601216,-0.6109402517823592,-0.1292068729195616,0.1969723105430603,2.6260671762761585,0.1230605370553844,0.0178952337233077,0.1414473684210526,0.1514508531824878,0.0337411087246979,0.0797428296341156,0.2562340759815251,0.0710358993823457,11.034933899172296,0.5493289947360623,319.5172326663369,319.7311617844207,0.2926110306031463,2.604550895645432,0.0,0.0,0.27,0.3462954865095246,1.162323,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,1642.0,14.6,112.8,0.0,3.0,0.02295,0.0022599999792873,10.2,0.0,3.0,50.0,4.2,10.2,27.6,0.0,0.0,0.0,0.0,19
599r,4.658733882664886,-35.94581013806873,5000.0,0.0166666666666666,,5.0108096473490535,11.311476727520455,23.667939333465945,725.4384023476607,826.1872626469491,29.09061474824672,77.85951447528086,15.728473164106566,24.09759230821265,0.6675251881025368,-1.90589550362717,0.6650352651211859,0.0689304612173347,0.2579787671566009,3.371262712521437,0.0521118210994686,-0.0014294799087515,0.1861761426978818,0.0469319068038215,0.1513335876858649,0.2446884589134611,0.3707277776765991,0.3177935295136086,16.02041611773265,1.7163272776630791,320.164403444747,320.1462435147413,0.4193555632670953,1.0488014766108142,0.0,0.0,0.27,0.3462954865095246,1.1701744,30.0,22.5,0.2,1.5,2.5,5.0,1.0,5.0,5.0,5.0,masking_sources,2.0,5.0,11.0,1.0,3.0,10.0,-0.5,0.5,0.2,5.0,0.5,10.0,0.0,0.0,10.0,Face-on,10920.0,14.8,740.2,0.0,3.0,0.02292,0.0021899999119341,10.5,0.0,3.0,50.0,4.7,10.5,31.8,0.0,0.0,0.0,0.0,8
600r,4.653752757098771,-35.93919097903824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,masking_sources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8
