index,ra,dec,brickid,objid,type,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z
1,351.703573778,15.646856367,421414,105,SER,0.061651673,53.41079,87.74842,0.0,120.95533,1.5083308,1.5262219,0.0,1.9410311,1.3291305,22359.354,2.862733,52678.324,-0.19280282,704931.8,-0.0011001606,323364.8,18.180927,17.641901,Infinity,17.293438,17.97595,18.549921,,,0.53902626,Infinity,0.34846306,Infinity
2,171.987289342,1.299480568,338255,5065,EXP,0.029087204,84.60285,135.27731,166.85754,181.3266,1.5513946,1.7503444,1.1274304,1.383636,1.0,0.0,9.709403,4959.552,0.32523823,638442.44,0.37120157,715894.5,17.681538,17.171938,16.944136,16.853846,17.87666,18.624086,,,0.5095997,0.22780228,0.31809235,0.09029007
3,201.879549488,0.739126064,335495,2985,EXP,0.028507821,139.73068,211.30328,257.22327,273.43964,1.4536511,1.3264619,1.2532995,1.4487147,1.0,0.0,7.986961,14624.23,-0.10881691,1293373.6,0.06109936,1032992.4,17.13677,16.687735,16.474224,16.407846,17.239462,17.96582,,19.101974,0.44903564,0.21351051,0.27988815,0.06637764
4,15.663385389,-9.143663001,277349,5529,EXP,0.038286876,70.5455,98.651436,118.73083,123.57145,1.4153357,1.2837173,1.5466642,1.5205597,1.0,0.0,6.6066213,6907.0415,0.007626561,208648.44,-0.066957034,421499.94,17.878826,17.514742,17.313591,17.270205,18.285318,18.860727,16.427725,,0.36408424,0.2011509,0.24453735,0.04338646
5,205.951233885,1.372377402,338391,5670,EXP,0.026698614,137.56592,211.08467,260.6582,283.76935,1.42099,1.4920952,1.141308,1.4176344,1.0,0.0,9.772209,651514.6,-0.619477,2855464.2,0.26061368,4662860.0,17.153723,16.688858,16.459822,16.367586,17.147535,17.729664,17.463484,16.275774,0.46486473,0.22903633,0.3212719,0.092235565
6,139.586699558,6.510212867,368311,1293,SER,0.03755234,61.671238,85.950455,103.94121,109.17549,1.4026427,1.2348343,1.1675996,1.3151972,1.6631272,19556.457,2.5313408,483611.44,-0.12867683,832063.3,0.1312897,991799.7,18.024794,17.66438,17.45803,17.404688,18.118153,18.647188,19.105722,14.759554,0.3604145,0.20634842,0.25969124,0.05334282
7,48.396147737,-8.0023411,284601,5883,SER,0.07379744,48.930832,75.846245,93.303406,100.96227,1.2623938,1.3532838,1.1989232,1.1333755,1.0909762,52176.66,4.4111533,39257.797,0.10520131,819729.8,0.45505753,1621689.0,18.276043,17.800165,17.575256,17.489603,18.329247,19.075495,,,0.47587776,0.22490883,0.31056213,0.085653305
8,146.037899914,5.936883936,365471,4345,SER,0.03810383,90.73341,135.2012,164.73248,175.39871,1.6321088,1.1554528,1.3240439,1.287701,0.95234656,52959.43,7.7095037,7430.0376,0.034991268,353575.5,-0.09275164,544142.7,17.605581,17.172548,16.958052,16.889935,17.767561,18.341188,,,0.433033,0.21449661,0.28261375,0.06811714
9,204.012267575,-1.608630995,322544,446,SER,0.033790406,57.650288,86.54956,98.67497,111.3999,1.5149013,1.421732,1.2831888,1.2701312,1.1050656,82189.64,2.2962878,869999.6,0.044952676,1776487.1,-0.15680058,2693102.0,18.097996,17.656837,17.514482,17.382788,18.08396,18.969465,16.784136,,0.4411583,0.14235497,0.27404976,0.1316948
10,16.060822419,-0.844528984,326112,3036,PSF,0.030392306,1.9854016,1.7046888,0.96400285,1.2429231,1.4301603,1.1822152,1.1460273,1.0783069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.755379,21.920887,22.539804,22.26389,21.508112,21.167366,,14.772283,-0.16550827,-0.61891747,-0.34300232,0.27591515
