group_id,index,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,Separation
289841,1,381400,1978p087,5511,DUP,197.8368409481846,8.831841197632084,0.029882608,0.0,0.0,0.0,0.0,1.5245728,1.3066586,1.2229083,1.1639334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.12511934904078012
366078,2,496220,1550p300,2191,SER,155.0662963705298,30.01385025453479,0.02782365,39.48676,92.308044,131.97813,169.89316,1.547303,1.8153527,1.5425161,1.2854625,1.9335746,15559.972,1.6200014,197567.34,0.11125032,657624.3,-0.10226691,583084.6,18.508871,17.5869,17.198746,16.92456,16.995945,17.397383,16.581167,14.88486,0.92197037,0.38815498,0.66234016,0.27418518,0.07632343806168877
67536,3,322507,1948m015,408,SER,194.753117548688,-1.428956579278553,0.021476744,37.09823,95.49421,135.67421,170.63707,1.3686957,1.3369427,1.2149686,1.1253453,6.0,10992.214,1.4364338,1312703.8,-0.20213583,3786411.8,-0.00875359,2585959.5,18.576616,17.550056,17.168756,16.919817,17.097652,17.65561,22.253416,,1.0265598,0.38129997,0.6302395,0.24893951,0.06991911517039029
381162,4,438872,2408p190,4860,DUP,240.7754659995666,19.0082081869302,0.046408743,0.0,0.0,0.0,0.0,1.6762881,1.5772791,0.0,1.4180862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,0.03640475907097823
326036,5,333075,3168p002,9155,SER,316.97527451024,0.1304683170541872,0.10666934,260.37384,593.7473,862.30133,1107.076,1.5215554,1.2274156,1.2850449,1.2478971,5.0554476,164603.92,13.8336,25859.594,0.34851414,1.1412174E7,0.1170963,6936160.0,16.461006,15.565996,15.160852,14.889556,16.499886,17.195974,,,0.89501,0.40514374,0.67644024,0.2712965,0.11482756274285477
456553,6,409744,2176p137,4007,SER,217.749990620551,13.66138061326895,0.021513471,60.804386,149.13985,0.0,278.77008,1.2309778,1.1623294,0.0,1.1226431,5.413792,4084.2546,4.410619,1874221.6,-0.19143951,1962252.5,-0.14734076,1990730.2,18.040163,17.066015,Infinity,16.386885,16.473824,16.824894,15.785652,14.823009,0.9741478,Infinity,0.67913055,Infinity,0.08963910277395923
367933,7,494954,1508p297,3542,SER,150.8693059615977,29.84382671300257,0.023901308,43.10158,117.55863,0.0,229.68484,1.6932377,1.5472138,0.0,1.4293529,2.5355518,7643.865,1.8914931,3634086.5,0.3114316,4755668.5,-0.07077215,4104987.0,18.413767,17.324364,Infinity,16.59717,16.539291,16.886473,16.593292,15.30506,1.0894032,Infinity,0.72719383,Infinity,0.0776606889138568
407672,8,479720,1549p267,652,SER,154.8748253901251,26.77795376356905,0.030972522,45.1618,99.490685,136.04799,166.4421,1.7168941,1.8042581,1.3015989,1.191829,4.7670603,1969.383,1.1282425,278146.56,0.17480016,615236.56,0.05333129,391302.56,18.363071,17.505545,17.16577,16.946842,17.22969,17.720951,,,0.8575268,0.3397751,0.55870247,0.21892738,0.18207788777006506
194893,9,361167,1457p052,1663,SER,145.7125678259787,5.232417615374378,0.04690649,63.29346,150.91762,225.27274,286.33704,1.5406288,1.5110946,1.2739391,1.2089412,3.6093726,28763.545,3.2103376,144764.84,0.078773536,1555435.4,-0.20151074,2388282.0,17.996603,17.05315,16.618229,16.357805,17.42719,18.19398,15.256141,,0.94345284,0.43492126,0.6953449,0.26042366,0.10247001842849604
394740,10,444233,2202p200,1934,SER,220.1731492264396,19.90418371244418,0.021752195,39.245884,101.70483,0.0,225.79689,1.7979748,1.2169396,0.0,1.8498229,1.5811996,15085.733,3.7968388,36842.598,-0.58868474,1162381.0,-0.20912437,848025.56,18.515514,17.481646,Infinity,16.615705,16.2291,16.618937,16.16572,15.663028,1.0338688,Infinity,0.8659401,Infinity,0.11944864789806312
221750,11,384140,1707p092,1483,SER,170.703712971994,9.181744147271695,0.036830585,247.59863,459.53473,624.80145,759.86536,1.4615552,1.2804465,1.4902129,1.0876611,5.2986712,40499.043,3.6101143,182764.47,-0.08516802,4945638.0,0.04560141,3989403.2,16.515629,15.844204,15.510645,15.298159,15.332811,15.599589,14.144096,12.722013,0.67142487,0.33355904,0.5460453,0.21248627,0.10699739531475748
441445,12,473394,1970p255,3857,REX,197.0781618422557,25.52890932054453,0.01595456,67.5322,139.80211,199.95114,251.25743,1.4915739,1.5047404,1.4739445,1.2954047,1.0,0.0,1.6881746,668035.7,0.0,0.0,0.0,0.0,17.926222,17.136215,16.74769,16.499702,16.490334,16.792828,15.818686,13.481768,0.79000664,0.388525,0.63651276,0.24798775,0.10544378060934928
399120,13,432964,1260p180,4132,SER,126.1865163779526,17.93775475113703,0.04180238,45.592415,123.53439,182.41656,238.55186,1.1941774,1.2303227,1.0605447,1.322533,6.0,2409.465,1.4703904,1424820.2,-0.041777916,1703092.0,0.020433618,1769168.6,18.352768,17.27053,16.84734,16.556044,16.595734,17.01248,,,1.0822372,0.42319107,0.7144871,0.291296,0.008215106778166403
92621,14,351225,1751p035,3292,SER,175.1324152262031,3.484866613012226,0.022256438,92.322624,149.39749,191.7125,219.23524,1.631507,1.657942,1.258871,1.256114,1.5598963,70544.695,3.6832793,119062.18,-0.03690976,1223465.5,-0.16731708,2628055.2,17.58673,17.064142,16.793373,16.647724,,,,,0.5225868,0.27076912,0.41641808,0.14564896,0.08362457051958463
316053,15,391479,2314p105,448,SER,231.300987325122,10.43693518443214,0.034900106,93.88574,173.27594,242.104,300.88754,1.2276946,1.3648497,1.3831499,1.6813354,1.3883531,86103.15,4.0403037,1309141.5,0.37915945,4754518.0,-0.17161237,2899046.0,17.5685,16.903154,16.539995,16.30399,16.49307,16.969501,15.522351,15.316387,0.66534615,0.36315918,0.59916496,0.23600578,0.13190381262106235
398287,16,332031,0558p002,991,SER,55.78836525096371,0.2660505203597386,0.088591106,67.69227,209.86867,317.93887,442.51404,1.2670413,1.0946463,1.2104945,1.0918648,6.0,21714.354,2.89334,170865.25,0.059775982,2432595.8,-0.05951558,2241132.8,17.923653,16.695131,16.24414,15.885182,15.86075,16.248722,17.911264,15.190675,1.2285213,0.45099068,0.8099489,0.35895824,0.057906809462267006
