brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,index
406679,1506p132,2100,SER,150.5972273265705,13.30538024065569,0.03529581,58.17366,83.11901,93.75611,102.54212,1.479726,1.3489343,1.6452752,1.2605172,0.82058084,91321.54,3.488179,77915.19,0.06537075,965572.9,0.08108724,1153119.4,18.088184,17.700748,17.570002,17.472744,18.15527,18.967072,16.11238,13.220885,0.3874359,0.13074684,0.22800446,0.097257614,1815
334703,0038p007,8889,SER,3.992951910138584,0.717325314683266,0.024003811,68.77469,118.63426,146.53949,169.04532,1.7991879,1.2991369,1.2709776,1.0706933,3.3266203,20157.307,2.9087212,2170476.2,0.24278402,4584651.5,0.069616444,3617413.2,17.90643,17.314474,17.085114,16.929993,17.48343,18.124443,18.144514,15.752797,0.5919552,0.22936058,0.38448143,0.15512085,1715
275909,0110m095,1669,SER,10.91151195711457,-9.522435986956095,0.038265523,167.09465,231.15755,278.31888,289.89365,1.4735358,1.1494162,1.1521547,1.5343045,1.7460293,1109989.6,4.554125,696510.2,-0.19011289,2.9653416E7,-0.03266883,1.5088052E7,16.942595,16.590229,16.388643,16.344402,16.784416,17.253084,15.159743,14.035509,0.3523655,0.20158577,0.24582672,0.04424095,1817
334677,3573p005,4158,SER,357.3204882676784,0.3996250261975259,0.031861566,156.2065,263.4491,327.31738,403.10583,1.1088532,1.2262269,1.12543,1.2195617,0.54795855,5443724.5,3.1626978,4171116.0,0.40916136,8.913972E7,-0.21962588,6.312584E7,17.015753,16.448257,16.212578,15.986452,16.171022,16.617191,14.745332,14.674815,0.56749535,0.23567963,0.46180534,0.22612572,1822
349781,1736p032,3238,SER,173.6131354813628,3.267851735731058,0.02095216,164.55219,257.18973,318.0115,346.92462,1.516372,1.3869455,1.3221701,1.3255981,1.9665726,31174.271,10.172898,104032.84,-0.066086955,684658.2,-0.23769346,1236146.0,16.95924,16.474365,16.243893,16.149412,16.794247,17.33434,16.569237,,0.48487473,0.23047256,0.32495308,0.094480515,1773
413025,3423p142,2407,SER,342.3382497279014,14.27639676645973,0.04295745,102.51858,146.51433,0.0,182.64983,1.4304409,1.7771108,0.0,1.5741218,0.7048861,196090.06,3.7088485,156294.36,-0.43509427,4172376.8,0.15861188,2725123.0,17.472994,17.0853,Infinity,16.845951,17.35465,17.730272,16.931694,12.867469,0.3876934,Infinity,0.23934937,Infinity,1788
267373,0039m110,2805,REX,3.951258387296382,-10.96617288211767,0.038455486,119.09542,185.80966,223.52985,253.8478,1.6053715,1.7377813,1.6585634,1.7384768,1.0,0.0,3.2359226,275204.16,0.0,0.0,0.0,0.0,17.310263,16.82733,16.626661,16.488567,17.063744,17.496346,16.725163,14.547685,0.48293304,0.20066833,0.33876228,0.13809395,1732
502712,2376p312,5270,SER,237.7398156149565,31.2266308068675,0.026802147,77.259544,119.54351,0.0,160.05357,1.5703603,1.4608665,0.0,1.3945241,0.9718576,58688.605,2.1158035,218821.94,0.1029051,1690973.0,0.023518678,845503.6,17.780119,17.306185,Infinity,16.989336,17.436686,17.984892,16.081566,15.633617,0.47393417,Infinity,0.31684875,Infinity,1721
480897,1241p270,3677,SER,124.1860836297357,27.00945709087203,0.03705301,97.38857,155.23354,187.09239,208.3092,1.8222753,1.4221298,1.3047458,1.4322758,0.81540614,172067.19,4.891519,80207.25,0.24519673,2825101.0,0.011589163,1139591.0,17.52873,17.022535,16.81986,16.703228,17.35659,17.974024,,13.995502,0.50619507,0.20267487,0.31930733,0.11663246,1729
401117,1665p122,7401,SER,166.681182075949,12.29776281295618,0.015822478,76.84605,117.56732,137.72899,153.87149,1.525126,1.5054839,1.1504024,1.2858893,0.8322516,119580.93,2.5039814,265834.12,0.042998057,1344798.2,-0.10618164,2141589.0,17.785946,17.324284,17.152437,17.032104,17.572357,18.182695,16.208479,13.974316,0.4616623,0.17184639,0.2921791,0.12033272,1810
