X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
684.7084,514.4963,36.8231474,-3.8994891,36.8230957,-3.8995258,15.239,3.5,2,270.1195,0.01006003,1.392,-10.7,13.5313,0.0001,35920.0,307483,0369m040,16103,DUP,36.8231564591224,-3.899498326821289,0.02978504,0.0,0.0,0.0,0.0,1.2382802,1.1203699,0.9978877,1.0289108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,36.8235833,-3.8993333,231,4,02 27 17.66,-03 53 57.6,0.043634,,18.3314,17.9544,Simbad,1.6441574761845716
877.0726,821.941,36.8090685,-3.8771466,36.8090632,-3.8771509,7.44,3.5,0,68.83182,0.01006003,1.004,-50.5,15.4271,0.0002,12650.0,307483,0369m040,702,REX,36.80908807486127,-3.877155094496457,0.030540712,107.60378,198.77658,258.08624,311.33105,1.2439584,1.1203699,0.99965394,1.0221313,1.0,0.0,1.6334294,16135081.0,0.0,0.0,0.0,0.0,17.420431,16.754087,16.470589,16.266943,16.65945,17.156189,16.011663,14.474012,0.6663437,0.28349876,0.48714447,0.2036457,36.8089583,-3.8769722,231,1,02 27 14.15,-03 52 37.1,0.0,,19.8647,19.27,Simbad,0.8067126377210437
466.7859,526.5277,36.8389768,-3.8986152,36.8389924,-3.8986496,2.693,4.47,0,0.8778846,0.01010117,1.07,27.78,21.7816,0.0235,104.4,307483,0369m040,2720,REX,36.83891221791691,-3.900580587242132,0.029404823,6.369582,6.6917224,6.2908444,6.477929,1.2365853,1.1278375,0.99352235,1.0290774,1.0,0.0,0.35759026,1357311.4,0.0,0.0,0.0,0.0,20.489723,20.436155,20.503227,20.471409,20.258265,20.51747,,14.425613,0.053567886,-0.067071915,-0.035253525,0.03181839,36.8387917,-3.9005,231,5,02 27 21.31,-03 54 01.8,0.0,,20.2318,21.2407,Simbad,0.5210887956243686
468.0152,500.1978,36.8389039,-3.9005802,36.8389028,-3.9005658,2.975,3.5,0,8.393354,0.01010117,1.075,27.01,19.2025,0.0024,996.5,307483,0369m040,2720,REX,36.83891221791691,-3.900580587242132,0.029404823,6.369582,6.6917224,6.2908444,6.477929,1.2365853,1.1278375,0.99352235,1.0290774,1.0,0.0,0.35759026,1357311.4,0.0,0.0,0.0,0.0,20.489723,20.436155,20.503227,20.471409,20.258265,20.51747,,14.425613,0.053567886,-0.067071915,-0.035253525,0.03181839,36.8387917,-3.9005,231,5,02 27 21.31,-03 54 01.8,0.0,,20.2318,21.2407,Simbad,0.5210887956243686
446.1337,485.3527,36.8405088,-3.9016718,36.8404991,-3.9016462,2.737,5.07,0,0.2548077,0.01010117,1.232,70.37,23.1098,0.0515,30.97,307483,0369m040,2720,REX,36.83891221791691,-3.900580587242132,0.029404823,6.369582,6.6917224,6.2908444,6.477929,1.2365853,1.1278375,0.99352235,1.0290774,1.0,0.0,0.35759026,1357311.4,0.0,0.0,0.0,0.0,20.489723,20.436155,20.503227,20.471409,20.258265,20.51747,,14.425613,0.053567886,-0.067071915,-0.035253525,0.03181839,36.8387917,-3.9005,231,5,02 27 21.31,-03 54 01.8,0.0,,20.2318,21.2407,Simbad,0.5210887956243686
725.1458,997.3007,36.8201558,-3.8644103,36.8201452,-3.8643884,11.431,3.5,0,151.9276,0.01002906,1.189,50.03,14.6512,0.0002,17330.0,308921,0369m037,15174,DUP,36.82013492483152,-3.864417335141995,0.030501029,0.0,0.0,0.0,0.0,1.2496992,1.122918,1.0155537,1.0359771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,36.8199583,-3.8642222,231,2,02 27 16.79,-03 51 51.2,0.0,,19.546,19.6703,Simbad,0.9465492165878144
462.957,704.9731,149.9347087,13.708732,149.9347119,13.7087301,13.205,3.5,0,226.2065,0.03627338,2.065,76.89,13.9733,0.0003,7711.0,409481,1500p137,457,SER,149.9347241043711,13.70871987951296,0.026338406,440.68994,984.3049,1406.7401,1776.3269,1.3347943,1.257448,1.7155539,1.2142987,4.574067,292720.47,7.1248655,313010.38,0.28704855,27677584.0,-0.19932914,22575246.0,15.889668,15.017176,14.629465,14.376193,14.692816,15.257726,15.537846,14.551347,0.87249184,0.38771057,0.6409826,0.25327206,149.9348333,13.7077778,244,5,09 59 44.36,+13 42 28.0,0.052058,,19.9701,19.2205,Simbad,3.412921283025598
877.3694,740.1596,149.9036205,13.7112834,149.9036678,13.711295,8.765,3.5,0,40.02126,0.03627338,2.764,-37.76,15.7846,0.0008,2169.0,409480,1497p137,4308,SER,149.9037612235202,13.71136496080587,0.025945049,86.48531,141.08133,167.33144,207.5361,1.337229,1.2551278,1.7339696,1.2159688,1.0590134,128049.77,3.448343,623641.94,-0.16744766,3626500.2,0.58459854,8718726.0,17.657644,17.126326,16.941055,16.707266,16.513567,16.87946,14.572146,13.988288,0.53131866,0.18527031,0.41905975,0.23378944,149.904,13.7112778,244,1,09 59 36.96,+13 42 40.6,0.050515,,19.5266,18.6999,Simbad,0.8921027247130755
771.7104,726.7305,149.9118608,13.7104822,149.9115829,13.710317,11.296,3.5,0,12.23447,0.03608897,2.447,-24.51,16.3548,0.0017,1008.0,409480,1497p137,4506,SER,149.9117264671549,13.71039518209446,0.026080087,72.27271,99.164474,110.86964,119.96253,1.337229,1.2551278,1.702029,1.2159688,0.92472583,89627.02,4.25673,1230148.0,-0.27035767,1521415.2,0.38582647,5933242.5,17.852564,17.50911,17.387968,17.302385,17.880096,18.417765,16.062244,15.637623,0.34345436,0.12114143,0.20672417,0.08558273,149.911875,13.7104722,244,3,09 59 38.85,+13 42 37.7,0.0,,19.6086,18.8642,Simbad,0.5888438632907878
838.551,730.5345,149.9065421,13.7106282,149.9065757,13.7105943,2.812,4.65,0,1.03574,0.03623657,1.005,-55.43,21.5209,0.045,36.57,409480,1497p137,4308,SER,149.9037612235202,13.71136496080587,0.025945049,86.48531,141.08133,167.33144,207.5361,1.337229,1.2551278,1.7339696,1.2159688,1.0590134,128049.77,3.448343,623641.94,-0.16744766,3626500.2,0.58459854,8718726.0,17.657644,17.126326,16.941055,16.707266,16.513567,16.87946,14.572146,13.988288,0.53131866,0.18527031,0.41905975,0.23378944,149.904,13.7112778,244,1,09 59 36.96,+13 42 40.6,0.050515,,19.5266,18.6999,Simbad,0.8921027247130755
859.7456,560.0929,149.9049679,13.6982561,149.904987,13.6981901,7.568,3.5,0,17.50319,0.03597787,1.561,88.42,16.7724,0.0018,1047.0,409480,1497p137,4335,PSF,149.9049879222649,13.69516329811332,0.02594127,26.475939,60.542145,146.4267,213.01578,1.1510584,1.0376257,1.8555448,1.2632154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.942871,18.044855,17.085949,16.67897,17.116913,17.595703,,16.11166,0.898016,0.9589062,1.3658848,0.4069786,149.9052917,13.6957222,244,2,09 59 37.27,+13 41 44.6,0.0,,19.7312,19.4048,Simbad,2.2753576634191304
859.521,518.1749,149.9049676,13.6951267,149.9050035,13.6951394,2.512,3.5,0,136.1885,0.03623658,1.068,-84.85,16.4057,0.0007,4335.0,409480,1497p137,4335,PSF,149.9049879222649,13.69516329811332,0.02594127,26.475939,60.542145,146.4267,213.01578,1.1510584,1.0376257,1.8555448,1.2632154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.942871,18.044855,17.085949,16.67897,17.116913,17.595703,,16.11166,0.898016,0.9589062,1.3658848,0.4069786,149.9052917,13.6957222,244,2,09 59 37.27,+13 41 44.6,0.0,,19.7312,19.4048,Simbad,2.2753576634191304
963.9121,870.9211,3.5158083,-22.550809,3.5158152,-22.5508147,2.17,4.43,0,2.734314,0.08714128,1.096,43.4,20.8712,0.0474,35.73,204001,0036m225,5048,DUP,3.517442363826179,-22.55279722870329,0.023514405,0.0,0.0,0.0,0.0,1.1311003,1.0085224,1.178881,1.1192915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,3.5176667,-22.5526944,5,1,00 14 04.24,-22 33 09.7,0.0,,20.2563,20.0467,Simbad,0.8326629043915059
943.3052,843.5276,3.5174631,-22.552774,3.5174391,-22.5528084,7.449,3.59,0,52.50468,0.08714128,2.561,-34.34,16.0871,0.0025,805.8,204001,0036m225,5048,DUP,3.517442363826179,-22.55279722870329,0.023514405,0.0,0.0,0.0,0.0,1.1311003,1.0085224,1.178881,1.1192915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,3.5176667,-22.5526944,5,1,00 14 04.24,-22 33 09.7,0.0,,20.2563,20.0467,Simbad,0.8326629043915059
758.7816,703.3906,3.5320431,-22.5629621,3.5319815,-22.5630064,6.132,3.5,0,64.55231,0.08731893,1.402,-36.99,15.8957,0.0018,1166.0,204001,0036m225,392,SER,3.532034727735171,-22.56296366463138,0.023561489,107.21465,145.60776,161.22801,179.28297,1.1212379,1.0062685,1.1719503,1.1192915,1.6477715,41628.156,1.6330938,422903.34,0.040292587,1179929.2,0.14645553,2011099.2,17.424364,17.09204,16.9814,16.866152,17.541162,18.07087,17.443182,15.140906,0.33232498,0.11063957,0.2258873,0.11524773,3.53175,-22.5631111,5,2,00 14 07.62,-22 33 47.2,0.0,,19.9924,19.2451,Simbad,1.0852165375710736
662.6338,647.6278,3.5395307,-22.5668912,3.5395596,-22.5670638,9.222,6.53,3,3.249353,0.08731893,1.746,-80.45,18.5438,0.023,70.97,204001,0036m225,510,SER,3.538734996155598,-22.56840235617855,0.023713129,8.854833,10.446328,10.367599,10.789212,1.1212379,1.0062685,1.1507182,1.1192915,0.5,2376.794,2.2180028,4395.1807,0.081511475,19397.408,0.09739016,22123.959,20.13205,19.95259,19.960804,19.917526,20.74539,,19.718058,13.927919,0.17945862,-0.008213043,0.035064697,0.04327774,3.5389583,-22.568,5,3,00 14 09.35,-22 34 04.8,0.0,,20.1528,19.8885,Simbad,1.6276243705918474
673.1317,628.7036,3.538664,-22.5682741,3.5387324,-22.5684412,12.581,6.92,2,2.216068,0.08705231,1.73,-63.59,17.9908,0.0186,84.72,204001,0036m225,510,SER,3.538734996155598,-22.56840235617855,0.023713129,8.854833,10.446328,10.367599,10.789212,1.1212379,1.0062685,1.1507182,1.1192915,0.5,2376.794,2.2180028,4395.1807,0.081511475,19397.408,0.09739016,22123.959,20.13205,19.95259,19.960804,19.917526,20.74539,,19.718058,13.927919,0.17945862,-0.008213043,0.035064697,0.04327774,3.5389583,-22.568,5,3,00 14 09.35,-22 34 04.8,0.0,,20.1528,19.8885,Simbad,1.6276243705918474
697.6937,491.7265,230.4953968,3.5459496,230.4951275,3.5458569,6.418,3.5,2,42.22633,0.03605368,1.306,-15.91,15.6331,0.0009,3935.0,351446,2304p035,5748,SER,230.4942925098584,3.545583527374616,0.048095785,46.137794,68.04353,0.0,91.4733,1.5796742,1.4330697,0.0,1.4262034,0.9425405,53905.754,5.1989913,21600.98,0.14019972,531447.06,-0.2874639,897764.4,18.339857,17.918034,inf,17.596764,18.232737,19.194445,18.377314,14.394534,0.4218235,inf,0.32127,inf,230.494375,3.5454167,275,3,15 21 58.65,+03 32 43.5,0.0,,20.0102,19.8886,Simbad,0.6697352113654983
651.5848,682.6781,230.4984589,3.5597775,230.4984892,3.5597541,4.413,3.5,3,474.9552,0.03612718,1.101,40.01,14.2947,0.0002,16810.0,351446,2304p035,7946,DUP,230.4984891198247,3.55975626439335,0.047952753,0.0,0.0,0.0,0.0,1.5796742,1.3371679,0.0,1.4262034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,230.498125,3.5595556,275,4,15 21 59.55,+03 33 34.4,0.0839,,19.011,18.0621,Simbad,1.494491565150092
653.8933,754.5104,230.4983129,3.5649447,230.4983207,3.5649819,7.947,3.5,3,66.81557,0.03598003,1.129,71.06,15.2876,0.0006,3834.0,351446,2304p035,5881,REX,230.4983913571461,3.56497775861937,0.047858927,144.33972,246.06935,0.0,369.72476,1.5796742,1.3371679,0.0,1.4262034,1.0,0.0,1.8805563,2483376.8,0.0,0.0,0.0,0.0,17.101536,16.522356,inf,16.080303,16.089552,16.459066,13.842567,13.316305,0.57917976,inf,0.44205284,inf,230.4984167,3.5650833,275,5,15 21 59.62,+03 33 54.3,0.0839,,19.7079,18.6355,Simbad,0.3907079843132768
775.3507,631.3604,230.4893442,3.5560655,230.4894645,3.556019,5.912,3.5,0,31.42936,0.03616388,1.051,38.71,16.5255,0.0012,1692.0,351446,2304p035,5603,REX,230.4894316259802,3.556041984882012,0.047791705,52.506523,84.22463,0.0,117.84171,1.5796742,1.3565089,0.0,1.4262034,1.0,0.0,1.2841063,1140668.8,0.0,0.0,0.0,0.0,18.199467,17.686401,inf,17.321753,17.65366,18.132013,15.798207,14.944604,0.51306534,inf,0.36464882,inf,230.4894167,3.5561944,275,2,15 21 57.46,+03 33 22.3,0.0,,19.9405,19.8126,Simbad,0.5513091290477431
512.3248,758.0366,230.5085215,3.5651633,230.5086437,3.5652388,9.201,3.5,2,41.21386,0.03605368,1.577,-30.05,15.6311,0.0008,2486.0,351446,2304p035,6202,PSF,230.5090262939551,3.565289470827528,0.048119005,4.0365024,4.629535,0.0,2.3290594,1.5796742,1.3371679,0.0,1.4262034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.984987,20.836157,inf,21.582048,18.919931,18.863886,16.209595,12.612662,0.14883041,inf,-0.7458916,inf,230.508875,3.5654722,275,6,15 22 02.13,+03 33 55.7,0.085411,,19.7754,19.5434,Simbad,0.8533692724090883
823.4492,810.3484,230.4859165,3.5691654,230.4859567,3.5690452,9.08,3.5,2,41.39901,0.03616388,1.481,-59.29,15.544,0.0007,2690.0,351446,2304p035,5497,SER,230.4859506655617,3.56910841033321,0.047476187,125.44277,201.22777,0.0,294.0561,1.5796742,1.3565089,0.0,1.4262034,1.0927929,370650.12,2.6428883,831039.1,0.09002586,6317698.0,0.17264111,9307813.0,17.253885,16.74078,inf,16.328924,16.525301,16.927456,14.87265,13.978315,0.5131054,inf,0.4118557,inf,230.4860417,3.569,275,1,15 21 56.65,+03 34 08.4,0.085591,,19.7602,18.8499,Simbad,0.5092181115987487
546.0718,881.8088,326.18052,-20.0568028,326.180437,-20.0567439,8.377,3.5,0,10.03764,0.0281962,1.422,-7.79,17.2276,0.0024,788.8,218644,3261m200,2976,SER,326.1804879711482,-20.05676349393256,0.033979233,49.70118,0.0,84.78869,0.0,1.9265738,0.0,1.6839142,0.0,1.243593,6919.1426,2.3755794,29003.639,-0.1886001,234818.6,0.08559125,147320.39,18.259083,inf,17.679155,inf,18.06551,18.477993,16.464785,14.481513,inf,inf,,inf,326.18,-20.0568889,192,4,21 44 43.20,-20 03 24.8,0.0,,20.1444,19.2651,Simbad,1.7108004460440476
655.1487,544.3585,326.1719897,-20.0813267,326.1719782,-20.0813006,3.505,3.5,0,35.40998,0.02822484,1.046,-8.78,17.3763,0.0014,1630.0,218644,3261m200,2822,PSF,326.1719617463169,-20.08129263589422,0.033583023,77.93992,0.0,38.51524,0.0,1.9265738,0.0,1.6839142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7706,inf,18.53592,inf,21.105753,20.647907,17.902119,,inf,inf,,inf,326.172,-20.0813056,192,3,21 44 41.28,-20 04 52.7,0.0,,16.7661,17.0661,Simbad,0.1375038185542684
853.1537,497.6733,326.1566456,-20.0846694,326.1566337,-20.0846932,3.708,3.5,3,23.38239,0.02813883,1.083,7.19,17.7719,0.002,1071.0,218644,3261m200,2563,SER,326.1570554223741,-20.08604928511306,0.033544462,134.04836,0.0,375.59973,0.0,1.9265738,0.0,1.6839142,0.0,1.9292576,49626.664,3.6190736,61896.53,-0.18629281,1455355.1,0.028744182,778042.1,17.181847,inf,16.063187,inf,16.157316,16.61042,15.266254,,inf,inf,,inf,326.157,-20.086,192,1,21 44 37.68,-20 05 09.6,0.0,,19.783,19.1745,Simbad,0.2580569457374111
847.6862,479.1853,326.1570325,-20.0860523,326.1570568,-20.0860389,9.743,3.52,3,27.22942,0.02816753,1.511,-5.2,15.9951,0.0009,2104.0,218644,3261m200,2563,SER,326.1570554223741,-20.08604928511306,0.033544462,134.04836,0.0,375.59973,0.0,1.9265738,0.0,1.6839142,0.0,1.9292576,49626.664,3.6190736,61896.53,-0.18629281,1455355.1,0.028744182,778042.1,17.181847,inf,16.063187,inf,16.157316,16.61042,15.266254,,inf,inf,,inf,326.157,-20.086,192,1,21 44 37.68,-20 05 09.6,0.0,,19.783,19.1745,Simbad,0.2580569457374111
