brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
409003,0271p137,3986,SER,27.18947930893261,13.71669923697014,0.05580897,330.3353,503.54352,0.0,665.64703,1.6009893,1.5488137,0.0,1.4708109,1.8937149,503462.0,3.9421704,420294.62,0.023056332,9447306.0,0.032066032,11456827.0,16.202612,15.744907,inf,15.44189,15.892302,16.323284,14.378682,13.78292,0.45770454,inf,0.30301762,inf,27.18925,13.7167778,38,3,01 48 45.42,+13 43 00.4,0.04482,,18.0277,17.7645,Simbad,0.850379014148929
409003,0271p137,4053,SER,27.19234414037269,13.72650684187296,0.056262165,180.33551,290.48642,0.0,409.70367,1.6011028,1.4624246,0.0,1.4783189,1.1280683,250269.06,3.305203,1246796.6,-0.05578024,4212918.5,0.093722954,7022601.5,16.859797,16.342186,inf,15.968825,16.165224,16.5036,14.042886,11.980422,0.51761055,inf,0.37336063,inf,27.1923333,13.7265278,38,4,01 48 46.16,+13 43 35.5,0.063404,,19.1426,18.6771,Simbad,0.0844382363188162
409003,0271p137,3811,SER,27.18138553326402,13.68754653128461,0.054501202,76.34902,127.75607,0.0,183.40207,1.6927885,1.5433705,0.0,1.4202677,0.9063109,80078.52,5.042021,30991.734,-0.11304199,891265.7,-0.10142636,799118.7,17.792992,17.234047,inf,16.84149,17.594353,18.248384,19.063875,,0.5589447,inf,0.39255714,inf,27.1813333,13.6874444,38,1,01 48 43.52,+13 41 14.8,0.044701,,20.0119,19.7959,Simbad,0.4105633830522788
409003,0271p137,3875,SER,27.18433339919904,13.69942507557517,0.05502789,567.6677,1081.0908,0.0,1794.4487,1.6927885,1.5488137,0.0,1.4708109,5.061882,199921.11,13.8336,75316.79,-0.07689444,7183191.5,0.17170417,11375369.0,15.614764,14.915344,inf,14.365172,15.110683,15.373167,13.303244,13.615013,0.69942,inf,0.55017185,inf,27.18425,13.6996111,38,2,01 48 44.22,+13 41 58.6,0.044567,,18.6938,18.0365,Simbad,0.7304576009350875
189414,3380m255,5945,DUP,338.057883557289,-25.45337815863833,0.026153285,0.0,0.0,0.0,0.0,1.6099815,0.0,1.3552371,1.3196504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,338.058,-25.4531944,204,1,22 32 13.92,-25 27 11.5,0.0621,,19.0711,18.7746,Simbad,0.7621610897305232
189414,3380m255,4394,SER,338.077933941519,-25.44826101628676,0.026364917,90.93266,0.0,147.76482,165.23714,1.6802243,0.0,1.3754344,1.2713063,1.1405926,43736.79,6.6145587,14932.195,-0.57025015,1690216.5,0.020488052,817720.7,17.6032,inf,17.076073,16.954731,17.710657,18.224459,16.650751,16.127886,inf,inf,inf,0.12134171,338.078,-25.448,204,2,22 32 18.72,-25 26 52.8,0.0,,19.201,18.8873,Simbad,0.9638829150224316
189414,3380m255,5946,DUP,338.0910084246492,-25.42946471467037,0.026782347,0.0,0.0,0.0,0.0,1.6802243,0.0,1.3754344,1.2713063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,338.091,-25.4293889,204,3,22 32 21.84,-25 25 45.8,0.032159,,19.5445,18.8831,Simbad,0.2743037567502195
189414,3380m255,5005,SER,338.1124436370977,-25.42637314902058,0.026670478,686.57086,0.0,2121.4746,2831.5903,1.6787391,0.0,1.3768654,1.2713063,3.0409365,379937.38,9.860866,1540546.9,0.41284937,41302784.0,-0.27447692,21735850.0,15.408287,inf,14.183406,13.869924,14.029483,14.366267,12.687916,11.355684,inf,inf,inf,0.31348228,338.112,-25.4261111,204,4,22 32 26.88,-25 25 34.0,0.0363,,19.4009,18.8112,Simbad,1.7235046994540586
112777,0555m412,8183,PSF,55.61951174555693,-41.16989996658953,0.015968593,44.052433,52.704987,49.092915,47.83614,1.3826966,1.2771543,1.0934019,1.2449532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.390076,18.195372,18.272453,18.30061,17.342054,16.692055,15.92209,14.376433,0.19470406,-0.07708168,-0.10523796,-0.02815628,55.6192917,-41.17,60,3,03 42 28.63,-41 10 12.0,0.0,,19.9046,18.1355,Simbad,0.6966144853846179
112777,0555m412,7924,REX,55.61115773427836,-41.1554598853192,0.016171342,32.43085,43.751408,48.46455,52.455135,1.389776,1.2586563,1.0796129,1.2639811,1.0,0.0,1.9769858,239716.05,0.0,0.0,0.0,0.0,18.722605,18.39752,18.28644,18.20053,19.205925,19.426176,16.352234,11.847135,0.3250847,0.11108017,0.19699097,0.0859108,55.6107917,-41.1556944,60,1,03 42 26.59,-41 09 20.5,0.0,,20.0337,19.9131,Simbad,1.3027353258599532
