brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
427564,1532p170,3419,SER,153.2552584410947,17.03427513335899,0.032711726,2244.2239,4522.8677,6299.494,7810.573,1.4686866,1.4183481,1.1331551,1.4610384,1.1736141,12994491.0,10.472754,3274793.0,-0.18070143,191512930.0,-0.3254839,271201950.0,14.122334,13.361465,13.001736,12.768292,12.842527,13.094204,10.23709,9.326506,0.760869,0.35972977,0.593173,0.23344326,153.2554583,17.0343333,85,3,10 13 01.31,+17 02 03.6,0.022012,,17.6141,16.6857,Simbad,0.7190915903018754
427564,1532p170,3184,SER,153.2432671688487,17.03079459778517,0.03277961,356.0147,575.4132,726.9141,817.7861,1.4686866,1.4183481,1.1331551,1.3692614,0.7354686,1304233.8,9.173502,3950967.2,-0.16637948,34986316.0,-0.6709151,52636896.0,16.12133,15.60005,15.346292,15.218401,15.561134,15.980819,14.146175,13.46106,0.5212803,0.25375748,0.38164902,0.12789154,153.2437917,17.0309167,85,2,10 12 58.51,+17 01 51.3,0.022,,18.2807,17.7356,Simbad,1.8582426639363383
427564,1532p170,3824,SER,153.2742230933507,17.04376906687544,0.0326991,336.8621,557.28455,701.2296,784.7006,1.4584762,1.3492717,1.1541433,1.449935,1.6335583,344385.28,5.098087,278275.78,-0.35346082,15326322.0,-0.3001787,14145378.0,16.18137,15.634808,15.385349,15.26324,15.705492,16.215452,14.806058,13.646772,0.5465622,0.24945831,0.37156773,0.12210941,153.2743333,17.0439167,85,4,10 13 05.84,+17 02 38.1,0.022102,,19.1427,18.5246,Simbad,0.6529573332306606
427564,1532p170,3182,PSF,153.2431906392723,17.05667786687445,0.03343689,0.6210457,0.18948978,0.010829926,-0.3201251,1.4755582,1.4232033,1.2864758,1.4602741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.01719,24.306036,27.413437,,20.057991,22.311493,19.263657,14.579597,-1.2888451,-3.107401,,,153.2433333,17.05625,85,1,10 12 58.40,+17 03 22.5,0.06559,,19.5407,18.7946,Simbad,1.6166813720839777
513403,1559p335,2459,SER,155.9664835835643,33.40516276013409,0.024761,88.93052,155.69109,-9999.0,231.36163,1.792213,1.870479,-9999.0,1.14603,1.118156,58571.0,2.383057,174077.38,-0.139039,1592970.2,0.044335,892360.44,17.627373,17.01934,-9999.0,16.589272,16.65418,16.973476,14.626055,14.712378,0.608032,-9999.0,0.430069,-9999.0,155.9666667,33.4050556,88,4,10 23 52.00,+33 24 18.2,0.124611,,19.6482,19.3337,Simbad,0.672064343632939
513403,1559p335,1989,REX,155.93016937439643,33.42009694413524,0.025512,19.658443,27.13531,-9999.0,32.761658,1.68631,1.690757,-9999.0,1.071223,1.0,0.0,2.196197,8667.887,0.0,0.0,0.0,0.0,19.266127,18.916162,-9999.0,18.711586,19.537018,19.613861,19.7203,,0.349964,-9999.0,0.204576,-9999.0,155.9302917,33.4204444,88,1,10 23 43.27,+33 25 13.6,0.0,,20.2554,20.4262,Simbad,1.303726335944759
513403,1559p335,2170,SER,155.94277343085915,33.41409223936866,0.025336,91.49426,159.93892,-9999.0,247.64578,1.792213,1.870479,-9999.0,1.071223,2.109301,17128.057,1.558115,248156.69,0.047503,685314.5,-0.116376,1038781.75,17.596516,16.990114,-9999.0,16.515423,16.426134,16.663132,14.230993,13.359318,0.606401,-9999.0,0.474691,-9999.0,155.9427083,33.4139444,88,3,10 23 46.25,+33 24 50.2,0.115493,,19.9797,19.3224,Simbad,0.5670668046207087
513403,1559p335,2080,SER,155.93727781519456,33.41405137073238,0.025377,67.106766,116.96979,-9999.0,175.8001,1.793648,1.690757,-9999.0,1.071223,1.716074,16063.792,1.4437,417234.84,-0.097199,814465.5,0.085907,797604.75,17.933084,17.329815,-9999.0,16.887453,16.940952,17.288929,15.275942,15.33075,0.60327,-9999.0,0.442362,-9999.0,155.9374583,33.4140833,88,2,10 23 44.99,+33 24 50.7,0.11571,,19.9572,19.8367,Simbad,0.5543975613093235
502436,1570p312,1181,EXP,157.0207094719814,31.19713507979533,0.018813742,18.472002,25.101538,0.0,30.081516,1.677877,1.7023808,0.0,1.317152,1.0,0.0,1.1842483,79253.86,-0.1354678,91395.555,0.19759254,130621.76,19.333715,19.00075,inf,18.80425,19.040762,19.329996,16.765892,,0.33296585,inf,0.19649887,inf,157.02075,31.1970833,89,2,10 28 04.98,+31 11 49.5,0.0,,20.3297,20.0245,Simbad,0.2243284577969584
502436,1570p312,1349,DEV,157.0303310450496,31.22960425904854,0.019521337,17.372435,31.989744,0.0,50.27626,1.7996451,1.7117981,0.0,1.2474418,4.0,0.0,0.6182629,149527.36,0.24942987,110156.48,-0.07275422,84177.836,19.400349,18.737473,inf,18.246593,17.35881,17.061693,15.703731,14.284614,0.6628761,inf,0.49087906,inf,157.0305417,31.2297222,89,3,10 28 07.33,+31 13 47.0,0.240906,,19.448,20.0023,Simbad,0.7751039548753462
502436,1570p312,1418,SER,157.034626533431,31.20686057030345,0.018932596,86.24265,112.42883,0.0,129.70026,1.677877,1.7023808,0.0,1.317152,1.1416006,58750.43,3.2108746,103319.87,-0.058729783,1119615.8,0.40711915,2065098.2,17.660694,17.372807,inf,17.217648,17.911367,18.478796,20.22461,14.190278,0.28788757,inf,0.155159,inf,157.0344583,31.2068056,89,4,10 28 08.27,+31 12 24.5,0.044971,,19.636,19.0203,Simbad,0.5545192261281428
502436,1570p312,1180,SER,157.0206666929759,31.23020816330698,0.019625831,84.1319,118.71217,0.0,140.11023,1.7996451,1.7117981,0.0,1.3187927,0.5,162910.77,5.7134366,41428.305,0.50330794,3351350.0,0.3192879,2497333.5,17.6876,17.313763,inf,17.133825,17.695808,18.22759,16.910822,16.234932,0.37383652,inf,0.17993736,inf,157.0207083,31.2303889,89,1,10 28 04.97,+31 13 49.4,0.0,,19.2632,18.8696,Simbad,0.6631384601845359
466717,1601p242,1250,SER,160.0979346994472,24.218117062578,0.022866905,4.0198402,3.7895525,3.8339002,2.9054518,1.7820603,1.5897508,1.2728547,1.3225703,0.5,107.80183,0.89477986,2986.5938,0.3340434,1415.6322,-0.29591295,1275.2865,20.989477,21.05353,21.040897,21.341967,19.811495,19.358421,,15.459535,-0.06405258,0.01263237,-0.2884369,-0.30106926,160.097625,24.21825,90,1,10 40 23.43,+24 13 05.7,0.111183,,19.8978,19.2629,Simbad,1.1237899716160948
466717,1601p242,1365,SER,160.105463817595,24.22891625645232,0.022847438,79.678444,121.90751,140.67296,159.01591,1.7015617,1.4559754,1.2728547,1.2772064,4.1683416,5934.52,1.9896597,115474.63,0.05922233,539802.5,-0.10511121,707378.25,17.746649,17.284924,17.129473,16.996399,17.446783,17.937265,16.937447,14.578086,0.46172523,0.15545082,0.28852463,0.1330738,160.1055417,24.22875,90,3,10 40 25.33,+24 13 43.5,0.04348,,20.0607,19.7605,Simbad,0.6508471166768318
466717,1601p242,1268,SER,160.0996401426918,24.23677740509459,0.022828387,44.96086,66.099556,85.1877,91.28902,1.8653785,1.5814921,1.2728547,1.3057737,0.6573534,26316.191,3.0701413,31356.9,0.18436612,316390.56,0.38259485,494675.8,18.367914,17.949503,17.674057,17.598953,17.823175,18.249191,16.263609,13.745923,0.41841125,0.27544594,0.3505497,0.07510376,160.0996667,24.2369167,90,2,10 40 23.92,+24 14 12.9,0.0,,19.9081,19.713,Simbad,0.5089833117532476
466717,1601p242,1627,SER,160.1178137831449,24.23412248992252,0.022839496,484.74585,877.98456,1195.2549,1455.1956,1.7110299,1.3692263,1.1850859,1.2176554,3.3354213,185785.16,14.100687,242671.47,0.39368367,13486055.0,-0.40723294,12747239.0,15.786215,15.141283,14.806349,14.592696,14.819281,15.226512,13.352767,12.612122,0.6449318,0.33493423,0.54858685,0.21365261,160.118,24.2342778,90,4,10 40 28.32,+24 14 03.4,0.043596,,18.1698,17.7702,Simbad,0.828434099480864
346852,1611p027,1837,SER,161.0837845321902,2.805499092512202,0.037757788,163.69461,238.5676,306.96606,353.33636,1.6405295,1.2663321,1.5940684,1.1883435,6.0,5228.1323,0.8918033,1583280.4,0.0033641332,2479337.8,0.014383497,3326212.5,16.964914,16.555971,16.282274,16.12953,14.146346,13.663984,12.132102,10.447442,0.40894318,0.2736969,0.4264412,0.1527443,161.0840833,2.8059167,91,3,10 44 20.18,+02 48 21.3,0.101,,18.9757,18.346,Simbad,1.8477658632441023
346852,1611p027,1951,SER,161.0886590441903,2.793372537284227,0.037751343,512.48267,1050.6989,1549.0005,1994.16,1.6405295,1.2663321,1.5940684,1.1883435,0.9159134,3012363.8,11.263324,277985.47,-0.22520585,88946944.0,-0.6440371,146392540.0,15.725802,14.946304,14.524871,14.2506,14.079074,14.443084,12.443726,11.845937,0.7794981,0.42143345,0.69570446,0.274271,161.0893333,2.7936389,91,4,10 44 21.44,+02 47 37.1,0.021862,,18.4175,18.0141,Simbad,2.607180928896081
346852,1611p027,5456,DUP,161.074430010559,2.801448483886973,0.037762705,0.0,0.0,0.0,0.0,1.6405295,1.2663321,1.5940684,1.1883435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,161.0745417,2.8017222,91,2,10 44 17.89,+02 48 06.2,0.02192,,19.1449,18.6069,Simbad,1.064074016031924
