X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
430.9527,765.6969,16.8474007,-32.8290287,16.8474048,-32.8290508,8.133,3.5,0,319.7858,0.0278081,1.938,-73.95,13.7993,0.0001,18870.0,151766,0167m327,7828,SER,16.84741713183292,-32.8290673708472,0.028982436,414.1549,920.47723,1297.2289,1622.3225,1.373282,1.2616813,1.158947,1.0554078,1.5113742,4127151.8,3.0896199,5022205.0,0.37618887,133092096.0,0.22846216,113639320.0,15.957093,15.089968,14.717459,14.474657,14.970778,15.49166,15.527465,,0.8671255,0.372509,0.61531067,0.24280167,16.8474167,-32.8291111,26,4,01 07 23.38,-32 49 44.8,0.035811,,19.5974,18.7922,Simbad,0.1574303699103669
597.8245,728.4967,16.8329356,-32.8317906,16.8329509,-32.8317545,12.645,3.5,0,89.86029,0.0278938,3.047,-41.65,14.4799,0.0003,6602.0,151766,0167m327,9564,DUP,16.83293887916162,-32.8317691155815,0.029134303,0.0,0.0,0.0,0.0,1.373282,1.2616813,1.158947,1.0554078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,16.8327917,-32.8316944,26,3,01 07 19.87,-32 49 54.1,0.035194,,19.3174,18.4741,Simbad,0.5201547326875124
946.8118,675.7816,16.8027048,-32.8356348,16.8027211,-32.835578,15.13,3.56,0,12.28571,0.02797923,1.088,-60.31,16.1499,0.0015,1209.0,151766,0167m327,6445,REX,16.80270840320432,-32.83567747715625,0.029552748,73.49026,117.93108,143.41069,163.30852,1.373282,1.2616813,1.158947,1.0554078,1.0,0.0,3.9109726,137954.42,0.0,0.0,0.0,0.0,17.834425,17.320929,17.108545,16.967478,17.419529,18.017485,18.834425,,0.5134964,0.21238327,0.35345078,0.1410675,16.8027083,-32.8356111,26,1,01 07 12.65,-32 50 08.2,0.0643,,19.734,19.2631,Simbad,0.238957966410072
772.6604,578.2374,16.8180316,-32.8427018,16.8178012,-32.8426844,14.104,4.13,0,3.956573,0.02800765,1.279,0.39,17.2807,0.0041,451.8,151766,0167m327,6928,EXP,16.81804207117206,-32.8427817921172,0.029327404,25.418844,33.354465,36.752907,39.609005,1.355775,1.232342,1.1533581,1.0554078,1.0,0.0,3.6908345,25825.373,-0.16000912,431265.97,0.12021231,354179.22,18.98711,18.692116,18.586771,18.505516,20.840569,19.185719,,11.086848,0.29499435,0.10534477,0.18659973,0.08125496,16.8177917,-32.8426111,26,2,01 07 16.27,-32 50 33.4,0.0638,,20.0433,19.8393,Simbad,0.97522120075189
663.2053,796.0009,30.9645787,-31.14397,30.9647313,-31.1437516,11.19,3.5,0,48.28455,0.02397233,1.744,-67.47,14.823,0.0003,6338.0,159150,0310m312,1498,SER,30.96466705372731,-31.14377393611345,0.022625748,280.76392,380.8115,421.0894,471.58167,1.369367,1.1200596,0.96734303,1.205984,0.6996461,2717249.2,3.8686197,1533700.5,0.272415,35801016.0,0.2492863,34993412.0,16.379147,16.048225,15.939064,15.816108,16.357124,16.894632,15.20279,13.930923,0.33092117,0.10916138,0.23211765,0.12295628,30.9649167,-31.1436944,40,3,02 03 51.58,-31 08 37.3,0.0289,,17.5967,17.2655,Simbad,0.8207596918533271
735.9047,750.858,30.9586264,-31.1468087,30.9585495,-31.1470373,8.962,3.5,0,19.02177,0.02389868,1.954,-83.92,16.3378,0.0009,1987.0,159150,0310m312,1257,SER,30.95856931662525,-31.14696311824521,0.022556743,74.313484,95.47202,102.53385,111.74088,1.372416,1.1321269,0.96734303,1.1827521,0.5,518127.3,3.0986004,453803.7,0.49010858,9417435.0,0.17884386,5950638.0,17.82233,17.55031,17.472832,17.379469,18.061316,17.817305,18.410275,,0.27202034,0.07747841,0.17084122,0.09336281,30.9584167,-31.1471111,40,2,02 03 50.02,-31 08 49.6,0.0,,18.7238,18.6343,Simbad,0.7105701053086684
496.9714,633.1696,30.9789522,-31.1555399,30.9788696,-31.1556004,7.754,3.5,2,27.46896,0.02407018,2.26,-0.23,16.3287,0.0009,2253.0,159150,0310m312,1972,SER,30.97886528617959,-31.15557516968853,0.022416946,56.85218,88.91487,109.35854,118.29782,1.372416,1.1321269,0.9668255,1.1637511,0.6841879,306459.88,2.5427797,506905.5,-0.53535676,7244163.0,0.043473765,4490641.5,18.113132,17.627563,17.402868,17.317558,17.238876,17.60081,15.028274,12.674983,0.485569,0.2246952,0.3100052,0.08530998,30.9789167,-31.1556111,40,4,02 03 54.94,-31 09 20.2,0.0665,,19.9221,19.6045,Simbad,0.204498587480468
858.4365,564.7869,30.9479107,-31.1607818,30.9481288,-31.160579,9.057,3.5,2,28.73653,0.02404575,2.008,-28.37,15.8385,0.0007,3167.0,159150,0310m312,878,SER,30.9478588830863,-31.16082085071439,0.022319773,65.94136,120.37162,158.22469,194.25854,1.372416,1.1321269,0.9593555,1.1696465,2.3856077,59336.074,2.0095134,569137.6,-0.38262308,4623757.5,0.1968056,3714652.8,17.952105,17.298689,17.001814,16.779049,16.902626,17.226221,15.276324,13.736371,0.6534157,0.296875,0.51963997,0.22276497,30.9485,-31.1603056,40,1,02 03 47.64,-31 09 37.1,0.0,,19.816,19.3727,Simbad,2.7094965823774038
485.8423,862.1399,73.3813472,-36.2407109,73.3813614,-36.2407007,15.865,3.5,0,62.91673,0.02578646,1.461,-69.11,15.3035,0.0008,2751.0,135321,0734m362,12694,DUP,73.38137624380975,-36.24073564478677,0.009605601,0.0,0.0,0.0,0.0,1.4060713,1.1777216,1.1307229,1.1526495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,73.381,-36.2401111,68,4,04 53 31.44,-36 14 24.4,0.0,,19.6429,19.4577,Simbad,2.4997128880403774
889.4496,775.8178,73.3449864,-36.2469892,73.3449458,-36.2470024,10.114,4.04,2,9.858406,0.0258126,1.689,25.19,17.2876,0.003,664.6,135321,0734m362,1826,SER,73.34498265667271,-36.24702057351266,0.009709291,34.541126,52.289837,61.754627,68.529884,1.3849535,1.1570665,1.113414,1.1147665,2.4493582,27814.994,4.4386387,30264.41,-0.08225331,500971.0,-0.22356422,930698.4,18.65416,18.203957,18.023327,17.9103,19.028727,19.208858,,13.474765,0.45020294,0.18062973,0.2936573,0.11302757,73.3445,-36.2468056,68,1,04 53 22.68,-36 14 48.5,0.0,,20.0759,20.155,Simbad,1.6008068760531868
