X_IMAGE,Y_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,ALPHA_SKY,DELTA_SKY,FLUX_RADIUS,KRON_RADIUS,FLAGS,FLUX_APER,FLUXERR_APER,ELONGATION,THETA_IMAGE,MAG_AUTO,MAGERR_AUTO,SNR_WIN,brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
1020.2943,491.2463,338.0578847,-25.4533549,338.0579415,-25.4534098,17.35,3.69,0,88.94218,0.06581485,1.771,1.63,14.5889,0.001,1908.0,189414,3380m255,5945,DUP,338.057883557289,-25.45337815863833,0.026153285,0.0,0.0,0.0,0.0,1.6099815,0.0,1.3552371,1.3196504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,338.058,-25.4531944,204,1,22 32 13.92,-25 27 11.5,0.0621,,19.0711,18.7746,Simbad,0.7621610897305232
771.6749,562.4661,338.0778756,-25.4482678,338.0779825,-25.4482339,13.867,3.5,0,15.2742,0.06581485,3.123,-0.64,16.1337,0.0028,549.0,189414,3380m255,4394,SER,338.077933941519,-25.44826101628676,0.026364917,90.93266,0.0,147.76482,165.23714,1.6802243,0.0,1.3754344,1.2713063,1.1405926,43736.79,6.6145587,14932.195,-0.57025015,1690216.5,0.020488052,817720.7,17.6032,inf,17.076073,16.954731,17.710657,18.224459,16.650751,16.127886,inf,inf,inf,0.12134171,338.078,-25.448,204,2,22 32 18.72,-25 26 52.8,0.0,,19.201,18.8873,Simbad,0.9638829150224316
609.4369,819.5508,338.0910179,-25.4294945,338.0910633,-25.4295272,19.926,3.5,2,76.48188,0.06621821,1.127,23.94,13.9832,0.0007,2881.0,189414,3380m255,5946,DUP,338.0910084246492,-25.42946471467037,0.026782347,0.0,0.0,0.0,0.0,1.6802243,0.0,1.3754344,1.2713063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,338.091,-25.4293889,204,3,22 32 21.84,-25 25 45.8,0.032159,,19.5445,18.8831,Simbad,0.2743037567502195
343.9566,863.1721,338.1124538,-25.4263679,338.1124573,-25.4263554,17.649,3.5,2,238.7911,0.06615116,1.891,72.13,13.3757,0.0004,5627.0,189414,3380m255,5005,SER,338.1124436370977,-25.42637314902058,0.026670478,686.57086,0.0,2121.4746,2831.5903,1.6787391,0.0,1.3768654,1.2713063,3.0409365,379937.38,9.860866,1540546.9,0.41284937,41302784.0,-0.27447692,21735850.0,15.408287,inf,14.183406,13.869924,14.029483,14.366267,12.687916,11.355684,inf,inf,inf,0.31348228,338.112,-25.4261111,204,4,22 32 26.88,-25 25 34.0,0.0363,,19.4009,18.8112,Simbad,1.7235046994540586
697.9478,759.2033,168.632971,-0.8471317,168.6330476,-0.847117,8.973,3.5,0,107.9034,0.04571849,2.282,-30.49,14.8532,0.0006,3977.0,326722,1686m007,5607,DUP,168.6329932854441,-0.8471000904260012,0.041349933,0.0,0.0,0.0,0.0,1.3744202,1.3353752,1.0344094,1.2303872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,,,,,168.6330833,-0.8470556,273,3,11 14 31.94,-00 50 49.4,0.068843,,19.4781,18.7316,Simbad,0.3614415665500739
957.058,718.5665,168.6144106,-0.8500429,168.6141881,-0.8500744,13.706,3.85,3,10.9421,0.04571849,1.936,-9.12,16.4855,0.003,595.7,326722,1686m007,2632,SER,168.6142807388433,-0.85006471540606,0.04003812,102.07505,140.43492,168.65225,174.77542,1.3744202,1.344262,1.0344094,1.2102443,1.9375174,57009.266,9.488462,7318.465,-0.45140037,1189008.1,-0.018090831,481427.0,17.477701,17.131311,16.93252,16.893799,17.696766,18.22084,16.671509,,0.34638977,0.1987915,0.23751259,0.038721085,168.6144167,-0.8500278,273,2,11 14 27.46,-00 51 00.1,0.06907,,19.4818,19.1495,Simbad,0.5071289065651596
308.1687,655.5114,168.6612847,-0.8554282,168.661418,-0.8546633,23.529,4.17,3,5.88349,0.04562566,2.023,-64.3,15.4485,0.002,888.6,326722,1686m007,3696,PSF,168.6615422027588,-0.8539263460750668,0.043036044,0.38856617,0.42354268,0.4866102,0.28310165,1.2621216,1.3353752,1.0344094,1.1944529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.526337,23.432756,23.282047,23.870144,,23.655022,,,0.093580246,0.15070915,-0.43738747,-0.5880966,168.6619583,-0.8538611,273,6,11 14 38.87,-00 51 13.9,0.0,,19.035,18.6909,Simbad,1.516089522581006
575.9766,523.9658,168.6418509,-0.8642345,168.6419254,-0.864237,13.828,3.7,0,18.08159,0.04562566,1.19,-49.5,16.1096,0.0022,851.7,326722,1686m007,3298,SER,168.6418172276092,-0.8642468454693131,0.040802598,118.12833,173.99768,204.37798,226.1611,1.2621216,1.2745372,1.0344094,1.1944529,2.5803976,34157.59,6.3415327,15161.364,-0.07361628,759264.9,0.05433997,646639.3,17.319115,16.898642,16.723915,16.613955,17.288717,17.86225,15.099572,14.334778,0.4204731,0.17472649,0.28468704,0.10996056,168.6420833,-0.8643056,273,4,11 14 34.10,-00 51 51.5,0.0691,,19.4944,19.1749,Simbad,0.9808299237108232
501.8629,477.6601,168.6472371,-0.8675822,168.6473199,-0.867607,7.841,3.5,0,40.00443,0.0456721,1.961,-15.72,15.9696,0.0013,1627.0,326722,1686m007,3416,SER,168.6477687319171,-0.8678292086364374,0.04094188,1.9424065,2.4364119,2.4546669,2.377462,1.2621216,1.2745372,1.0344094,1.1944529,0.5,37.30143,0.4399169,4201.4937,0.5348543,275.61166,0.1764331,417.72116,21.77915,21.533123,21.525019,21.559715,21.123346,21.944735,,16.308256,0.246027,0.008104324,-0.026592255,-0.03469658,168.6475417,-0.8678056,273,5,11 14 35.41,-00 52 04.1,0.069293,,19.6415,18.8591,Simbad,0.8216288086615432
1100.0812,981.9183,168.603784,-0.8308295,168.6037781,-0.8309082,16.26,3.58,0,9.123372,0.04557917,1.653,7.06,16.2208,0.0026,640.6,326722,1686m007,2431,SER,168.6037850872668,-0.8308699168587196,0.04062133,75.51507,123.22215,153.18103,168.47667,1.3744202,1.3325249,1.0344094,1.2297646,1.1694452,72437.14,5.8842936,120041.22,-0.21407518,592497.8,-0.10459632,518670.47,17.804916,17.273277,17.036987,16.933651,17.668898,18.176395,,,0.5316391,0.23628998,0.3396263,0.10333633,168.603875,-0.83075,273,1,11 14 24.93,-00 49 50.7,0.027858,,20.0241,19.7505,Simbad,0.5395516487063549
647.7863,941.6572,24.8188706,-74.4044092,24.8189284,-74.4044342,2.489,3.5,0,25.07951,0.02482445,1.129,32.51,18.2609,0.0023,1166.0,12084,0245m745,22301,PSF,24.81882682877592,-74.40443167893253,0.046637893,22.727072,17.121006,13.268688,11.105831,1.2792614,1.1190459,1.1209418,1.1650362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.10864,19.416178,19.69293,19.886122,23.735962,,18.409887,,-0.30753708,-0.27675247,-0.469944,-0.19319153,24.8185,-74.40425,267,4,01 39 16.44,-74 24 15.3,0.0,,19.6521,19.4951,Simbad,0.7265208892369769
530.1285,757.2844,24.8505357,-74.4178767,24.8507718,-74.417856,2.702,3.5,2,76.64452,0.0246985,1.51,21.96,16.9392,0.001,3629.0,12084,0245m745,23232,PSF,24.85063778120402,-74.41789751720329,0.047269255,73.41105,53.992115,41.678852,35.35066,1.2792614,1.1190459,1.1209418,1.1650362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.835596,18.169174,18.45021,18.629005,20.913204,20.74035,18.272089,,-0.3335781,-0.28103638,-0.45983124,-0.17879486,24.8497917,-74.4178889,267,5,01 39 23.95,-74 25 04.4,0.0,,17.8111,17.807,Simbad,0.8187724983553625
920.3641,706.037,24.7451165,-74.4215591,24.7450178,-74.4215563,2.426,3.5,0,53.88939,0.02477414,1.018,-70.76,17.4573,0.0011,2488.0,12084,0245m745,20128,PSF,24.74497644893389,-74.42157077316132,0.048382558,47.962658,36.50951,28.84019,24.674988,1.2792614,1.1190459,1.1209418,1.1650362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.297743,18.593985,18.850004,19.019358,21.856153,22.54314,,13.849093,-0.29624176,-0.2560196,-0.42537308,-0.16935349,24.74425,-74.4215278,267,1,01 38 58.62,-74 25 17.5,0.0,,18.3288,18.4053,Simbad,0.7191724812392171
785.1281,675.2621,24.7816898,-74.423831,24.7816552,-74.4238119,2.407,3.5,0,61.23246,0.02467323,1.01,67.69,17.3249,0.001,2838.0,12084,0245m745,21187,PSF,24.78162845902336,-74.42382203802315,0.048216704,55.49127,41.60239,32.544018,27.844597,1.2792614,1.1190459,1.1209418,1.1650362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.139439,18.452204,18.718822,18.888147,21.35139,22.687222,,15.452609,-0.31276512,-0.26661873,-0.4359436,-0.16932487,24.7809583,-74.42375,267,2,01 39 07.43,-74 25 25.5,0.0,,18.3318,18.3232,Simbad,0.6978046558490396
755.6147,577.2079,24.7897901,-74.4308931,24.7896232,-74.4309507,2.69,3.5,0,133.5881,0.02477414,1.125,-66.64,16.3371,0.0004,6274.0,12084,0245m745,21426,PSF,24.78964792364475,-74.43093393642687,0.048609253,134.33685,103.80556,82.25506,68.72323,1.2725607,1.1147348,1.1209418,1.1650362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.179512,17.459448,17.712093,17.907242,19.997135,20.487799,18.075014,14.306886,-0.27993584,-0.2526455,-0.44779396,-0.19514847,24.7887917,-74.4308889,267,3,01 39 09.31,-74 25 51.2,0.0,,17.3254,17.219,Simbad,0.843054903823731
470.5447,462.374,24.8668017,-74.4393461,24.8669252,-74.4393189,2.42,3.5,2,43.88129,0.02477414,1.196,52.27,17.6827,0.0015,2030.0,12084,0245m745,23755,PSF,24.86689381302547,-74.43932805151752,0.048527636,38.293568,29.372446,23.28786,19.88955,1.2694064,1.1150236,1.1182013,1.0886787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.542185,18.83015,19.082176,19.253437,20.846571,,18.79964,,-0.28796577,-0.2520256,-0.42328644,-0.17126083,24.8660417,-74.4391667,267,6,01 39 27.85,-74 26 21.0,0.0,,19.0896,18.8906,Simbad,1.0072714502857318
895.4723,367.4979,328.8531251,-20.8861609,328.8530883,-20.8861975,2.502,3.5,0,15.82688,0.02395167,1.03,-85.3,18.746,0.0033,763.7,213247,3288m210,2550,PSF,328.8530884620597,-20.88619623527599,0.033870846,0.0,0.0,33.301136,0.0,0.0,0.0,1.3595719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,18.693851,inf,17.892159,17.057093,15.533939,14.442709,,inf,,inf,328.853,-20.8862222,276,2,21 55 24.72,-20 53 10.4,0.38,,20.0664,19.2073,Simbad,0.3118743943679278
243.3048,809.2397,328.9038271,-20.8540617,328.9038812,-20.8540443,8.387,3.5,0,15.68025,0.02392717,2.075,-59.19,16.8593,0.0014,1285.0,214595,3288m207,2411,SER,328.9038683033697,-20.85403993774344,0.03316886,66.48578,0.0,122.30838,0.0,1.7545332,0.0,1.687996,0.0,1.4372108,7406.1035,2.9192312,77841.05,0.18456328,443434.2,0.43416,674894.1,17.943178,inf,17.281359,inf,17.46428,17.910908,16.190744,,inf,inf,,inf,328.9036667,-20.8541389,276,6,21 55 36.88,-20 51 14.9,0.0,,19.8348,19.709,Simbad,0.7661042624962778
820.3069,784.5625,328.8589683,-20.8558129,328.8589444,-20.8558447,15.955,3.5,2,21.9118,0.02397615,1.323,-39.97,15.4101,0.0007,2666.0,214595,3288m207,1830,SER,328.8589989285007,-20.85580020252738,0.033078328,217.93271,0.0,509.29468,0.0,1.7617508,0.0,1.542506,0.0,1.1826042,134065.97,5.2786756,57487.164,0.10510767,1573302.8,0.21060522,2563439.8,16.654194,inf,15.732577,inf,15.740804,16.20933,14.419052,13.91488,inf,inf,,inf,328.8585,-20.8563333,276,3,21 55 26.04,-20 51 22.8,0.0,,18.8517,18.2243,Simbad,2.549578848462809
514.7668,739.2805,328.8828002,-20.8591597,328.8827405,-20.8591393,8.167,3.5,0,130.449,0.0240006,1.184,-10.81,15.0704,0.0004,6806.0,214595,3288m207,2142,PSF,328.8827741996102,-20.85914464997819,0.033275463,0.0,0.0,342.75043,0.0,0.0,0.0,1.3443971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,16.162556,inf,15.262009,15.108376,13.803448,12.026785,,inf,,inf,328.8825833,-20.8591667,276,5,21 55 31.82,-20 51 33.0,0.066913,,17.8721,17.6667,Simbad,0.6470833576028793
