Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
3,3,2985,201.879549488,0.739126064,EXP,0.89628124496353,342.6432,0.0272,344.4836,0.0216,28.7471,0.0726,17.1758,0.0024,0.8267,0.0032,0.7809,0.0010,75.6031,0.2677,342.6432,0.0272,344.4836,0.0216,28.4450,0.0478,16.7448,0.0019,0.8934,0.0019,0.7809,0.0010,75.6031,0.2677,342.6432,0.0272,344.4836,0.0216,28.1567,0.0670,16.5889,0.0023,0.9569,0.0028,0.7809,0.0010,75.6031,0.2677,342.6432,0.0272,344.4836,0.0216,27.8446,0.1115,16.4979,0.0041,1.0258,0.0050,0.7809,0.0010,75.6031,0.2677
4,4,5529,15.663385389,-9.143663001,EXP,0.343517400831095,342.9545,0.0184,344.4221,0.0191,24.8433,0.0726,17.8557,0.0027,0.9265,0.0037,0.8997,0.0015,-44.2134,0.7185,342.9545,0.0184,344.4221,0.0191,24.2529,0.0486,17.5132,0.0024,0.9471,0.0024,0.8997,0.0015,-44.2134,0.7185,342.9545,0.0184,344.4221,0.0191,23.6896,0.0678,17.4066,0.0028,0.9667,0.0036,0.8997,0.0015,-44.2134,0.7185,342.9545,0.0184,344.4221,0.0191,23.0798,0.1118,17.3569,0.0050,0.9880,0.0061,0.8997,0.0015,-44.2134,0.7185
5,5,5670,205.951233885,1.372377402,EXP,0.396124539832107,344.9315,0.0208,343.3506,0.0049,36.8885,0.0559,17.1433,0.0013,0.9171,0.0023,0.1976,0.0002,78.5132,0.0177,344.9315,0.0208,343.3506,0.0049,35.9830,0.0413,16.6977,0.0013,0.9759,0.0015,0.1976,0.0002,78.5132,0.0177,344.9315,0.0208,343.3506,0.0049,35.1191,0.0629,16.5306,0.0018,1.0320,0.0026,0.1976,0.0002,78.5132,0.0177,344.9315,0.0208,343.3506,0.0049,34.1840,0.1018,16.4441,0.0029,1.0927,0.0044,0.1976,0.0002,78.5132,0.0177
6,6,1293,139.586699558,6.510212867,SER,0.323154907238374,343.9169,0.0058,344.2324,0.0044,14.2283,0.0909,17.7290,0.0041,2.6901,0.0163,0.6582,0.0013,65.4741,0.1608,343.9169,0.0058,344.2324,0.0044,13.1739,0.0568,17.4166,0.0029,2.4061,0.0098,0.6582,0.0013,65.4741,0.1608,343.9169,0.0058,344.2324,0.0044,12.1677,0.0497,17.2885,0.0029,2.1351,0.0086,0.6582,0.0013,65.4741,0.1608,343.9169,0.0058,344.2324,0.0044,11.0786,0.0782,17.2673,0.0052,1.8418,0.0143,0.6582,0.0013,65.4741,0.1608
7,7,5883,48.396147737,-8.0023411,SER,0.53856088971423,344.1668,0.0082,344.3460,0.0103,17.0044,0.0385,18.2406,0.0018,1.1095,0.0040,0.3663,0.0004,38.2361,0.0524,344.1668,0.0082,344.3460,0.0103,16.5992,0.0253,17.7982,0.0015,1.1074,0.0025,0.3663,0.0004,38.2361,0.0524,344.1668,0.0082,344.3460,0.0103,16.2125,0.0342,17.6005,0.0032,1.1054,0.0035,0.3663,0.0004,38.2361,0.0524,344.1668,0.0082,344.3460,0.0103,15.7940,0.0567,17.5241,0.0030,1.1033,0.0059,0.3663,0.0004,38.2361,0.0524
8,8,4345,146.037899914,5.936883936,SER,0.324556587489627,343.2939,0.0192,343.6297,0.0230,29.0716,0.0699,17.5902,0.0022,0.8380,0.0028,0.8292,0.0011,-33.5690,0.3452,343.2939,0.0192,343.6297,0.0230,28.6937,0.0556,17.1686,0.0021,0.9079,0.0022,0.8292,0.0011,-33.5690,0.3452,343.2939,0.0192,343.6297,0.0230,28.3332,0.0825,17.0387,0.0030,0.9746,0.0036,0.8292,0.0011,-33.5690,0.3452,343.2939,0.0192,343.6297,0.0230,27.9429,0.1297,16.9405,0.0045,1.0468,0.0058,0.8292,0.0011,-33.5690,0.3452
9,9,446,204.012267575,-1.608630995,SER,0.431267929694384,344.9317,0.0029,344.0209,0.0037,8.5238,0.0121,18.0999,0.0011,1.1066,0.0029,0.7177,0.0005,-36.9339,0.1119,344.9317,0.0029,344.0209,0.0037,8.9797,0.0097,17.6263,0.0011,1.1566,0.0018,0.7177,0.0005,-36.9339,0.1119,344.9317,0.0029,344.0209,0.0037,9.4147,0.0152,17.4466,0.0013,1.2042,0.0027,0.7177,0.0005,-36.9339,0.1119,344.9317,0.0029,344.0209,0.0037,9.8856,0.0242,17.2687,0.0023,1.2557,0.0047,0.7177,0.0005,-36.9339,0.1119
10,10,3036,16.060822419,-0.844528984,PSF,0.688591336879853,334.3272,0.0103,340.1554,0.0038,20.9967,0.0187,17.6491,0.0008,0.6430,0.0016,0.2774,0.0002,-69.7980,0.0184,334.3272,0.0103,340.1554,0.0038,21.3761,0.0144,17.3852,0.0008,0.6714,0.0009,0.2774,0.0002,-69.7980,0.0184,334.3272,0.0103,340.1554,0.0038,21.7381,0.0228,17.2961,0.0012,0.6985,0.0016,0.2774,0.0002,-69.7980,0.0184,334.3272,0.0103,340.1554,0.0038,22.1299,0.0367,17.1997,0.0019,0.7278,0.0028,0.2774,0.0002,-69.7980,0.0184
11,11,3209,125.743385329,24.864193396,SER,0.352002411406931,344.2407,0.0036,343.9835,0.0027,7.2309,0.0290,17.6746,0.0021,2.9635,0.0119,0.5374,0.0009,66.4099,0.0970,344.2407,0.0036,343.9835,0.0027,9.1356,0.0334,17.4655,0.0023,2.7775,0.0097,0.5374,0.0009,66.4099,0.0970,344.2407,0.0036,343.9835,0.0027,10.9529,0.0577,17.4453,0.0032,2.6000,0.0118,0.5374,0.0009,66.4099,0.0970,344.2407,0.0036,343.9835,0.0027,12.9202,0.0888,17.2267,0.0045,2.4079,0.0169,0.5374,0.0009,66.4099,0.0970
12,12,4715,176.444397616,9.776161468,SER,0.50836087378422,345.0447,0.0301,343.2309,0.0180,28.2608,0.1690,17.7410,0.0048,1.4105,0.0092,0.5529,0.0010,-80.1660,0.1766,345.0447,0.0301,343.2309,0.0180,27.3403,0.1046,17.3928,0.0034,1.3806,0.0050,0.5529,0.0010,-80.1660,0.1766,345.0447,0.0301,343.2309,0.0180,26.4621,0.1379,17.3336,0.0041,1.3521,0.0071,0.5529,0.0010,-80.1660,0.1766,345.0447,0.0301,343.2309,0.0180,25.5114,0.2348,17.2152,0.0083,1.3212,0.0130,0.5529,0.0010,-80.1660,0.1766
13,13,6105,172.242034247,0.879054175,SER,0.595462747182176,343.9968,0.0079,342.0611,0.0122,15.0305,0.0229,18.0111,0.0014,0.6178,0.0025,0.6183,0.0006,-25.5009,0.0998,343.9968,0.0079,342.0611,0.0122,14.8427,0.0174,17.6214,0.0012,0.6553,0.0018,0.6183,0.0006,-25.5009,0.0998,343.9968,0.0079,342.0611,0.0122,14.6636,0.0275,17.4016,0.0028,0.6911,0.0033,0.6183,0.0006,-25.5009,0.0998,343.9968,0.0079,342.0611,0.0122,14.4697,0.0446,17.4022,0.0032,0.7299,0.0055,0.6183,0.0006,-25.5009,0.0998
14,14,4975,41.594881592,-1.171428892,SER,0.874578355684733,344.1433,0.0016,343.9593,0.0020,5.9661,0.0063,17.9664,0.0008,1.5012,0.0025,0.6607,0.0005,12.8881,0.0634,344.1433,0.0016,343.9593,0.0020,6.2282,0.0049,17.6484,0.0007,1.4792,0.0017,0.6607,0.0005,12.8881,0.0634,344.1433,0.0016,343.9593,0.0020,6.4784,0.0074,17.4728,0.0012,1.4583,0.0022,0.6607,0.0005,12.8881,0.0634,344.1433,0.0016,343.9593,0.0020,6.7491,0.0118,17.3542,0.0013,1.4356,0.0035,0.6607,0.0005,12.8881,0.0634
