Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1301,1301,2042,260.666519515,27.317580052,SER,0.451438203674399,344.3287,0.0083,343.6692,0.0074,13.0113,0.0363,17.7978,0.0023,1.2823,0.0054,0.9112,0.0014,-81.9032,0.6503,344.3287,0.0083,343.6692,0.0074,13.2364,0.0294,17.0883,0.0018,1.5455,0.0042,0.9112,0.0014,-81.9032,0.6503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.3287,0.0083,343.6692,0.0074,13.6836,0.0739,16.5467,0.0038,2.0684,0.0105,0.9112,0.0014,-81.9032,0.6503
1302,1302,958,250.763092993,26.784376505,SER,0.411639341568432,344.4642,0.0034,343.7763,0.0090,25.9473,0.0560,17.9630,0.0020,1.1451,0.0041,0.2602,0.0003,-19.6509,0.0269,344.4642,0.0034,343.7763,0.0090,23.8574,0.0390,17.0044,0.0012,1.3968,0.0024,0.2602,0.0003,-19.6509,0.0269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.4642,0.0034,343.7763,0.0090,19.7049,0.0662,16.2378,0.0023,1.8971,0.0064,0.2602,0.0003,-19.6509,0.0269
1303,1303,7630,314.577240226,1.018416244,DUP,0.751002271087295,343.7595,0.0029,343.5437,0.0048,20.6597,0.0347,16.8596,0.0013,1.6442,0.0035,0.4869,0.0003,9.7587,0.0337,343.7595,0.0029,343.5437,0.0048,20.6527,0.0224,15.9103,0.0008,1.7600,0.0021,0.4869,0.0003,9.7587,0.0337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.7595,0.0029,343.5437,0.0048,20.6388,0.0447,15.2049,0.0015,1.9901,0.0042,0.4869,0.0003,9.7587,0.0337
1304,1304,3691,172.668350086,-1.37944325,SER,0.698268485409126,343.9697,0.0058,344.0886,0.0049,11.7197,0.0556,18.2791,0.0039,1.4531,0.0102,0.4244,0.0007,-49.7470,0.0696,343.9697,0.0058,344.0886,0.0049,11.5552,0.0338,17.3446,0.0021,1.5275,0.0060,0.4244,0.0007,-49.7470,0.0696,343.9697,0.0058,344.0886,0.0049,11.3982,0.0300,16.9503,0.0018,1.5986,0.0052,0.4244,0.0007,-49.7470,0.0696,343.9697,0.0058,344.0886,0.0049,11.2283,0.0490,16.7097,0.0030,1.6755,0.0089,0.4244,0.0007,-49.7470,0.0696
1305,1305,3176,218.570523463,0.883552569,SER,1.03865807295314,343.4668,0.0036,343.6277,0.0029,11.5467,0.0125,17.6834,0.0010,0.9060,0.0020,0.7503,0.0005,69.2251,0.0948,343.4668,0.0036,343.6277,0.0029,11.6070,0.0087,17.0404,0.0007,1.1578,0.0013,0.7503,0.0005,69.2251,0.0948,343.4668,0.0036,343.6277,0.0029,11.6646,0.0127,16.6907,0.0021,1.3981,0.0020,0.7503,0.0005,69.2251,0.0948,343.4668,0.0036,343.6277,0.0029,11.7270,0.0207,16.5112,0.0013,1.6581,0.0033,0.7503,0.0005,69.2251,0.0948
1306,1306,4055,60.619308083,-5.346720801,SER,0.314077585540111,344.2575,0.0023,343.6622,0.0036,10.1252,0.0103,18.1177,0.0011,0.6410,0.0023,0.4059,0.0003,-32.4338,0.0316,344.2575,0.0023,343.6622,0.0036,9.8020,0.0071,17.3463,0.0009,0.8472,0.0016,0.4059,0.0003,-32.4338,0.0316,344.2575,0.0023,343.6622,0.0036,9.4937,0.0082,16.8751,0.0009,1.0439,0.0021,0.4059,0.0003,-32.4338,0.0316,344.2575,0.0023,343.6622,0.0036,9.1599,0.0127,16.6174,0.0011,1.2568,0.0033,0.4059,0.0003,-32.4338,0.0316
1307,1307,4208,123.28144061,23.002308162,SER,0.423372192693767,343.9949,0.0013,344.5334,0.0016,6.7701,0.0247,17.9997,0.0021,3.6639,0.0192,0.5154,0.0006,-23.4149,0.0544,343.9949,0.0013,344.5334,0.0016,6.6245,0.0161,17.0190,0.0014,3.8559,0.0126,0.5154,0.0006,-23.4149,0.0544,343.9949,0.0013,344.5334,0.0016,6.4856,0.0151,16.6478,0.0012,4.0390,0.0119,0.5154,0.0006,-23.4149,0.0544,343.9949,0.0013,344.5334,0.0016,6.3352,0.0230,16.3270,0.0019,4.2372,0.0181,0.5154,0.0006,-23.4149,0.0544
1309,1309,2774,175.348137011,5.026852778,SER,0.81893146763936,344.0298,0.0018,344.7850,0.0022,6.3871,0.0228,18.2623,0.0029,1.9883,0.0186,0.6265,0.0008,-31.2661,0.1114,344.0298,0.0018,344.7850,0.0022,5.7841,0.0145,17.4468,0.0017,2.4985,0.0105,0.6265,0.0008,-31.2661,0.1114,344.0298,0.0018,344.7850,0.0022,5.2087,0.0124,16.9023,0.0014,2.9854,0.0113,0.6265,0.0008,-31.2661,0.1114,344.0298,0.0018,344.7850,0.0022,4.5859,0.0189,16.6890,0.0023,3.5124,0.0203,0.6265,0.0008,-31.2661,0.1114
1311,1311,4014,193.176934819,-1.520570204,SER,0.598081803332374,344.0515,0.0042,343.3716,0.0067,10.1727,0.0163,18.1677,0.0016,0.7006,0.0035,0.5498,0.0006,-19.3700,0.0752,344.0515,0.0042,343.3716,0.0067,10.0124,0.0107,17.3576,0.0012,0.8528,0.0024,0.5498,0.0006,-19.3700,0.0752,344.0515,0.0042,343.3716,0.0067,9.8595,0.0133,16.9679,0.0014,0.9980,0.0030,0.5498,0.0006,-19.3700,0.0752,344.0515,0.0042,343.3716,0.0067,9.6940,0.0216,16.7063,0.0019,1.1552,0.0049,0.5498,0.0006,-19.3700,0.0752
1312,1312,2223,159.330033064,2.995441779,REX,0.501173345658261,343.4864,0.0050,344.3547,0.0054,13.7184,0.0167,17.6981,0.0013,0.6941,0.0018,0.9231,0.0006,29.5417,0.3917,343.4864,0.0050,344.3547,0.0054,13.3756,0.0107,16.9239,0.0008,0.8601,0.0011,0.9231,0.0006,29.5417,0.3917,343.4864,0.0050,344.3547,0.0054,13.0486,0.0136,16.5855,0.0010,1.0185,0.0016,0.9231,0.0006,29.5417,0.3917,343.4864,0.0050,344.3547,0.0054,12.6946,0.0226,16.3704,0.0015,1.1899,0.0028,0.9231,0.0006,29.5417,0.3917
