Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1701,1701,1422,175.9733857575596,11.46887703460753,SER,0.368713333534923,573.1768,0.0026,573.4161,0.0073,13.2969,0.0145,17.9501,0.0010,0.7330,0.0024,0.2819,0.0003,15.2352,0.0239,573.1768,0.0026,573.4161,0.0073,13.1326,0.0100,17.4322,0.0010,0.8236,0.0014,0.2819,0.0003,15.2352,0.0239,573.1768,0.0026,573.4161,0.0073,12.9758,0.0137,17.2392,0.0011,0.9101,0.0022,0.2819,0.0003,15.2352,0.0239,573.1768,0.0026,573.4161,0.0073,12.8061,0.0222,17.1042,0.0016,1.0037,0.0039,0.2819,0.0003,15.2352,0.0239
1702,1702,1541,39.53603947059179,-0.6422937077615926,SER,0.750459568507483,573.2563,0.0049,573.7937,0.0056,22.7866,0.0275,16.8459,0.0011,1.0853,0.0018,0.8288,0.0004,-19.2902,0.1296,573.2563,0.0049,573.7937,0.0056,23.0477,0.0206,16.4515,0.0008,1.2915,0.0013,0.8288,0.0004,-19.2902,0.1296,573.2563,0.0049,573.7937,0.0056,23.2969,0.0339,16.3187,0.0013,1.4882,0.0022,0.8288,0.0004,-19.2902,0.1296,573.2563,0.0049,573.7937,0.0056,23.5666,0.0555,16.1984,0.0020,1.7011,0.0036,0.8288,0.0004,-19.2902,0.1296
1703,1703,2089,8.311904479056627,0.2010993750531641,SER,1.21468340945308,571.7287,0.0031,573.6465,0.0032,32.2824,0.0177,15.6009,0.0005,1.2644,0.0008,0.5416,0.0001,44.3069,0.0178,571.7287,0.0031,573.6465,0.0032,31.8621,0.0110,15.2765,0.0004,1.2705,0.0005,0.5416,0.0001,44.3069,0.0178,571.7287,0.0031,573.6465,0.0032,31.4611,0.0165,15.1757,0.0005,1.2762,0.0007,0.5416,0.0001,44.3069,0.0178,571.7287,0.0031,573.6465,0.0032,31.0271,0.0283,15.0757,0.0009,1.2825,0.0013,0.5416,0.0001,44.3069,0.0178
1704,1704,8903,337.8618307625545,-9.577034668396385,SER,0.541147669901545,572.8145,0.0038,573.2056,0.0016,18.9749,0.0152,17.1358,0.0007,1.0411,0.0014,0.3689,0.0001,66.6721,0.0142,572.8145,0.0038,573.2056,0.0016,18.8924,0.0103,16.6904,0.0007,1.0391,0.0008,0.3689,0.0001,66.6721,0.0142,572.8145,0.0038,573.2056,0.0016,18.8136,0.0093,16.5202,0.0004,1.0372,0.0007,0.3689,0.0001,66.6721,0.0142,572.8145,0.0038,573.2056,0.0016,18.7284,0.0132,16.3639,0.0006,1.0351,0.0011,0.3689,0.0001,66.6721,0.0142
1705,1705,2308,170.8363877512857,1.494631938432175,SER,0.428154996960177,572.9293,0.0045,572.9697,0.0050,9.9222,0.0135,17.7150,0.0012,0.8810,0.0024,0.8629,0.0008,-29.5979,0.2728,572.9293,0.0045,572.9697,0.0050,9.5230,0.0113,17.3632,0.0012,1.0393,0.0020,0.8629,0.0008,-29.5979,0.2728,572.9293,0.0045,572.9697,0.0050,9.1420,0.0185,17.2379,0.0019,1.1904,0.0035,0.8629,0.0008,-29.5979,0.2728,572.9293,0.0045,572.9697,0.0050,8.7296,0.0296,17.1897,0.0031,1.3540,0.0057,0.8629,0.0008,-29.5979,0.2728
1706,1706,1364,121.3224291799418,29.92908555573434,SER,0.441371760973758,573.3460,0.0041,572.7322,0.0054,13.5147,0.0189,17.3020,0.0012,1.0748,0.0023,0.7359,0.0006,39.2519,0.1177,573.3460,0.0041,572.7322,0.0054,13.0983,0.0125,16.9383,0.0010,1.0931,0.0014,0.7359,0.0006,39.2519,0.1177,573.3460,0.0041,572.7322,0.0054,12.7010,0.0181,16.8083,0.0019,1.1106,0.0022,0.7359,0.0006,39.2519,0.1177,573.3460,0.0041,572.7322,0.0054,12.2709,0.0303,16.7421,0.0021,1.1296,0.0038,0.7359,0.0006,39.2519,0.1177
1707,1707,163,161.2549460571383,1.648691763692678,SER,0.597656057013538,572.6195,0.0128,572.8187,0.0106,54.3763,0.2674,16.7564,0.0037,2.2292,0.0083,0.7907,0.0011,75.4136,0.2323,572.6195,0.0128,572.8187,0.0106,49.9890,0.1623,16.3264,0.0024,2.2852,0.0047,0.7907,0.0011,75.4136,0.2323,572.6195,0.0128,572.8187,0.0106,45.8029,0.2109,16.2077,0.0032,2.3387,0.0073,0.7907,0.0011,75.4136,0.2323,572.6195,0.0128,572.8187,0.0106,41.2714,0.3627,16.1993,0.0068,2.3965,0.0130,0.7907,0.0011,75.4136,0.2323
1708,1708,10626,180.1431816130645,-0.5313775358311397,DUP,0.581501340433955,572.6039,0.0031,572.6569,0.0017,12.0846,0.0164,17.8934,0.0009,1.6742,0.0030,0.4043,0.0003,-84.6399,0.0266,572.6039,0.0031,572.6569,0.0017,12.4945,0.0121,17.4581,0.0007,1.7423,0.0020,0.4043,0.0003,-84.6399,0.0266,572.6039,0.0031,572.6569,0.0017,12.8856,0.0194,17.2041,0.0017,1.8072,0.0029,0.4043,0.0003,-84.6399,0.0266,572.6039,0.0031,572.6569,0.0017,13.3090,0.0318,17.0785,0.0016,1.8775,0.0048,0.4043,0.0003,-84.6399,0.0266
1709,1709,3706,26.10616628909347,-0.8830386892684075,SER,0.50273200999533,573.3510,0.0052,572.7322,0.0032,13.0954,0.0255,18.2933,0.0017,1.1543,0.0039,0.5102,0.0005,-63.7859,0.0569,573.3510,0.0052,572.7322,0.0032,12.5171,0.0145,17.8175,0.0010,1.3271,0.0022,0.5102,0.0005,-63.7859,0.0569,573.3510,0.0052,572.7322,0.0032,11.9652,0.0238,17.6244,0.0018,1.4920,0.0040,0.5102,0.0005,-63.7859,0.0569,573.3510,0.0052,572.7322,0.0032,11.3678,0.0425,17.5712,0.0031,1.6704,0.0071,0.5102,0.0005,-63.7859,0.0569
1710,1710,341,154.9760140683667,3.694000856624103,SER,0.392828385887071,572.6217,0.0037,573.3494,0.0045,12.5879,0.0131,17.4337,0.0009,0.8444,0.0018,0.8069,0.0004,-20.0450,0.1243,572.6217,0.0037,573.3494,0.0045,12.4051,0.0081,17.0019,0.0007,1.0141,0.0011,0.8069,0.0004,-20.0450,0.1243,572.6217,0.0037,573.3494,0.0045,12.2307,0.0118,16.8239,0.0008,1.1760,0.0017,0.8069,0.0004,-20.0450,0.1243,572.6217,0.0037,573.3494,0.0045,12.0419,0.0203,16.7250,0.0015,1.3513,0.0029,0.8069,0.0004,-20.0450,0.1243
1711,1711,3578,205.6786298002301,3.302020545106701,SER,0.378488701307606,566.7723,0.0167,573.6058,0.0191,20.9025,0.0304,17.6022,0.0014,0.5713,0.0020,0.8670,0.0009,26.1616,0.3569,566.7723,0.0167,573.6058,0.0191,21.0532,0.0246,17.1514,0.0014,0.5655,0.0014,0.8670,0.0009,26.1616,0.3569,566.7723,0.0167,573.6058,0.0191,21.1969,0.0336,16.9562,0.0022,0.5599,0.0021,0.8670,0.0009,26.1616,0.3569,566.7723,0.0167,573.6058,0.0191,21.3525,0.0512,16.8476,0.0029,0.5538,0.0035,0.8670,0.0009,26.1616,0.3569
1712,1712,8611,134.9583385250201,0.8073336554228311,SER,0.934552558542989,572.8131,0.0076,573.2686,0.0078,34.4816,0.0802,16.9898,0.0020,1.2367,0.0035,0.4859,0.0004,44.7690,0.0440,572.8131,0.0076,573.2686,0.0078,34.2147,0.0543,16.6067,0.0012,1.5353,0.0024,0.4859,0.0004,44.7690,0.0440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.8131,0.0076,573.2686,0.0078,33.6844,0.1966,16.4400,0.0047,2.1285,0.0092,0.4859,0.0004,44.7690,0.0440
1713,1713,682,168.4950567372381,5.069035815485948,SER,0.427455626287951,571.9566,0.0086,573.2654,0.0044,12.5248,0.0162,18.1743,0.0014,0.5706,0.0025,0.4533,0.0004,75.7035,0.0506,571.9566,0.0086,573.2654,0.0044,12.3977,0.0102,17.5575,0.0010,0.6704,0.0016,0.4533,0.0004,75.7035,0.0506,571.9566,0.0086,573.2654,0.0044,12.2764,0.0137,17.2910,0.0013,0.7655,0.0021,0.4533,0.0004,75.7035,0.0506,571.9566,0.0086,573.2654,0.0044,12.1451,0.0231,17.1299,0.0018,0.8685,0.0037,0.4533,0.0004,75.7035,0.0506
1714,1714,2573,163.5902266329556,2.193353625118198,SER,0.409097510556309,573.0494,0.0298,571.1364,0.0225,32.0853,0.0685,17.5573,0.0021,0.7255,0.0026,0.7477,0.0008,83.4220,0.2033,573.0494,0.0298,571.1364,0.0225,31.2741,0.0491,17.1203,0.0018,0.8224,0.0018,0.7477,0.0008,83.4220,0.2033,573.0494,0.0298,571.1364,0.0225,30.5002,0.0762,16.9861,0.0026,0.9147,0.0031,0.7477,0.0008,83.4220,0.2033,573.0494,0.0298,571.1364,0.0225,29.6623,0.1250,16.9109,0.0045,1.0147,0.0053,0.7477,0.0008,83.4220,0.2033
1715,1715,8889,3.992951910138584,0.717325314683266,SER,0.738310711430838,572.7627,0.0024,573.4916,0.0030,10.9847,0.0459,17.8855,0.0024,3.4168,0.0134,0.5900,0.0007,7.7596,0.0801,572.7627,0.0024,573.4916,0.0030,11.2593,0.0262,17.2567,0.0014,3.3546,0.0080,0.5900,0.0007,7.7596,0.0801,572.7627,0.0024,573.4916,0.0030,11.5213,0.0382,17.0176,0.0021,3.2953,0.0095,0.5900,0.0007,7.7596,0.0801,572.7627,0.0024,573.4916,0.0030,11.8048,0.0681,16.8164,0.0035,3.2311,0.0164,0.5900,0.0007,7.7596,0.0801
1716,1716,3618,224.103903887567,0.9868675083923918,SER,0.553866071228356,570.7977,0.0111,573.0648,0.0029,37.8697,0.0489,17.3346,0.0010,1.2484,0.0021,0.1686,0.0001,-75.3749,0.0100,570.7977,0.0111,573.0648,0.0029,39.4387,0.0390,16.9367,0.0009,1.3377,0.0016,0.1686,0.0001,-75.3749,0.0100,570.7977,0.0111,573.0648,0.0029,40.9356,0.0615,16.7883,0.0035,1.4229,0.0024,0.1686,0.0001,-75.3749,0.0100,570.7977,0.0111,573.0648,0.0029,42.5561,0.0982,16.6479,0.0018,1.5152,0.0038,0.1686,0.0001,-75.3749,0.0100
1717,1717,3944,171.8493170082544,8.24549775286351,SER,0.323924525285212,572.7847,0.0024,574.0262,0.0027,6.7074,0.0064,17.7285,0.0007,0.8844,0.0025,0.4962,0.0003,42.4465,0.0441,572.7847,0.0024,574.0262,0.0027,7.2225,0.0057,17.5124,0.0009,0.9361,0.0016,0.4962,0.0003,42.4465,0.0441,572.7847,0.0024,574.0262,0.0027,7.7140,0.0088,17.4963,0.0010,0.9855,0.0023,0.4962,0.0003,42.4465,0.0441,572.7847,0.0024,574.0262,0.0027,8.2460,0.0136,17.3437,0.0014,1.0389,0.0040,0.4962,0.0003,42.4465,0.0441
1718,1718,4735,240.4459741122731,0.0980619412940143,DEV,0.561523365605348,573.0639,0.0064,572.4592,0.0069,7.3729,0.0922,18.4006,0.0066,3.7045,0.0390,0.8402,0.0035,-22.3417,0.7780,573.0639,0.0064,572.4592,0.0069,8.4312,0.0622,17.7151,0.0045,3.4829,0.0271,0.8402,0.0035,-22.3417,0.7780,573.0639,0.0064,572.4592,0.0069,9.4410,0.0882,17.4264,0.0057,3.2716,0.0262,0.8402,0.0035,-22.3417,0.7780,573.0639,0.0064,572.4592,0.0069,10.5341,0.1454,17.0514,0.0081,3.0428,0.0376,0.8402,0.0035,-22.3417,0.7780
1719,1719,710,229.0336239532844,-2.048991254073981,SER,0.341998990026425,573.4435,0.0130,572.8425,0.0076,52.2867,0.1590,16.9483,0.0025,1.6497,0.0048,0.5197,0.0004,86.0695,0.0555,573.4435,0.0130,572.8425,0.0076,49.9385,0.0996,16.2525,0.0015,1.7422,0.0028,0.5197,0.0004,86.0695,0.0555,573.4435,0.0130,572.8425,0.0076,47.6980,0.1176,15.9661,0.0019,1.8304,0.0036,0.5197,0.0004,86.0695,0.0555,573.4435,0.0130,572.8425,0.0076,45.2727,0.1963,15.8006,0.0034,1.9258,0.0064,0.5197,0.0004,86.0695,0.0555
1720,1720,5611,165.7099014627209,-0.3642720298994134,REX,0.522190910427342,573.9921,0.0141,572.8394,0.0134,26.3597,0.0725,17.1665,0.0024,1.1214,0.0038,0.9488,0.0013,44.4872,1.2297,573.9921,0.0141,572.8394,0.0134,25.5733,0.0565,16.7453,0.0022,1.2091,0.0030,0.9488,0.0013,44.4872,1.2297,573.9921,0.0141,572.8394,0.0134,24.8230,0.0847,16.6038,0.0037,1.2929,0.0049,0.9488,0.0013,44.4872,1.2297,573.9921,0.0141,572.8394,0.0134,24.0107,0.1343,16.5498,0.0049,1.3836,0.0079,0.9488,0.0013,44.4872,1.2297
1721,1721,5270,237.7398156149565,31.2266308068675,SER,0.42418017312279,573.9048,0.0045,572.2336,0.0056,8.1536,0.0113,17.7666,0.0012,0.9418,0.0027,0.8072,0.0006,5.8372,0.1995,573.9048,0.0045,572.2336,0.0056,8.2827,0.0105,17.2738,0.0012,1.0106,0.0022,0.8072,0.0006,5.8372,0.1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.9048,0.0045,572.2336,0.0056,8.5393,0.0266,16.9353,0.0027,1.1472,0.0059,0.8072,0.0006,5.8372,0.1995
1722,1722,6775,31.93360882342588,-8.009803168081485,SER,0.541964508595073,574.2863,0.0030,569.4662,0.0064,26.2033,0.0195,16.7017,0.0007,0.9598,0.0011,0.4477,0.0002,23.9649,0.0200,574.2863,0.0030,569.4662,0.0064,26.9975,0.0129,16.3575,0.0005,0.9932,0.0006,0.4477,0.0002,23.9649,0.0200,574.2863,0.0030,569.4662,0.0064,27.7552,0.0205,16.2381,0.0008,1.0252,0.0010,0.4477,0.0002,23.9649,0.0200,574.2863,0.0030,569.4662,0.0064,28.5755,0.0347,16.1166,0.0012,1.0597,0.0018,0.4477,0.0002,23.9649,0.0200
1723,1723,2302,310.3115427334102,1.179809710065348,SER,0.470679504250193,572.0891,0.0041,571.7967,0.0070,15.2228,0.0199,17.3712,0.0011,1.2286,0.0023,0.5447,0.0004,-1.9652,0.0591,572.0891,0.0041,571.7967,0.0070,14.3820,0.0154,16.8926,0.0010,1.1529,0.0015,0.5447,0.0004,-1.9652,0.0591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0891,0.0041,571.7967,0.0070,12.7113,0.0276,16.5538,0.0021,1.0023,0.0035,0.5447,0.0004,-1.9652,0.0591
1724,1724,4219,212.8480675054828,-0.3005035522168909,SER,0.603081832634749,572.5900,0.0315,572.7819,0.0369,11.7257,0.2273,17.1770,0.0147,1.4362,0.0434,0.8022,0.0091,39.8515,1.8511,572.5900,0.0315,572.7819,0.0369,11.3263,0.1440,16.7445,0.0111,1.6216,0.0272,0.8022,0.0091,39.8515,1.8511,572.5900,0.0315,572.7819,0.0369,10.9452,0.2040,16.5691,0.0251,1.7985,0.0410,0.8022,0.0091,39.8515,1.8511,572.5900,0.0315,572.7819,0.0369,10.5327,0.3459,16.4816,0.0217,1.9900,0.0702,0.8022,0.0091,39.8515,1.8511
1725,1725,5811,148.5468184831674,3.924016407288753,SER,0.651830231179996,572.4985,0.0006,572.6617,0.0004,7.8906,0.0035,17.0408,0.0002,2.4729,0.0013,0.5689,0.0001,58.0884,0.0145,572.4985,0.0006,572.6617,0.0004,8.9975,0.0038,16.5286,0.0006,2.3356,0.0010,0.5689,0.0001,58.0884,0.0145,572.4985,0.0006,572.6617,0.0004,10.0536,0.0064,16.2747,0.0004,2.2046,0.0015,0.5689,0.0001,58.0884,0.0145,572.4985,0.0006,572.6617,0.0004,11.1969,0.0099,16.0825,0.0008,2.0628,0.0023,0.5689,0.0001,58.0884,0.0145
1726,1726,7254,34.9264137526587,0.2949361276424924,SER,0.678467310502228,574.2438,0.0089,572.9970,0.0051,21.3799,0.0400,17.7249,0.0016,1.1664,0.0029,0.5220,0.0003,-64.1763,0.0586,574.2438,0.0089,572.9970,0.0051,20.3541,0.0251,17.3015,0.0011,1.1923,0.0016,0.5220,0.0003,-64.1763,0.0586,574.2438,0.0089,572.9970,0.0051,19.3753,0.0326,17.1531,0.0015,1.2170,0.0024,0.5220,0.0003,-64.1763,0.0586,574.2438,0.0089,572.9970,0.0051,18.3158,0.0551,17.0682,0.0026,1.2438,0.0043,0.5220,0.0003,-64.1763,0.0586
1727,1727,1920,175.0790796797855,4.269536801682374,SER,0.533072022042793,572.9639,0.0014,572.9724,0.0018,12.0976,0.0088,16.4029,0.0006,1.4558,0.0018,0.6261,0.0002,-35.7905,0.0309,572.9639,0.0014,572.9724,0.0018,11.9008,0.0058,15.8648,0.0004,1.4409,0.0012,0.6261,0.0002,-35.7905,0.0309,572.9639,0.0014,572.9724,0.0018,11.7131,0.0068,15.6441,0.0005,1.4268,0.0012,0.6261,0.0002,-35.7905,0.0309,572.9639,0.0014,572.9724,0.0018,11.5099,0.0110,15.4661,0.0007,1.4115,0.0020,0.6261,0.0002,-35.7905,0.0309
1728,1728,7377,202.9571762172825,-2.953299590377702,REX,0.383349814848879,569.0454,0.0047,576.0246,0.0041,18.0758,0.0114,18.1068,0.0005,0.6695,0.0015,0.1729,0.0001,49.0087,0.0088,569.0454,0.0047,576.0246,0.0041,17.8933,0.0088,17.4927,0.0005,0.7608,0.0010,0.1729,0.0001,49.0087,0.0088,569.0454,0.0047,576.0246,0.0041,17.7192,0.0155,17.2413,0.0008,0.8479,0.0018,0.1729,0.0001,49.0087,0.0088,569.0454,0.0047,576.0246,0.0041,17.5307,0.0255,17.0467,0.0016,0.9422,0.0032,0.1729,0.0001,49.0087,0.0088
