Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1,1,1645,0.079356474601419,-22.57609230832414,SER,0.444957228543347,892.2833,0.0039,838.5585,0.0041,9.8294,0.0435,18.2560,0.0034,1.7689,0.0117,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,9.0826,0.0228,17.6082,0.0018,2.3542,0.0070,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,8.3702,0.0367,17.3253,0.0028,2.9126,0.0137,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,7.5989,0.0678,17.2215,0.0056,3.5171,0.0241,0.9451,0.0017,24.0265,1.1276
1,3,2068,0.1003956575335607,-22.58890589524607,SER,0.444957228543347,625.5560,0.0053,662.3559,0.0070,13.0738,0.0145,17.5166,0.0011,0.5929,0.0020,0.7279,0.0005,-1.3852,0.0969,625.5560,0.0053,662.3559,0.0070,12.7210,0.0083,16.9496,0.0007,0.7123,0.0010,0.7279,0.0005,-1.3852,0.0969,625.5560,0.0053,662.3559,0.0070,12.3844,0.0121,16.6317,0.0009,0.8263,0.0017,0.7279,0.0005,-1.3852,0.0969,625.5560,0.0053,662.3559,0.0070,12.0200,0.0215,16.4840,0.0019,0.9497,0.0032,0.7279,0.0005,-1.3852,0.0969
1,2,1873,0.0912554639415616,-22.58790183800087,SER,0.444957228543347,741.4711,0.0127,676.2068,0.0073,8.3541,0.0228,18.9807,0.0025,0.4985,0.0061,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.3075,0.0169,18.6522,0.0021,0.6517,0.0035,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.2629,0.0276,18.4092,0.0031,0.7978,0.0070,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.2147,0.0452,18.3382,0.0064,0.9559,0.0125,0.4999,0.0010,76.0773,0.1251
1,4,2346,0.1116390025805499,-22.59598038394762,SER,0.444957228543347,482.9522,0.0036,565.0435,0.0049,7.9672,0.0519,18.4698,0.0040,2.7676,0.0227,0.4477,0.0011,35.9730,0.1097,482.9522,0.0036,565.0435,0.0049,7.8358,0.0283,18.1628,0.0022,2.5567,0.0122,0.4477,0.0011,35.9730,0.1097,482.9522,0.0036,565.0435,0.0049,7.7105,0.0412,17.8759,0.0033,2.3555,0.0166,0.4477,0.0011,35.9730,0.1097,482.9522,0.0036,565.0435,0.0049,7.5749,0.0752,17.8600,0.0072,2.1377,0.0306,0.4477,0.0011,35.9730,0.1097
2,3,4495,0.3587273382901289,13.11244513656859,DUP,2.13987225133761,503.2970,0.0038,741.8474,0.0064,34.5105,0.0196,14.9923,0.0005,1.3016,0.0010,0.5896,0.0002,-19.7645,0.0295,503.2970,0.0038,741.8474,0.0064,34.1450,0.0157,14.4693,0.0004,1.3699,0.0007,0.5896,0.0002,-19.7645,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.2970,0.0038,741.8474,0.0064,33.4186,0.0368,14.0924,0.0009,1.5055,0.0017,0.5896,0.0002,-19.7645,0.0295
2,2,4494,0.3331994716833093,13.11123683829803,DUP,2.13987225133761,841.8548,0.0012,719.8106,0.0007,44.2328,0.0215,13.4622,0.0003,3.5631,0.0013,0.5587,0.0001,75.4821,0.0095,841.8548,0.0012,719.8106,0.0007,46.4146,0.0161,12.6362,0.0002,3.8038,0.0010,0.5587,0.0001,75.4821,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.8548,0.0012,719.8106,0.0007,50.7497,0.0335,11.9764,0.0004,4.2819,0.0018,0.5587,0.0001,75.4821,0.0095
2,1,910,0.3129815262621921,13.11314170389291,SER,2.13987225133761,1111.3452,0.0166,746.5955,0.0141,36.5639,0.0625,16.3771,0.0015,1.1081,0.0026,0.2528,0.0003,49.7993,0.0245,1111.3452,0.0166,746.5955,0.0141,36.2660,0.0488,15.8409,0.0013,1.0998,0.0019,0.2528,0.0003,49.7993,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.3452,0.0166,746.5955,0.0141,35.6739,0.1028,15.4709,0.0026,1.0833,0.0042,0.2528,0.0003,49.7993,0.0245
2,4,1972,0.3732407814035215,13.09852691955251,SER,2.13987225133761,302.4151,0.0581,545.3456,0.0494,95.9395,1.0418,16.6742,0.0073,2.3190,0.0146,0.5189,0.0017,-44.5407,0.2521,302.4151,0.0581,545.3456,0.0494,81.3392,0.6985,16.4273,0.0069,1.9545,0.0117,0.5189,0.0017,-44.5407,0.2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.4151,0.0581,545.3456,0.0494,52.3285,0.8042,16.5689,0.0135,1.2303,0.0195,0.5189,0.0017,-44.5407,0.2521
3,2,6959,2.837759217243158,-53.98101274211389,SER,1.29447729146699,719.5932,0.0055,336.3854,0.0049,7.9612,0.0126,18.1220,0.0015,0.7598,0.0034,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.7652,0.0083,17.6359,0.0011,0.8373,0.0019,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.5781,0.0122,17.3781,0.0016,0.9113,0.0031,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.3757,0.0204,17.2826,0.0027,0.9913,0.0056,0.8608,0.0008,59.8707,0.3274
3,4,7291,2.852407391719842,-53.9310223008958,SER,1.29447729146699,601.2763,0.0035,1023.7382,0.0044,36.2658,0.0217,15.4040,0.0005,0.9882,0.0009,0.7673,0.0002,11.9179,0.0501,601.2763,0.0035,1023.7382,0.0044,39.4387,0.0252,14.7606,0.0005,1.5277,0.0010,0.7673,0.0002,11.9179,0.0501,601.2763,0.0035,1023.7382,0.0044,42.4660,0.0458,14.4776,0.0008,2.0424,0.0017,0.7673,0.0002,11.9179,0.0501,601.2763,0.0035,1023.7382,0.0044,45.7431,0.0716,14.2780,0.0011,2.5996,0.0027,0.7673,0.0002,11.9179,0.0501
