Group,Gal,ID,ra,dec,type,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1225,1225,11157,228.4484489134001,0.3430794657603833,REX,0.667273185151713,572.4624,0.0011,572.5211,0.0010,5.0488,0.0038,17.7733,0.0006,1.3644,0.0021,0.8768,0.0003,-61.0764,0.1235,572.4624,0.0011,572.5211,0.0010,4.8964,0.0025,17.1401,0.0004,1.2270,0.0014,0.8768,0.0003,-61.0764,0.1235,572.4624,0.0011,572.5211,0.0010,4.7509,0.0023,16.8754,0.0004,1.0959,0.0012,0.8768,0.0003,-61.0764,0.1235,572.4624,0.0011,572.5211,0.0010,4.5935,0.0034,16.7027,0.0006,0.9540,0.0018,0.8768,0.0003,-61.0764,0.1235
1227,1227,1315,147.0475264350565,1.121217961188541,SER,0.280566941297589,574.0155,0.0029,572.9351,0.0047,7.4328,0.0480,20.5748,0.4886,2.5554,0.0205,0.3822,0.0009,-1.6291,0.0677,574.0155,0.0029,572.9351,0.0047,7.6238,0.0285,17.7263,0.0025,2.4326,0.0124,0.3822,0.0009,-1.6291,0.0677,574.0155,0.0029,572.9351,0.0047,7.8060,0.0265,17.4083,0.0036,2.3155,0.0098,0.3822,0.0009,-1.6291,0.0677,574.0155,0.0029,572.9351,0.0047,8.0033,0.0452,17.2624,0.0041,2.1888,0.0158,0.3822,0.0009,-1.6291,0.0677
1229,1229,5706,48.45351635320691,-8.147458498064502,SER,0.444741868370007,573.9058,0.0066,570.7194,0.0155,35.7749,0.0838,17.2972,0.0019,1.4430,0.0038,0.2633,0.0003,23.1446,0.0275,573.9058,0.0066,570.7194,0.0155,35.7417,0.0552,16.9923,0.0015,1.4309,0.0023,0.2633,0.0003,23.1446,0.0275,573.9058,0.0066,570.7194,0.0155,35.7100,0.0751,16.8892,0.0020,1.4193,0.0031,0.2633,0.0003,23.1446,0.0275,573.9058,0.0066,570.7194,0.0155,35.6757,0.1244,16.7917,0.0030,1.4068,0.0053,0.2633,0.0003,23.1446,0.0275
1230,1230,3804,171.6317656906064,-3.271055836269354,SER,0.317741260483093,573.5495,0.0060,573.5796,0.0095,16.6321,0.0425,18.2599,0.0024,0.7989,0.0038,0.5891,0.0004,-1.5239,0.0751,573.5495,0.0060,573.5796,0.0095,16.4967,0.0260,17.6456,0.0016,0.9023,0.0022,0.5891,0.0004,-1.5239,0.0751,573.5495,0.0060,573.5796,0.0095,16.3674,0.0247,17.3687,0.0011,1.0009,0.0021,0.5891,0.0004,-1.5239,0.0751,573.5495,0.0060,573.5796,0.0095,16.2275,0.0407,17.2350,0.0023,1.1077,0.0036,0.5891,0.0004,-1.5239,0.0751
1231,1231,4678,185.1690050419126,-3.533385679279065,SER,0.378413535945444,573.5511,0.0038,572.1780,0.0053,10.9419,0.0142,17.6764,0.0010,1.1748,0.0023,0.6712,0.0005,-11.0572,0.0829,573.5511,0.0038,572.1780,0.0053,11.9844,0.0137,17.2233,0.0011,1.1822,0.0017,0.6712,0.0005,-11.0572,0.0829,573.5511,0.0038,572.1780,0.0053,12.9790,0.0223,17.0420,0.0018,1.1893,0.0025,0.6712,0.0005,-11.0572,0.0829,573.5511,0.0038,572.1780,0.0053,14.0557,0.0345,16.8775,0.0021,1.1970,0.0040,0.6712,0.0005,-11.0572,0.0829
1232,1232,4514,188.6511711543872,-2.122631427880454,SER,0.492201398954604,573.0700,0.0027,572.7730,0.0033,4.2989,0.0068,17.9008,0.0009,1.3130,0.0066,0.7536,0.0009,6.8271,0.1710,573.0700,0.0027,572.7730,0.0033,4.7848,0.0054,17.7498,0.0012,1.2797,0.0041,0.7536,0.0009,6.8271,0.1710,573.0700,0.0027,572.7730,0.0033,5.2484,0.0080,17.7737,0.0011,1.2479,0.0047,0.7536,0.0009,6.8271,0.1710,573.0700,0.0027,572.7730,0.0033,5.7503,0.0125,17.6362,0.0019,1.2135,0.0080,0.7536,0.0009,6.8271,0.1710
1233,1233,7562,134.9434089206575,0.5829245095361617,SER,0.726321372874333,572.6401,0.0040,573.0363,0.0071,15.3868,0.0865,18.2846,0.0036,2.3821,0.0115,0.3874,0.0006,-2.3004,0.0585,572.6401,0.0040,573.0363,0.0071,16.3633,0.0416,17.7181,0.0017,2.2155,0.0055,0.3874,0.0006,-2.3004,0.0585,572.6401,0.0040,573.0363,0.0071,17.2950,0.0780,17.4682,0.0045,2.0566,0.0084,0.3874,0.0006,-2.3004,0.0585,572.6401,0.0040,573.0363,0.0071,18.3036,0.1470,17.3088,0.0059,1.8846,0.0164,0.3874,0.0006,-2.3004,0.0585
1234,1234,2166,144.7890885115478,0.9844794373335204,SER,0.56762502387141,572.9376,0.0017,573.4333,0.0021,10.2752,0.0204,18.1368,0.0012,2.5460,0.0057,0.6825,0.0005,3.6248,0.0711,572.9376,0.0017,573.4333,0.0021,9.7425,0.0157,17.5848,0.0011,2.6096,0.0045,0.6825,0.0005,3.6248,0.0711,572.9376,0.0017,573.4333,0.0021,9.2341,0.0295,17.4268,0.0026,2.6702,0.0089,0.6825,0.0005,3.6248,0.0711,572.9376,0.0017,573.4333,0.0021,8.6838,0.0491,17.3099,0.0036,2.7359,0.0148,0.6825,0.0005,3.6248,0.0711
1235,1235,9403,213.9657485771258,1.586261813905212,SER,0.660177582527,574.0792,0.0063,571.8610,0.0089,9.5796,0.0163,18.0829,0.0016,0.5643,0.0037,0.6531,0.0007,-33.4402,0.1433,574.0792,0.0063,571.8610,0.0089,9.3654,0.0115,17.5066,0.0015,0.6241,0.0023,0.6531,0.0007,-33.4402,0.1433,574.0792,0.0063,571.8610,0.0089,9.1611,0.0156,17.3577,0.0017,0.6812,0.0032,0.6531,0.0007,-33.4402,0.1433,574.0792,0.0063,571.8610,0.0089,8.9399,0.0250,17.1919,0.0028,0.7430,0.0056,0.6531,0.0007,-33.4402,0.1433
1236,1236,4797,157.904539389342,1.978729324685512,SER,0.389587000906655,574.5137,0.0037,570.9439,0.0069,22.0145,0.0143,17.5787,0.0006,0.5299,0.0012,0.1463,0.0001,28.2231,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.5137,0.0037,570.9439,0.0069,20.6148,0.0390,16.9755,0.0016,1.0071,0.0039,0.1463,0.0001,28.2231,0.0095,574.5137,0.0037,570.9439,0.0069,19.8751,0.0592,16.8450,0.0031,1.2594,0.0060,0.1463,0.0001,28.2231,0.0095
