Group,Gal,ID,ra,dec,CHI2NU,XC_g,e_XC_g,YC_g,e_YC_g,RE_g,e_RE_g,MAG_g,e_MAG_g,n_g,e_n_g,AR_g,e_AR_g,PA_g,e_PA_g,XC_r,e_XC_r,YC_r,e_YC_r,RE_r,e_RE_r,MAG_r,e_MAG_r,n_r,e_n_r,AR_r,e_AR_r,PA_r,e_PA_r,XC_i,e_XC_i,YC_i,e_YC_i,RE_i,e_RE_i,MAG_i,e_MAG_i,n_i,e_n_i,AR_i,e_AR_i,PA_i,e_PA_i,XC_z,e_XC_z,YC_z,e_YC_z,RE_z,e_RE_z,MAG_z,e_MAG_z,n_z,e_n_z,AR_z,e_AR_z,PA_z,e_PA_z
1,4,2346,0.1116390025805499,-22.59598038394762,0.444957228535091,892.2833,0.0039,838.5585,0.0041,9.8294,0.0435,18.2560,0.0034,1.7689,0.0117,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,9.0826,0.0228,17.6082,0.0018,2.3542,0.0070,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,8.3702,0.0367,17.3253,0.0028,2.9126,0.0137,0.9451,0.0017,24.0265,1.1276,892.2833,0.0039,838.5585,0.0041,7.5989,0.0678,17.2215,0.0056,3.5171,0.0241,0.9451,0.0017,24.0265,1.1276
1,3,2068,0.1003956575335607,-22.58890589524607,0.444957228535091,625.5560,0.0053,662.3559,0.0070,13.0738,0.0145,17.5166,0.0011,0.5929,0.0020,0.7279,0.0005,-1.3852,0.0969,625.5560,0.0053,662.3559,0.0070,12.7210,0.0083,16.9496,0.0007,0.7123,0.0010,0.7279,0.0005,-1.3852,0.0969,625.5560,0.0053,662.3559,0.0070,12.3844,0.0121,16.6317,0.0009,0.8263,0.0017,0.7279,0.0005,-1.3852,0.0969,625.5560,0.0053,662.3559,0.0070,12.0200,0.0215,16.4840,0.0019,0.9497,0.0032,0.7279,0.0005,-1.3852,0.0969
1,1,1645,0.079356474601419,-22.57609230832414,0.444957228535091,741.4711,0.0127,676.2068,0.0073,8.3541,0.0228,18.9807,0.0025,0.4985,0.0061,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.3075,0.0169,18.6522,0.0021,0.6517,0.0035,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.2629,0.0276,18.4092,0.0031,0.7978,0.0070,0.4999,0.0010,76.0773,0.1251,741.4711,0.0127,676.2068,0.0073,8.2147,0.0452,18.3382,0.0064,0.9559,0.0125,0.4999,0.0010,76.0773,0.1251
1,2,1873,0.0912554639415616,-22.58790183800087,0.444957228535091,482.9522,0.0036,565.0435,0.0049,7.9672,0.0519,18.4698,0.0040,2.7676,0.0227,0.4477,0.0011,35.9730,0.1097,482.9522,0.0036,565.0435,0.0049,7.8358,0.0283,18.1628,0.0022,2.5567,0.0122,0.4477,0.0011,35.9730,0.1097,482.9522,0.0036,565.0435,0.0049,7.7105,0.0412,17.8759,0.0033,2.3555,0.0166,0.4477,0.0011,35.9730,0.1097,482.9522,0.0036,565.0435,0.0049,7.5749,0.0752,17.8600,0.0072,2.1377,0.0306,0.4477,0.0011,35.9730,0.1097
3,4,7291,2.852407391719842,-53.9310223008958,1.29447802358204,719.5932,0.0055,336.3854,0.0049,7.9612,0.0126,18.1220,0.0015,0.7598,0.0034,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.7652,0.0083,17.6359,0.0011,0.8373,0.0019,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.5781,0.0122,17.3781,0.0016,0.9113,0.0031,0.8608,0.0008,59.8707,0.3274,719.5932,0.0055,336.3854,0.0049,7.3757,0.0204,17.2826,0.0027,0.9913,0.0056,0.8608,0.0008,59.8707,0.3274
3,1,6881,2.834674521202194,-53.95652455274381,1.29447802358204,601.2763,0.0035,1023.7382,0.0044,36.2660,0.0217,15.4040,0.0005,0.9882,0.0009,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,39.4389,0.0252,14.7606,0.0005,1.5277,0.0010,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,42.4663,0.0458,14.4776,0.0008,2.0424,0.0017,0.7673,0.0002,11.9182,0.0501,601.2763,0.0035,1023.7382,0.0044,45.7435,0.0716,14.2780,0.0011,2.5997,0.0027,0.7673,0.0002,11.9182,0.0501
3,3,7086,2.842623280146343,-53.953910753132,1.29447802358204,680.4556,0.0167,708.8590,0.0104,12.9987,0.0366,18.9372,0.0026,0.6455,0.0055,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.8590,0.0104,12.6179,0.0328,18.6544,0.0029,0.8063,0.0043,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.8590,0.0104,12.2546,0.0548,18.4659,0.0044,0.9598,0.0083,0.3197,0.0007,58.2417,0.0745,680.4556,0.0167,708.8590,0.0104,11.8613,0.0866,18.4384,0.0070,1.1259,0.0138,0.3197,0.0007,58.2417,0.0745
3,2,6959,2.837759217243158,-53.98101274211389,1.29447802358204,744.7630,0.0056,672.8753,0.0095,6.0261,0.0303,19.3526,0.0036,1.2663,0.0133,0.4208,0.0016,14.8871,0.1435,744.7630,0.0056,672.8753,0.0095,6.2935,0.0223,18.9136,0.0030,1.2493,0.0083,0.4208,0.0016,14.8871,0.1435,744.7630,0.0056,672.8753,0.0095,6.5486,0.0355,18.7400,0.0046,1.2331,0.0115,0.4208,0.0016,14.8871,0.1435,744.7630,0.0056,672.8753,0.0095,6.8247,0.0579,18.6070,0.0075,1.2155,0.0197,0.4208,0.0016,14.8871,0.1435
4,1,17326,3.313891910541071,-41.5710804008087,1.30684526430725,793.9145,0.0010,468.6414,0.0009,5.5473,0.0026,17.7319,0.0003,1.0995,0.0012,0.7484,0.0003,-55.8265,0.0532,793.9145,0.0010,468.6414,0.0009,5.6015,0.0023,17.1360,0.0005,1.2034,0.0009,0.7484,0.0003,-55.8265,0.0532,793.9145,0.0010,468.6414,0.0009,5.6533,0.0036,16.7647,0.0005,1.3025,0.0015,0.7484,0.0003,-55.8265,0.0532,793.9145,0.0010,468.6414,0.0009,5.7092,0.0056,16.6122,0.0009,1.4098,0.0024,0.7484,0.0003,-55.8265,0.0532
4,4,1689,3.352839182931342,-41.57841924348008,1.30684526430725,829.0746,0.0023,805.3871,0.0032,12.2104,0.0058,17.5160,0.0004,0.6941,0.0007,0.6992,0.0002,-21.6767,0.0441,829.0746,0.0023,805.3871,0.0032,12.5959,0.0069,16.9155,0.0007,0.8666,0.0007,0.6992,0.0002,-21.6767,0.0441,829.0746,0.0023,805.3871,0.0032,12.9637,0.0118,16.6502,0.0008,1.0313,0.0014,0.6992,0.0002,-21.6767,0.0441,829.0746,0.0023,805.3871,0.0032,13.3619,0.0181,16.4612,0.0014,1.2095,0.0022,0.6992,0.0002,-21.6767,0.0441
